itraconazole_both	methotrexate_both	tamoxifen_both	beauvericin_both	benomyl_both	bisantrene_both	camptothecin_both	cisplatin_both	colchicine_both	cycloheximide_both	fluconazole_both	imatinib_both	ketoconazole_both	miconazole_both	mitoxantrone_both	valinomycin_both
TWAS21010103	0.503493329332089	0.992760051294779	-0.165499653031334	1.02418682374297	1.02221763858991	0.834192218668699	1.00296667995006	0.970705251541399	0.989853260437704	0.856927528347717	0.415357477122599	1.02321804229686	0.221701033877806	0.410309534247773	1.00891714222366	1.01538553036368
TWAS21010105	0.860747327844014	1.0087737608335	1.0526175977797	0.99954917834749	0.889457220602542	0.80150198149717	1.01993313823161	1.00725817124418	0.986046980993522	1.05408547356122	0.677982425634892	0.989727306350049	0.758620713198791	0.898359403954128	1.02479476417011	0.94550851779097
TWAS21010106	0.492093761792346	1.00910439200117	-0.138914438764737	1.01598683141397	0.74638810447852	0.300318846220067	0.129810929688119	0.817701977933693	0.987458215895786	0.893046295772214	0.319565038430384	1.01292522215372	0.122138438152659	0.105587396764182	0.93590234822765	1.03100258019446
TWAS21010112	0.891107481230554	0.968246460628803	0.951510172735306	0.990601694787679	0.695453883931827	0.0827400324209538	0.915146746232501	0.982961950906474	1.00004484995718	1.04978120660047	0.694496824601622	0.988056342951791	0.775187755534252	0.940611926443672	0.952035155505549	0.985958512944511
TWAS21010114	0.514487786963103	0.985235251788678	0.00957366885126223	1.01587122570552	1.01402835930607	0.777367460301048	0.998218412271529	0.953730427330751	0.989858808302188	0.864466751293139	0.407180413698623	1.01046381516663	0.14976263608154	0.320756466202486	1.01160886197923	1.01128571731194
TWAS21010115	0.439909015650238	1.01836957789633	-0.138018518425923	1.01709879382276	0.802540620153163	0.0160583624866845	0.128334571675001	0.91057799328398	0.995405516739306	0.846213772450501	0.32999809193	0.999806797597342	0.0927086277046929	0.104703815050448	0.935206133415337	1.0300442002571
TWAS21010116	0.535172221816636	0.989029779220764	-0.0942404453721854	1.0175103355342	1.03216801902242	0.913111174094983	0.994897669029105	1.01090400120185	0.9900347139188	0.869947341425701	0.417557184599668	1.00892027743125	0.145645001074107	0.310691451719011	1.00642244562558	1.01027450559761
TWAS21010117	0.423122640234113	1.00144707632133	-0.240824349318682	-0.247057611773047	0.715384541882478	-0.135840733491821	0.0920083683004572	0.706324942670953	1.0488542851236	0.803835123202436	0.182962232541495	0.932044917443048	0.0850444170271901	-0.0795178377494925	0.906038561862503	1.05698696991995
TWAS21010118	0.956587665532763	0.975502678137033	0.976754161643627	-0.161297907709148	0.273669191676348	0.0835348865019604	0.937518145673122	1.02506096894092	0.95521592600177	1.14893919817255	0.751180225093943	0.941683040745707	0.835810188457124	1.23186098893145	0.991864605381489	0.901736072939828
TWAS21010119	0.881896824674274	1.03109510547773	1.18709412835942	0.0587812649018768	0.842179445320873	0.951597919770676	1.13078458847724	1.01544724234495	0.994543127027157	1.06287676339686	0.766085028829857	1.01054790303195	0.779264865598925	1.17981927580876	1.00623720647616	0.879373417977238
TWAS21010121	0.513812766401647	1.00774857220921	-0.0821489924009714	1.02689976390891	0.734450378929583	0.150180552311488	0.175934687733225	0.82677315613002	1.01331474038267	0.879680554397009	0.34676479238059	1.01399138069363	0.0767193296668591	0.210917749163357	0.941360521824767	1.03279546990909
TWAS21010122	0.558635580546794	0.980737548857736	0.303853976008447	1.0121002596938	1.01263027001607	0.781118791466491	0.989786790564627	0.929110094176113	1.00150789475683	0.853356325084644	0.394714139544893	1.01612483962503	0.189401756019115	0.38915045099114	1.00466724214043	1.01288741984947
TWAS21010203	0.894522894231658	0.989478628277983	0.949712087789726	-0.0552471685248363	0.597085465054607	0.0912686717640888	0.882251790882312	0.968866130943608	0.997990950281995	1.07568624573776	0.701210037780411	0.971721147302481	0.664825048391236	1.13415698534244	0.982922173735316	0.899985446795057
TWAS21010204	0.499782998511084	1.01296949271642	-0.102524431396296	1.02624047696427	0.789872480035572	0.108489090283457	0.255861642166612	0.899192589038015	1.01638587680024	0.856023485427829	0.369905300681579	1.01253326445006	0.121419529111218	0.239113165550527	0.934495636941918	1.03651778990724
TWAS21010205	0.537182399290294	1.01070836526383	0.320903262414733	1.0260055837492	1.04755631367348	0.976013980046511	0.987479010003957	1.02544059378475	1.0031487928974	0.881001622030598	0.398579557095756	1.0104845653783	0.154506633111226	0.452103562591778	1.01729080303347	1.01855924726865
TWAS21010207	0.521653843273885	0.990722162947416	0.0252221819583212	1.01500106815607	0.768037616720291	0.221053031774231	0.114119661668295	0.817971878292957	1.00447227227782	0.827487009355452	0.344335310465724	1.02041705476078	0.152409109714368	0.00185510477716677	0.809567094531648	1.0189618572307
