CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.0407206981703	0.327918427050561	1.03081954483179	-0.383636831775364	1.0595359755902	1.07475631440068	0.98456093648831	1.03558889047985	0.994995243287688	1.03188167654922	0.889410693005214	0.310304134733176	1.06623699831718	0.301543060073286	0.637799565179178	1.06891399801648	1.06115646685682
TWAS21010105	1.0728553149463	0.936076194891154	1.08561875897917	1.13932023163212	1.06363001707829	0.872060976136304	0.981029266557482	1.08693134878457	1.0742214788022	1.05929398187848	1.14051701363119	0.827454743049848	1.05206066907968	0.782072659484517	1.11106157775252	1.13911794390949	0.998955639256946
TWAS21010106	1.0225307863242	0.304091102046187	1.03514755053664	-0.345005969894733	1.03193811357614	0.588881990660961	0.439189830021707	0.0675788798901517	0.784101874070888	1.01117787095569	0.912286021370025	0.129342306423559	1.0338050516468	0.212991868533481	0.358842309620281	0.90304111751813	1.06283817309099
TWAS21010112	1.03722104527547	0.960303408138245	0.993358413144255	0.978316382983558	1.0182531136259	0.509851087676703	0.227155586283422	0.93519424385101	1.00737304936691	1.03992960047085	1.10519605150218	0.836228712885851	1.01484521701988	0.77015343058342	1.1192574077348	0.958282263422061	1.01892360636795
TWAS21010114	1.0449263059809	0.346398849202224	1.02447243604164	-0.170340795889306	1.0544088700158	1.06492801093396	0.931091404657869	1.03449496156508	0.977077883693749	1.03605788180517	0.899431331016677	0.295664287613232	1.05307607764116	0.241269624495	0.558849064465988	1.07666222896521	1.06001784926142
TWAS21010115	1.01840161442395	0.2220584310548	1.04358300679873	-0.342541224893885	1.02899715455461	0.681208617386884	0.157332042328739	0.0657063334665276	0.897921139363414	1.01591309149497	0.865639305626163	0.149005841119935	1.01211798161358	0.187614128143159	0.359380176111722	0.904947401617736	1.05730985374735
TWAS21010116	1.02640768029682	0.3723045058555	1.01152358923168	-0.292462651810969	1.03754390595091	1.07688905821696	1.04939109556537	1.0125348568578	1.03234304734876	1.01789315033934	0.887300213188049	0.308767638556359	1.03233628211893	0.233536420105853	0.538849561435953	1.04471531183227	1.03991697399644
TWAS21010117	0.823854648826718	0.148526289924455	0.825585462231639	-0.376574665933593	-0.295301061474542	0.432162669988312	0.00620040213446336	0.021313477313147	0.518262502911189	0.869820006574895	0.623878169118886	-0.0923394604216481	0.745593442017006	0.146608651512347	0.149717648076025	0.643294760376632	0.88344838297692
TWAS21010118	0.828152969950429	0.776264031033426	0.801165959516417	0.805673685811809	-0.219938179231782	-0.171392026692587	0.182005706225523	0.766402683928812	0.847442652502186	0.789864766566842	0.882828295674723	0.685919244913607	0.75994623164022	0.655986177239982	1.00523628561084	0.757160397354214	0.725188269111334
TWAS21010119	0.85622115065467	0.69880172476228	0.891960262522141	1.04448957690462	-0.0233513936306399	0.628933049369931	0.907276079412597	0.968436355479007	0.86598367701424	0.853324384666207	0.827526894557517	0.717484241544053	0.862993516535428	0.638613762627186	0.98655639630214	0.791113867825488	0.725511565406188
TWAS21010121	1.02918376025518	0.34075292495178	1.0400169698377	-0.278638834166805	1.05081379195251	0.572366616352962	0.292548627092147	0.118523281728852	0.800750466322428	1.04675186319797	0.903858235732878	0.180340742741873	1.04196971139931	0.17613892923211	0.454323915028167	0.919935995920075	1.07209084609617
