itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160108	0.528458879441501	1.01324789752371	-0.0888351720156816	1.02200058301833	0.792505488410145	-0.037415615263532	0.244650788895987	0.894827870133967	1.023418111561	0.839021073989867	0.285292396307985	1.01587236728172	0.117059531287339	-0.101753586687088	0.917232581989585	1.03385677988154
TWAS21160114	0.893001623602187	0.964894903346023	1.15672691961833	-0.0590335951089895	0.868837637518052	0.903602102096806	1.14818413982933	1.11665936414572	1.03197830816239	1.07590841263705	0.606101516406806	0.99825202595096	0.828598010312649	1.13612603189997	1.04059127434638	0.9348514936843
TWAS21160116	0.539945155005215	0.99611310671633	-0.0975509283288406	1.02392044367368	1.03225496316821	1.00098551106775	0.969674219902628	0.98477681754806	0.996618549910965	0.865329229942339	0.432428702357877	1.00905798945922	0.203783152786264	0.542479854347157	1.01593497885275	1.01765474074379
TWAS21160118	0.911880941027988	0.98359994826504	0.925414101238998	0.98932851368583	0.68871176134511	0.117470076109194	0.869100334093724	1.04536204303525	0.996509812980078	1.05734324720892	0.634006392461446	0.977485834436848	0.784608036532265	1.04399363665938	0.989656593512119	1.0135203515266
TWAS21160119	0.460098575885366	0.986624494076761	0.197848829974972	1.0119098009832	1.03629831425756	0.821284597238987	0.945354545307782	1.0281695648511	1.00195683600461	0.856796628993534	0.396719237994109	1.00547275979423	0.472635231902636	-0.0185397974554287	1.0075115342772	1.02316882792948
TWAS21160121	0.74045242944698	1.00944628881113	1.04164572126292	1.005135925172	0.941117113824005	0.866035652910321	1.02556220780014	1.03874392777954	0.973771907057339	1.0367515041964	0.621610945744169	0.989166406284073	0.683567114306996	0.971818588653755	1.01060825395526	0.950924882613941
TWAS21160122	0.811851757316714	0.996764871392474	1.11476083515381	0.0504954336630345	0.917853211878495	0.98156895198126	1.09177864410337	1.06744177040232	0.984283311398826	1.04754268166645	0.615617086912199	0.965211429230954	0.726441264251241	1.08118269793439	0.996506751016812	0.852207692664319
TWAS21160203	0.787055378193295	1.00592161010905	1.05285443358545	1.00330528752585	0.881157322062466	0.933033959293307	1.04996168267276	1.04267277108473	1.00135164105976	1.04340509354469	0.59970843857334	0.988733605997196	0.71545152886606	0.983662665767268	1.01134212430108	0.958300156337479
TWAS21160205	0.837392019314355	0.990337905253371	1.05220672058484	1.0185862622911	0.832487087597838	0.785230883234668	1.08335431106895	0.98559795035923	0.993799658166356	1.0561256433302	0.624323928534011	1.00015307060213	0.801905632434096	1.02055560567607	1.00370287034713	0.998665211201311
TWAS21160206	0.457804488389408	0.980910870400059	-0.0460608102142126	1.02825220298567	1.03990804903898	0.764876830365865	0.958044998031492	0.99005538227504	1.00949916439787	0.875099164501421	0.447756449458141	1.01426082431281	0.233245261910629	0.497115512580666	1.01348201481257	1.02212782713398
TWAS21160209	0.481124849917553	0.986119199549645	-0.110899024252985	1.01977944076579	1.05236478022952	0.559886973094931	0.979566620949574	0.941990696766703	1.00484073007331	0.848865970741389	0.501191814592508	1.00231573967571	0.175599041137255	-0.103056368454956	1.01829188337257	1.01852309965598
TWAS21160211	0.509889296021518	1.00859641311735	0.00207486393771202	1.00798757527864	1.07305955359189	0.809309998224958	0.943446197484348	0.90524642634912	0.997705613700394	0.86536156057439	0.316511103104842	1.00670335598276	0.151510134180215	0.263372372803151	1.01187226512599	1.00151063172617
TWAS21160212	0.562832755463157	0.9811511180582	-0.214027573476828	-0.0731542380991838	0.861511933834199	-0.0284207000866301	0.0564586080272415	0.90070626122217	0.946951805970738	0.826733987369011	0.181455481629426	0.999228940727046	-0.211316154592732	-0.469465772316765	0.152367243403764	0.968533802784663
TWAS21160213	0.515828795867894	1.01887096826538	-0.0824341387688325	1.02504444918443	0.75589237594966	-0.0353677935202423	0.164412076955645	0.820659456529242	1.00844869187464	0.868499093347066	0.504584959198933	1.01419930759252	0.154964789435692	-0.0708673503009373	0.906781258935804	1.02733743648985
TWAS21160214	0.470738879057161	1.01090434887138	-0.169144429231537	1.0309982213655	0.725932229830014	0.0867691198189189	-0.0763784751917737	0.784411971359362	0.993698940823502	0.854462553836617	0.21893186916841	1.01799691948204	0.094430299915157	-0.00874910366270732	0.927666066042983	1.02277087474693
