itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	0.560068259317515	1.04304326651106	0.635188652627287	0.696680744917942	0.757623711526508	0.633571227890952	0.673956925782769	0.935814995364381	1.02440893609195	0.940895905539201	0.643285760412272	1.05649185367059	0.553159259826504	0.459188879466114	0.913640301911297	1.01834159651004
TWAS21160106	0.704558261548551	0.912111001486661	0.54225637889287	1.02583867512121	1.1112265052687	0.905901834190135	1.0043926709324	0.895297111107265	1.02254321030393	0.894214329261843	0.673382606638626	0.986452725898488	0.656256190415746	0.514456003092563	1.02459530307314	1.01179905261397
TWAS21160108	0.706539155010058	1.01337984394365	0.591726542320923	1.09973977738225	0.92788860618743	0.584072368141648	0.607826368967874	0.942137145813466	1.03804018393183	0.922518136435413	0.654079587967986	1.00180206093225	0.587740194356181	0.553204714894077	0.957610063742959	1.0243234791069
TWAS21160113	0.742190212640064	1.01441762991896	0.638386321325935	1.11071685757311	0.801540696319395	0.567867787023182	0.6668772170816	0.947771954874987	1.04903573300559	0.940990075274944	0.715611393694713	1.03280305703982	0.71149234265558	0.593485811153401	0.898453500860435	1.0073239200809
TWAS21160116	0.75991303936859	0.997738078359091	0.567578808072215	1.108540101139	1.13286072120611	1.10683869748098	1.00266175150054	0.984317784394348	1.05505931282197	0.930604470910724	0.664719504702491	1.01325582494447	0.665428422893331	0.528295288057092	1.02971974100855	1.01421522756274
TWAS21160118	0.948378852058968	0.996296101737814	1.1606725851357	1.0861266183065	0.847904260247086	0.643693201083089	0.977722169426125	1.02798076417973	1.0180619958835	1.07507605025764	0.833978825316021	0.98779566477715	1.00230180371631	1.274034030401	0.993854852651133	0.996704886796147
TWAS21160119	0.775558133370576	0.996827767438016	0.574697573845375	1.09572655906347	1.12557727697229	0.973260711153927	1.00700475312354	1.02001860207055	1.00075149324844	0.928187267177226	0.696295071781381	1.00413653805777	0.714042093122459	0.595285258666636	1.0123393101273	1.01804723861858
TWAS21160121	0.86176034531294	1.0083832222952	1.26529980294642	1.09581495730506	1.04264802477245	1.02140564886929	1.09848925588815	1.0324763066529	1.02198367270339	1.06062681805386	0.81265834662663	0.990237402646148	0.930061274279816	1.2059491414094	1.01538425448062	0.977286290700948
TWAS21160122	0.928524982160195	1.01400164888295	1.34656134666032	0.569775164022285	0.912913049631773	1.09615085794369	1.13960971158405	1.05439334270933	1.02727485968164	1.06730827281986	0.836496331581849	1.01971533510626	0.97126826414986	1.3296667296792	1.01668677459295	0.956645067553725
TWAS21160203	0.883731827836906	1.00566618871645	1.27548171489661	1.09273824321961	0.990816060249788	1.05800968807902	1.1056737648354	1.02688399839499	1.01485293443664	1.05777585724721	0.806052290185933	0.989258746909926	0.948721833907154	1.22336549910256	1.01285788977963	0.969150230697499
