CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.08697	0.61939	1.1134	0.5114	1.12426	1.25281	1.23215	1.18842	1.026669	1.016053	0.9980041	0.75206	1.08445	0.72077	0.89712	1.13594	1.078715
TWAS21010104	1.13328	0.61988	1.13389	0.4668	1.17113	1.45089	1.37665	1.15546	1.11004	1.1553	1.027959	0.70918	1.1945	0.68439	0.60116	1.2011	1.19507
TWAS21010105	1.11924	0.88112	1.14271	1.49982	1.13928	1.096394	1.23618	1.22767	1.096305	1.022466	1.21389	0.938161	1.057091	0.9989389	1.28905	1.16018	1.044615
TWAS21010106	1.083536	0.55603	1.11166	0.54481	1.13321	0.930466	0.66019	0.66794	0.944221	1.080535	0.9975085	0.63643	1.096075	0.6385	0.75117	0.9970442	1.12276
TWAS21010107	0.70818	0.60231	0.73184	0.85881	0.5903	0.54003	0.56494	0.84107	0.75443	0.76988	0.70876	0.81097	0.52273	0.6824	1.052824	0.75792	0.64708
TWAS21010112	1.10202	0.88359	1.06852	1.35069	1.12865	0.85731	0.74835	1.10115	1.068401	1.11043	1.1762	0.957642	1.10112	0.978247	1.33939	1.024127	1.11042
TWAS21010114	1.10733	0.59678	1.1007	0.52969	1.15131	1.30402	1.17533	1.1754	1.036453	1.11767	1.0052439	0.7369	1.1404	0.64525	0.87553	1.15205	1.14051
TWAS21010115	1.083568	0.56169	1.11442	0.46214	1.13669	0.91352	0.67596	0.56367	0.99941249	1.091962	0.988648	0.61808	1.091948	0.59072	0.68454	1.003889	1.12864
TWAS21010116	1.084816	0.60434	1.083205	0.52275	1.13291	1.29856	1.27719	1.15072	1.084712	1.099335	0.986353	0.72707	1.10766	0.66226	0.82677	1.11302	1.11482
TWAS21010117	0.82718	0.45797	0.82804	0.51677	0.39375	0.59322	0.66195	0.52475	0.72939	0.8897	0.70861	0.26778	0.78141	0.5118	0.64597	0.73965	0.88963
TWAS21010118	0.7777	0.68655	0.76605	1.022171	0.51955	0.53721	0.63381	0.77412	0.8063	0.77858	0.916036	0.73044	0.76026	0.79268	1.14308	0.78596	0.75937
TWAS21010119	0.80828	0.65824	0.83118	1.32496	0.50773	0.67896	0.98394	1.0072411	0.811	0.85322	0.88928	0.78874	0.84389	0.75812	1.095123	0.78322	0.7669
TWAS21010121	1.09255	0.59024	1.11643	0.57803	1.14725	0.922817	0.68621	0.62286	0.95284	1.10567	1.015089	0.63176	1.11763	0.63543	0.78672	1.034771	1.14129
TWAS21010122	1.10585	0.59121	1.094416	0.52368	1.15083	1.28817	1.18308	1.16815	1.018809	1.11008	0.9900938	0.73306	1.12503	0.68618	0.89283	1.15915	1.13091
TWAS21010203	0.89205	0.71793	0.89091	1.081774	0.55868	0.56398	0.6617	0.89648	0.88709	0.931175	0.9952827	0.8313	0.89514	0.80785	1.27794	0.87022	0.84118
TWAS21010204	1.11201	0.59485	1.129	0.55319	1.18093	0.9978017	0.67403	0.60142	1.017489	1.11919	1.030007	0.6519	1.12284	0.64075	0.77517	1.036601	1.15891
TWAS21010205	1.12941	0.62909	1.15349	0.56667	1.19766	1.37943	1.37856	1.19983	1.13568	1.12839	1.046598	0.69801	1.14723	0.7081	0.95688	1.20392	1.15785
TWAS21010206	0.88901	0.72245	0.908668	1.17785	0.58686	0.6	0.73459	0.96078	0.89808	0.932101	0.942232	0.906342	0.83799	0.83612	1.16391	0.78412	0.89926
TWAS21010207	1.084602	0.5884	1.084395	0.5628	1.13352	0.88708	0.66667	0.59949	0.934884	1.098187	0.96012	0.67711	1.11569	0.65461	0.69732	0.79117	1.11805
TWAS21010208	1.092222	0.88082	1.062431	1.3645	1.11886	0.8189	0.72411	1.11878	1.0556	1.10055	1.20475	1.039515	1.079801	0.986565	1.36794	1.029174	1.10104
TWAS21010211	1.062341	0.55722	1.065907	0.55759	1.1036	0.89123	0.58731	0.65094	0.956831	1.089026	0.932033	0.67292	1.092661	0.62232	0.67099	0.77211	1.099626
TWAS21010212	1.11057	0.87505	1.13863	1.47453	1.13473	1.10974	1.23053	1.2447	1.049055	1.029484	1.19733	0.87655	1.064429	0.9936067	1.28366	1.15119	1.043523
TWAS21010215	0.59483	0.22179	0.63355	0.4331	0.54688	0.79622	0.72677	0.71052	0.5046	0.53315	0.60359	0.52393	0.49609	0.52917	0.56121	0.49232	0.52216
TWAS21010216	1.12341	0.61142	1.14151	0.52394	1.18013	1.42369	1.33914	1.16448	1.11902	1.12881	1.026695	0.69785	1.15256	0.71264	0.89072	1.18338	1.16087
TWAS21010217	1.084247	0.57577	1.069542	0.48708	1.14548	1.24559	1.14442	1.16353	0.9984114	1.099006	0.971055	0.72537	1.1229	0.65407	0.86116	1.13578	1.10878
TWAS21010218	0.5023	0.54144	0.59686	0.52945	0.48455	0.43784	0.63029	0.53764	0.51357	0.50731	0.51093	0.52641	0.48683	0.46448	0.26764	0.46846	0.57248
TWAS21010219	1.11796	0.59628	1.15474	0.5427	1.16224	1.37066	1.2308	1.16196	1.017912	1.13588	1.0075536	0.67303	1.16217	0.6733	0.88359	1.16616	1.16344
TWAS21010222	1.092313	0.58633	1.068085	0.51974	1.12843	1.28192	1.21503	1.17094	1.04472	1.11889	0.970924	0.72541	1.15459	0.63013	0.52774	1.11051	1.1284
TWAS21010302	1.12048	0.87549	1.12958	1.35592	1.15969	0.910067	0.72934	1.061213	1.062072	1.10932	1.217	1.034249	1.11841	0.970728	1.34936	1.15949	1.1116
TWAS21010304	0.6542	0.21598	0.65372	0.47629	0.54301	0.906934	0.82315	0.68599	0.71679	0.70149	0.56444	0.5016	0.73447	0.52926	0.55836	0.6796	0.61956
TWAS21010305	0.85379	0.6873	0.8594	1.28483	0.56383	0.67671	1.016221	0.99946679	0.87	0.88934	0.961848	0.80252	0.86879	0.79154	1.19336	0.82368	0.80325
TWAS21010306	0.76041	0.44443	0.75208	0.50093	0.23145	0.51604	0.5873	0.55164	0.69867	0.81076	0.67262	0.48021	0.75063	0.53973	0.55441	0.64684	0.82225
TWAS21010307	1.10398	0.89196	1.098546	1.43161	1.11777	1.092193	1.23288	1.24108	1.11727	1.014108	1.19261	0.933122	1.049363	1.019389	1.31625	1.15562	1.0614
TWAS21010308	1.13775	0.87403	1.15823	1.49675	1.1792	1.13297	1.30893	1.26663	1.11938	1.12669	1.23965	0.931796	1.1426	0.977953	1.34305	1.20849	1.11387
TWAS21010309	1.093304	0.89081	1.071533	1.35399	1.12363	0.79813	0.70463	1.12534	1.069873	1.10381	1.21061	0.9949699	1.084882	1.0016712	1.36691	1.0034615	1.10486
TWAS21010312	1.11915	0.89255	1.092009	1.55227	1.17412	1.087062	1.22518	1.27212	1.11465	1.10144	1.19939	0.955779	1.10936	1.0083201	1.37301	1.16451	1.11859
TWAS21010313	1.10795	0.87147	1.12052	1.50641	1.1641	1.19397	1.30891	1.24756	1.19094	1.10822	1.16782	0.923227	1.11758	0.953401	1.31419	1.17877	1.094035
TWAS21010314	1.10144	0.86982	1.077768	1.52848	1.13457	0.9976872	1.31054	1.25932	1.091806	1.095815	1.18213	0.943541	1.10071	0.986022	1.34979	1.13532	1.10191
TWAS21010316	0.72737	0.21922	0.75105	0.50634	0.23894	1.044117	1.018517	0.82914	0.7073	0.78942	0.66281	0.48541	0.80196	0.53119	0.53594	0.73033	0.75271
TWAS21010318	0.75455	0.64967	0.78194	0.952217	0.54119	0.55113	0.66002	0.7975	0.76357	0.8024	0.85214	0.66004	0.76704	0.74548	1.11449	0.75824	0.72604
TWAS21010319	1.12609	0.84661	1.12469	1.51028	1.12722	1.12047	1.248	1.21365	1.080493	1.1401	1.17003	0.926604	1.17904	0.906812	1.21579	1.14941	1.10605
TWAS21010321	1.11964	0.60415	1.14788	0.52021	1.18121	1.40609	1.29853	1.20346	1.041737	1.11975	1.035917	0.68207	1.16324	0.67393	0.943597	1.19805	1.15219
TWAS21010322	0.64268	0.21784	0.52707	0.44522	0.56219	0.88952	0.900222	0.69287	0.61926	0.53143	0.58634	0.46888	0.67308	0.53652	0.60542	0.53219	0.49496
TWAS21010323	1.072886	0.85901	1.059142	1.34177	1.12094	0.80883	0.76286	1.093071	1.1173	1.097626	1.17947	0.919792	1.063412	0.99973774	1.35617	0.9978602	1.10595
TWAS21010324	1.11741	0.88303	1.13656	1.32953	1.14014	0.94346	0.72875	1.046677	1.13936	1.11943	1.21901	0.913362	1.11943	0.985435	1.34933	1.15387	1.11675
