CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.0021007	0.57012	1.045078	0.62804	0.68346	0.85536	0.6291	0.6661	0.944581	1.027232	0.943354	0.64521	1.059076	0.57155	0.45992	0.917709	1.027256
TWAS21160104	0.73331	0.47101	0.71501	0.50342	0.48332	0.93397	0.78125	0.76058	0.49322	0.85839	0.50394	0.49471	0.918468	0.40365	0.3314	0.51691	0.81245
TWAS21160106	1.04011	0.76762	1.1164	0.5639	1.067215	1.15581	0.942212	1.044875	0.9327	1.063574	0.930527	0.69729	1.026049	0.66548	0.53499	1.066244	1.060222
TWAS21160108	1.03646	0.914984	1.050225	0.61301	1.13995	0.975046	0.59548	0.64214	0.977421	1.075899	0.95684	0.67967	1.038451	0.62155	0.57314	0.993671	1.07075
TWAS21160113	1.051505	0.68974	1.066631	0.65784	1.16808	0.919111	0.62308	0.6939	0.996856	1.10335	0.989874	0.75016	1.086232	0.74287	0.62388	0.946447	1.069086
TWAS21160114	0.89853	0.947821	0.88866	1.28207	0.57618	0.89265	0.971253	1.075851	0.98828	1.0019898	0.974717	0.80076	0.979179	0.927416	1.25191	0.974634	0.942972
TWAS21160116	1.058546	0.9954045	1.05609	0.60043	1.17355	1.1994	1.17201	1.062069	1.042694	1.11692	0.986095	0.70874	1.072824	0.69996	0.55891	1.090216	1.08282
TWAS21160118	1.047267	1.035204	1.043386	1.21573	1.13766	0.900201	0.66339	1.024509	1.076623	1.06626	1.12581	0.87212	1.034774	1.047636	1.33394	1.040859	1.053254
TWAS21160119	1.052778	0.8461	1.049435	0.60816	1.1537	1.18506	1.025619	1.060388	1.074158	1.053637	0.977527	0.72901	1.0572	0.75332	0.62658	1.065733	1.080645
TWAS21160121	1.06599	0.957758	1.074845	1.34873	1.16832	1.11211	1.089589	1.171	1.1009	1.089568	1.13058	0.86691	1.055799	0.9919838	1.28618	1.0823	1.050576
TWAS21160122	1.011026	0.978251	1.025036	1.36084	0.58722	0.965213	1.10865	1.15186	1.066221	1.039013	1.078893	0.84581	1.031626	0.982328	1.34429	1.028705	0.972711
TWAS21160203	1.069335	0.984957	1.075346	1.36388	1.16867	1.060227	1.1319	1.18231	1.098109	1.085261	1.13108	0.86202	1.05797	1.014658	1.30838	1.082884	1.045268
TWAS21160204	0.77932	0.914445	0.70991	1.035414	0.52264	0.51545	0.957868	0.984438	0.8216	0.39111	0.82789	0.82189	0.47088	1.24906	1.058395	0.81798	0.8133
TWAS21160205	1.050415	1.012828	1.049573	1.33378	1.1604	0.9965915	1.037988	1.18812	1.029488	1.038599	1.12908	0.86968	1.052111	1.054589	1.31847	1.058651	1.045913
TWAS21160206	1.05898	0.8593	1.049921	0.63813	1.1758	1.19377	1.024293	1.091554	1.048054	1.063619	1.0052872	0.75066	1.072809	0.77405	0.61494	1.070562	1.077733
TWAS21160209	1.053744	0.88407	1.04508	0.60858	1.15706	1.19672	0.964079	1.091012	1.001298	1.060692	0.981523	0.74161	1.054592	0.70086	0.49512	1.07777	1.067535
TWAS21160211	1.074182	0.90937	1.08741	0.67572	1.18062	1.25165	1.057713	1.1061	1.0049315	1.056204	1.021987	0.73367	1.077144	0.69392	0.572	1.073636	1.076326
TWAS21160212	0.88669	0.51196	0.901034	0.26557	0.62114	0.86239	0.58562	0.61805	0.85196	0.960046	0.85006	0.56926	0.959384	0.5582	0.44872	0.63313	0.937
TWAS21160213	1.044634	0.89368	1.067753	0.63806	1.15779	0.956233	0.59925	0.63173	0.935334	1.040113	0.992051	0.69737	1.057038	0.66234	0.61325	0.978274	1.063352
TWAS21160214	1.036921	0.931861	1.04858	0.4982	1.14172	0.92435	0.60918	0.57619	0.915152	1.083987	0.960694	0.67544	1.065297	0.58207	0.49274	0.9949335	1.080471
TWAS21160216	0.88144	0.921067	0.79258	1.097057	0.935266	0.75365	0.8299	0.9929779	0.87493	0.942645	0.920562	0.85548	0.976804	0.78404	1.044673	0.914029	0.8805
TWAS21160217	1.044667	0.927205	1.031043	0.65782	1.16876	1.16513	1.10989	1.098497	1.036414	1.068763	0.97174	0.72973	1.071338	0.7187	0.5761	1.065339	1.070466
TWAS21160218	1.020186	0.979025	1.12705	1.14874	1.055506	0.939485	0.61949	0.89801	1.029551	1.012062	1.095407	0.81384	0.974332	1.043891	1.27863	1.038214	1.026186
TWAS21160219	1.0082977	0.86049	1.081817	0.48794	1.059091	0.933179	0.56446	0.54057	0.902552	1.033538	0.8885	0.66462	0.971725	0.60186	0.53125	0.933517	1.031296
TWAS21160221	1.038711	0.943697	0.9933581	1.19686	1.11102	0.95304	0.65534	0.964451	1.070291	1.087203	1.11123	0.8502	0.9941731	1.0031491	1.25091	1.04562	1.026476
TWAS21160302	1.066753	0.83237	1.073799	0.61361	1.18946	1.21092	1.091255	1.12407	1.0080502	1.070387	1.01576	0.73733	1.063145	0.73868	0.65735	1.066703	1.081812
TWAS21160304	1.064975	0.95615	1.084162	1.34921	1.17157	1.10065	1.035187	1.16633	1.043251	1.04968	1.11723	0.8445	1.066211	0.985916	1.28209	1.068737	1.037821
TWAS21160306	1.053299	0.987111	1.07872	1.19622	1.13351	0.931316	0.68538	1.002437	1.016909	1.049893	1.11301	0.84325	1.039725	0.986731	1.31381	1.06152	1.052053
TWAS21160308	0.9907414	0.989866	1.024285	1.16783	0.62113	0.82906	0.67142	0.958707	1.036927	1.05749	1.077128	0.82811	1.0099895	0.965923	1.37891	0.99943577	0.963655
TWAS21160309	0.959607	1.065348	0.938591	1.30845	0.5482	0.975404	0.971526	1.075838	0.962184	1.016232	1.017303	0.83146	1.0014323	0.973285	1.31367	0.946448	0.935954
TWAS21160311	1.026214	0.87037	1.020754	0.49597	1.13129	0.88274	0.61123	0.62376	0.912367	1.074951	0.952224	0.68952	1.051112	0.61983	0.59824	0.974045	1.056527
TWAS21160312	1.056419	0.96618	1.065772	1.18251	1.11559	0.903269	0.64302	0.949521	1.003659	1.099373	1.12601	0.83662	1.051374	0.967643	1.29747	1.058384	1.053587
TWAS21160314	1.027848	0.966194	1.13993	1.13818	1.061875	0.89264	0.66012	0.904766	1.031867	1.075384	1.10065	0.81224	1.0014676	0.945279	1.27199	1.058437	1.068428
TWAS21160316	0.89705	0.956506	0.85127	1.24376	0.54181	0.910001	0.936402	1.024446	0.975357	0.978894	0.958579	0.7822	0.970092	0.935958	1.25471	0.929145	0.924474
TWAS21160318	0.98466	0.91671	1.023162	0.61646	0.64343	1.18813	1.16931	1.083683	0.929526	1.01438	0.88843	0.64992	1.039801	0.58492	0.47513	0.9952804	1.0079362
TWAS21160322	1.041307	0.913495	1.044288	1.27985	1.13088	1.078496	0.971939	1.11139	0.98645	1.048324	1.078936	0.76528	1.029768	0.81796	1.30406	1.052408	1.033249
TWAS21160402	1.056159	1.016698	1.06845	1.18868	1.12682	0.86802	0.69128	0.980165	1.012696	1.077202	1.12714	0.84682	1.043741	1.013012	1.3222	1.053823	1.062656
TWAS21160403	0.9882	1.019248	0.938531	1.36928	0.59739	0.950366	1.02822	1.13685	1.0054809	1.015668	1.061531	0.85359	1.02643	1.026764	1.35111	0.9986007	0.970594
TWAS21160405	1.06039	0.963226	1.07432	1.33204	1.16316	1.11071	1.088846	1.17113	1.089308	1.060618	1.13531	0.85236	1.049676	0.9943775	1.29389	1.06588	1.041833
TWAS21160409	1.052063	1.023975	1.061984	1.20024	1.15447	0.915348	0.66694	0.956706	1.081658	1.052512	1.12441	0.86603	1.045572	1.026243	1.32678	1.061164	1.057238
TWAS21160415	1.030322	1.0099234	1.017399	1.17378	1.10348	0.78746	0.66481	1.0057309	1.013892	1.038928	1.1071	0.9964635	1.026094	1.033907	1.31605	1.025042	1.035225
TWAS21160417	1.057672	0.972618	1.093794	1.35712	1.16224	1.074136	1.033727	1.16501	1.041823	1.069214	1.1367	0.85991	1.066954	0.9966428	1.29732	1.057334	1.027914
TWAS21160418	1.031228	0.87949	1.021484	0.56383	1.14124	0.917265	0.6323	0.61777	0.963511	1.04802	0.946461	0.68752	1.024684	0.65972	0.59893	0.940124	1.048399
TWAS21160419	1.018175	0.963226	1.091368	1.13788	1.022548	0.918474	0.63965	0.945506	0.968712	1.036151	1.081351	0.81351	0.969318	0.947943	1.26677	1.017732	1.036963
TWAS21160421	1.037017	0.68357	1.078887	0.27384	1.15867	0.908719	0.63966	0.68637	0.937126	1.079959	0.982847	0.70821	1.064424	0.69124	0.57788	0.933152	1.065201
