itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	0.580269210043789	1.02412186729295	0.470262386917253	1.03480714092607	1.15236354206706	1.13352178159006	1.09365890620316	0.953995391171132	0.932664384934684	0.918926975993997	0.690781790528176	0.997789380566779	0.679167762474275	0.865653374137224	1.04497746161302	0.992324442425502
TWAS21010104	0.555975053588914	1.00040577613507	0.411774564893307	1.03374998897347	1.27995906953768	1.21457618446936	1.02019177332992	0.989714457097995	1.01850692024735	0.907553610966541	0.625177527059093	1.05398586840504	0.606908779760592	0.530296481215211	1.0599137284652	1.05444457186207
TWAS21010105	0.792858992330426	1.02059803037473	1.33895233078276	1.0186784046571	1.04573173453808	1.10470442228194	1.09718663226221	0.990053660235176	0.911439183578718	1.08423139079115	0.837854126302444	0.945137989839377	0.887590378657333	1.09765091383113	1.03646396014321	0.933517557878948
TWAS21010106	0.526670078518703	1.02556583721777	0.502381380509104	1.04636891341734	0.88092267544527	0.673103079426993	0.615922283543347	0.871475533793472	0.996138152343804	0.921905473256152	0.55791157770493	1.01168789852968	0.591587479425149	0.731980580107058	0.952566957596212	1.03594893287412
TWAS21010112	0.817843019881004	0.969554491365549	1.22590153823828	1.02467892903788	0.797081337977072	0.72409664780148	1.00058046727616	0.979951204469598	1.00619467421274	1.0671074590045	0.868681069510956	0.999401393121463	0.888214700333769	1.18096974314323	0.930214228704107	1.00762770280075
TWAS21010114	0.542382826605041	0.993933704051419	0.478163140030331	1.04005380226764	1.17741207481765	1.06171011771503	1.06192677114176	0.946046977684697	1.00848559254712	0.908535783924316	0.664367733082978	1.02990720011555	0.595851086878024	0.966914313569726	1.04048710912111	1.02988011843721
TWAS21010115	0.507740417734488	1.02807797685852	0.426181765868387	1.04945438516083	0.874976599380471	0.644566030323514	0.519811909739545	0.93308759993102	1.00692658338044	0.931990191566924	0.554228111544644	1.00795667173565	0.563689800465338	0.703936745013017	0.927622321839441	1.04142209368916
TWAS21010116	0.564920697208697	0.99830874753359	0.481537160575026	1.0447813439009	1.19657033159971	1.17702328511974	1.06174913825344	1.00944282627079	1.01397770420768	0.910355328827011	0.673129535568808	1.0211167056318	0.614193624457206	0.913462130130639	1.02619230535397	1.02753720110613
TWAS21010117	0.523093477091293	1.05707857597018	0.561666838755957	0.427958894208561	0.706852233266128	0.72504659996848	0.570340139011918	0.887448169422813	1.09848978061333	0.872981800198899	0.676028324085798	0.934825256911196	0.576165814371811	0.711927961611408	0.869547260247917	1.11755908549939
TWAS21010118	0.755240826235139	0.939569496933686	1.1670226806528	0.550770421333277	0.605396924675215	0.730031855742779	0.93878502939103	1.00999772080376	0.963427911143149	0.97496382438528	0.821136099818194	0.946958333112481	0.838818422266157	1.1943836364311	1.0240799732857	0.999000333928751
TWAS21010119	0.729040110269373	1.0045522672097	1.42685730136783	0.545895755876338	0.832492909257854	1.15472010115194	1.13973223981438	1.03750513393385	1.05295316777158	1.02399563051159	0.849985915280953	1.04025004139402	0.861952550624351	1.16420202002826	1.00502749208138	0.953073156675834
