itraconazole_both	methotrexate_both	tamoxifen_both	beauvericin_both	benomyl_both	bisantrene_both	camptothecin_both	cisplatin_both	colchicine_both	cycloheximide_both	fluconazole_both	imatinib_both	ketoconazole_both	miconazole_both	mitoxantrone_both	valinomycin_both
TWAS21010103	0.502352555345664	0.99273341227718	0.00867386101631521	1.02406057540835	1.02759144574489	0.834865869342019	1.00238812768642	0.970610605986796	0.98984353407367	0.85689853413979	0.391673733794444	1.02313295805943	0.22618201638503	0.461062144238701	1.00933279482699	1.0153537171009
TWAS21010105	0.860683866997723	1.0087356629277	1.05484283952755	0.997519680133967	0.887374999772801	0.802479626132336	1.02020005812418	1.00719032817979	0.986048389532909	1.05408009893773	0.674906300449305	0.989705531335555	0.758880977142573	0.914979424539865	1.02549949003411	0.94550378211296
TWAS21010106	0.49091861197261	1.0090660575065	0.00867386101631521	1.01522713641037	0.736270903420923	0.305957106992823	0.0857213002960541	0.817495142469848	0.987455496003572	0.893021628604093	0.28836466726966	1.01285959495199	0.127402080920227	0.177651262524234	0.93498866923154	1.03096471527071
TWAS21010112	0.891135572591702	0.968237362737083	0.937865282882708	0.987881006457229	0.682476139200645	0.0904016081446991	0.910191953065383	0.982876292597417	1.00000530908092	1.04977531632443	0.692716548990449	0.988037726643468	0.775317786175327	0.954276945725265	0.951415195759039	0.985938102753064
TWAS21010114	0.513380167185515	0.985213997272157	0.00867386101631521	1.01510260019955	1.01894224402001	0.77856953734633	0.997403244442875	0.953623334957575	0.989849065708412	0.864438660286515	0.382855033688487	1.01040284088636	0.154809125391171	0.377772120794582	1.01207352092678	1.01125549274094
TWAS21010115	0.438576500726213	1.01832461353684	0.00867386101631521	1.0164249975439	0.79557703019916	0.0243400262483189	0.0841713724446122	0.910439259315529	0.995379547784944	0.846183494731215	0.299616380168541	0.999765968813487	0.0982036178265493	0.176829475585405	0.93427977890103	1.0300067067089
TWAS21010116	0.534126976745998	0.989005809464184	0.00867386101631521	1.01686833071511	1.03810065475062	0.913050939425137	0.99391702200009	1.01083883144845	0.990024456730107	0.869919906995515	0.394046047613635	1.008862220978	0.150723859058575	0.368411020046251	1.00679267895375	1.01024467287467
TWAS21010117	0.421739505350937	1.00141422115198	0.00867386101631521	0.0112103078522249	0.703526133363751	-0.126146525436151	0.0460349625446711	0.706036439807561	1.04867195695215	0.803799768507514	0.21224370145701	0.932132182350059	0.0905996554087518	0.0054916742622598	0.904581172849265	1.05693903595504
TWAS21010118	0.956813214902109	0.975488387932753	0.967071645730623	0.0112103078522249	0.368989237919107	0.0911890706965495	0.933678163564901	1.02500617980807	0.955307527819064	1.14894518705539	0.753847774714094	0.941752086223386	0.835463666947378	1.22515701462941	0.991969793833184	0.901748299236037
TWAS21010119	0.881897140947169	1.03104103514579	1.21042721887835	0.0112103078522249	0.83744203237213	0.951179788086039	1.13657545527159	1.0153854039308	0.994519680910725	1.06287244197268	0.769922126528435	1.01048676979615	0.779362846131208	1.17675492634061	1.00660406727884	0.879394309879818
TWAS21010121	0.512703111073656	1.00771120789495	0.00867386101631521	1.02698308929611	0.72366273695958	0.157214983278745	0.13414349638403	0.826572972122935	1.01323637972178	0.879654286008827	0.317698727751492	1.01392373807879	0.0823400114510699	0.27561515937552	0.940546216150703	1.03275691023435
TWAS21010122	0.557661090134682	0.980719512750723	0.188550982714043	1.01104032832277	1.01746563589865	0.782285984028763	0.988551458358316	0.928984948901996	1.00146407388411	0.853326903045432	0.36941055765837	1.01605316402544	0.194136642726342	0.441382857096804	1.00500551965077	1.01285657461319
TWAS21010203	0.894561284901758	0.989454337339659	0.935784965008117	0.0112103078522249	0.578583199573336	0.0988509377278751	0.875657777061893	0.968770136850714	0.997957417891153	1.07568345889364	0.69995653365261	0.971733410236247	0.665822638826989	1.13428610504318	0.982864553305242	0.899998351464971
TWAS21010204	0.498631035879705	1.01292839248174	0.00867386101631521	1.02627287265517	0.782197427970625	0.115911219652857	0.218053368959968	0.899045506702637	1.01629853182596	0.855994382915273	0.342655022257839	1.0124683781857	0.12668882321334	0.301838681842852	0.933556346892745	1.03647778782059
TWAS21010205	0.536143215986957	1.0106688830182	0.208276377416456	1.02601983401767	1.0543531795487	0.975368797855726	0.986128676530186	1.02538608301245	1.00310017173543	0.880975511906738	0.373579286259083	1.01042355187286	0.159515829922372	0.499933236838634	1.01785890928774	1.01852620417957
TWAS21010207	0.520567833014059	0.990696982176245	0.00867386101631521	1.01416522327	0.75913628535923	0.227428403411185	0.0692481053716103	0.817765240734007	1.00441977940456	0.827454488164001	0.315078609585693	1.02033726537099	0.157434795129451	0.0811736630394061	0.806353313930501	1.01892865812886
TWAS21010208	0.890826629321853	0.966817624595125	0.953404887449483	0.987935578193952	0.651767676911003	0.0728962625104351	0.953839769996826	0.981549883775044	0.997972007134118	1.06756635837902	0.786840694860328	0.986815206164832	0.785179660739318	0.994772819845524	0.956357543412737	0.992002780132375
TWAS21010211	0.496904955667624	0.994883805875868	0.00867386101631521	1.01735545636396	0.786743002403992	-0.010040150315525	0.0611154262025299	0.859547298595363	1.00487626591182	0.825672089598363	0.322421747644892	1.00794615710737	0.261913153404079	0.162289337139419	0.806560299492173	1.01817495140803
TWAS21010212	0.858890078090893	1.00803321563301	1.04427389790605	0.999603797296854	0.912715812774552	0.824362400772872	1.03783506659961	0.97937999083763	0.998765591226329	1.03505889823164	0.605471725074383	0.996859724186337	0.773226657383008	0.916500892898737	1.01339894510732	0.954764526727895
TWAS21010216	0.51010631262308	1.0096569152362	0.00867386101631521	1.01899397973993	1.08085884995758	0.9408985947058	0.967036464858851	1.00711894557557	0.998191450942402	0.852678480618663	0.330523601894269	1.01462254304579	0.149597839308891	0.406265617196531	1.01491673233308	1.01531013100467
TWAS21010217	0.520594267749351	0.976207076090989	0.00867386101631521	1.02150309947034	1.008813605288	0.756283617824093	0.988563693751259	0.941100672528135	0.997126122874833	0.867686336281511	0.36338613912571	1.02195521874724	0.173505404808795	0.426782830003962	1.00631150351729	1.01106188678357
TWAS21010219	0.540377070466708	1.01787658279979	0.00867386101631521	1.00998313834861	1.05621606449401	0.857161474640391	0.966291067100181	0.921622961827734	0.999733202387114	0.854115796040734	0.314193039852233	1.01858913453943	0.143631132654976	0.420407529789469	1.01262610175304	1.01983393421999
TWAS21010302	0.860641313920271	1.00282946085813	0.908559648270289	0.991262178918612	0.776867598183958	0.106728796899709	0.859490913097775	0.961777932038156	0.987088524948935	1.06987578472762	0.771348942307769	0.992714560639515	0.719879957116761	0.939186182188948	1.00192277585665	0.966667103007042
TWAS21010305	0.894660629781286	0.999488041694661	1.14820651610935	0.0112103078522249	0.885287409500647	0.875077282970337	1.05458239133567	1.01457561711519	0.991304466178637	1.09071792147455	0.731992888713289	0.999921080005704	0.763728232587129	1.12668034861823	0.995225147371436	0.875828207887046
TWAS21010306	0.407072564292496	0.981919052145934	0.00867386101631521	0.0112103078522249	0.417303911580584	0.085798103473883	0.168608413423039	0.648525051116853	1.00944715704889	0.733438557826503	0.21224370145701	0.963211393951556	-0.12522915936185	-0.0934462017196169	0.930523265686488	1.06076879825793
TWAS21010307	0.893080916684885	0.97844462825378	1.02340193912091	1.00323468444587	0.927490043993694	0.843325152661248	1.04659065920149	1.05715928651833	0.98717990592756	1.0394736091636	0.670904048614888	0.985913789901827	0.824106103869539	0.939762359779888	1.00804272711605	0.973622562479167
TWAS21010308	0.849222762584067	1.00929658098674	1.02620960828015	0.995084084166313	0.887986951225669	0.884871239015899	1.04292071090785	0.997659541199261	0.993411517302294	1.05723347726219	0.636149405083461	1.00026615800008	0.741769425998058	0.908050941273667	1.00997058567111	0.955121216527935
TWAS21010309	0.905174410662013	0.968693548372541	0.95252343112374	0.9858646076195	0.687009315092284	0.0861609775823333	0.949548955864459	0.989528297452528	0.99959252780751	1.08084137535079	0.751996546952425	0.983198341804302	0.821695473878544	0.983561751826816	0.957368318572464	0.98944404990716
TWAS21010312	0.880797208529497	0.971452311519379	1.08931636413719	1.01726233409931	0.886007994975724	0.805909645964058	1.06841682494801	1.00912043736175	0.99459382290405	1.03686794686181	0.675490668374992	0.992687096720575	0.749232458193891	0.957949825769377	0.999203410884618	0.987862948438789
TWAS21010313	0.879981187404878	1.00966972256375	1.0631365226765	1.01200775776169	0.960491055567412	0.925117528476383	1.05312783743632	1.06784703762302	0.989019124012413	1.03305786194717	0.631213833222788	1.0053337405012	0.724145907467493	0.928860847224762	1.02036512653078	0.970825397981598
TWAS21010314	0.874272364767811	0.969161648710375	1.08838285253711	0.997400161106352	0.856095955482699	0.929005700532989	1.07351886740438	1.00751680151388	0.984147642504866	1.04072752549619	0.681557997181563	0.995352668217256	0.756523845833737	0.964400307492232	1.00672876664948	0.981765615284737
TWAS21010318	0.920280168199602	1.00831868202624	0.968574589487703	0.0112103078522249	0.407943407584302	0.34146832722395	0.96458013410883	0.981212787648366	1.00210324090994	1.0752364972231	0.619988622230779	0.987154838698888	0.95723446887165	1.24168308615212	1.01198087638681	0.916259559271632
TWAS21010321	0.512859054183905	1.01030300975905	0.0627298985106545	1.01875437006199	1.0785982223237	0.897176358289345	1.00003412185001	0.944958801131712	0.995033424427542	0.876960237889997	0.362209544264436	1.02216778655091	0.543709259174352	0.472199893774082	1.01611016048558	1.0161944059554
TWAS21010323	0.880104305842495	0.976427605506925	0.942811669988635	1.00563168451497	0.665384451409587	0.294928922376148	0.938011793274102	1.05083441584353	1.00975559159271	1.06881605904477	0.644506901005555	0.981682301980606	0.858110469516892	0.996817711848672	0.962722412188413	1.0088261593752
TWAS21010324	0.872667607400484	1.01026882802269	0.902369531397726	0.985282938430126	0.788696910493189	0.16830429332756	0.850993331654457	1.03571421880896	0.992088667946761	1.07075862518624	0.615414290578243	0.987332093760052	0.775927283641733	0.932038110993672	0.994142084532293	0.975851145184601
TWAS21010401	0.844442688804249	1.00900770115352	1.04908202208212	0.992383189643269	0.898054410467112	0.935028424306129	1.0450436194443	0.990548245778321	0.993317344517625	1.05322084994809	0.645330159946088	1.00093404685781	0.724349088681176	0.905528666567067	1.00598594418358	0.951491953569384
TWAS21010402	0.914029107913775	1.02931351428205	0.996798333910751	0.0112103078522249	0.368989237919107	0.0677606647723389	0.936450364933858	1.07084509467446	1.0045085802411	1.08060475132185	0.536598432066319	0.980151914978875	0.686538950502958	1.18281129474308	0.995090607935007	0.908595835290801
TWAS21010405	0.920326860772589	1.02408782054407	0.958909153678644	0.0112103078522249	0.368989237919107	0.0938565127086469	1.00413196632543	1.04762023883029	0.970752609399401	1.07787313195806	0.754156207646659	0.920532876374728	0.81049598207835	1.19649208540384	0.99144308004624	0.919269632897213
TWAS21010406	0.962410423048141	0.952514169590112	0.973968463731082	0.0112103078522249	0.640276329625257	0.0251238740258673	0.963297939973537	0.974259040767613	0.969578403106611	1.0401027689956	0.803493698510423	0.956540004490874	1.00925414837445	1.18004140087981	0.938973727023323	0.954625672163434
TWAS21010407	0.935580300162463	0.909523031069535	0.988097782280313	0.0112103078522249	0.585361280680775	0.0603899675425495	0.979854157951352	1.00469860480495	0.985536659416234	1.02713807422927	0.735014183214404	0.971707253000115	1.05457566491352	1.21974220464052	0.980358517920228	0.968616604078457
TWAS21010409	0.851096377375145	1.00822389630069	1.03802761882694	1.00762029891944	0.912615156213014	0.862821598610024	1.0407179388951	0.991728694766406	0.986422809943984	1.05476903585552	0.640201648775238	1.00156921156933	0.723829250153632	0.908225012592715	1.00930772285261	0.958887025447164
TWAS21010412	0.515524289541513	1.01067701842756	0.00867386101631521	1.00848522605497	1.05956200759541	0.860461064650961	0.961187215019233	0.942830506337079	1.0004524182697	0.861357357633028	0.390467971173828	1.02280986088604	0.20552399466645	0.476820045975472	1.01089593614198	1.02006201529615
TWAS21010414	0.542617031720647	0.990936818741774	0.00867386101631521	1.02253029844692	1.05939916387277	0.833123091573704	0.984389384813585	0.957051107437728	1.00151504870836	0.872979151254299	0.387612520370876	1.025737359308	0.177592988127043	0.398571944051712	1.01081996171469	1.01515224556433
TWAS21010416	0.539085229352966	1.00167190630789	0.00867386101631521	1.02538427033498	1.04399363809233	1.05433261051867	1.00143861060639	1.00295362629089	1.00552900197186	0.892924020810474	0.386105034413526	1.0142753688719	0.451528764917074	0.505384263225044	1.02236375806017	1.02508208825726
TWAS21010417	0.389787318666486	0.916724628356188	0.00867386101631521	0.0112103078522249	1.11237725825228	1.09713726123871	1.08487390983876	0.746891405183164	0.99172983905708	0.885986320025918	0.21224370145701	1.00103818792502	-0.111426024338866	0.177744452153224	1.02674737084994	1.0028358092017
