itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	0.31208994836421	0.990486253078354	-0.368626118851906	1.01807908447769	1.0327038909577	0.946037623945863	0.995068986617188	0.956063663418051	0.991506826340032	0.846479228847285	0.295325890213379	1.0245179135879	0.289744463239207	0.607013259833655	1.0173179880352	1.01963617012946
TWAS21010105	0.861465185083196	1.01189670578601	1.06195142603096	0.991401172423262	0.812841176240016	0.914409662598899	1.01312016041881	1.00127339058387	0.987359588120701	1.04961081758155	0.761501528678756	0.980617474158054	0.728963774135436	1.0225031604705	1.04832326229137	0.93111869358353
TWAS21010106	0.294560011283795	1.01233876219786	-0.337403992631815	1.00920004304785	0.575906367355334	0.429512573993503	0.0660898241832746	0.766824710373352	0.988897238576731	0.883692350550883	0.125288346101652	1.01102584437885	0.208298734260262	0.347595158357507	0.874737208606222	1.03941924028683
TWAS21010112	0.908152182354127	0.957711393987803	0.943209152417201	0.981712739308593	0.491554900470898	0.219004027461758	0.901634466549643	0.971223110016412	1.00261135773105	1.04517613661991	0.790815615271816	0.978427136281597	0.742516201432145	1.05847386236086	0.906240800004236	0.982359171180665
TWAS21010114	0.328996918723657	0.980425538315771	-0.163017042363961	1.00907486392162	1.01914173740154	0.891059397517824	0.990017148237045	0.935068701114322	0.991512871170939	0.85424688098561	0.280811093412702	1.00779937457179	0.23089630638451	0.530774339072857	1.02257428583116	1.01444268671784
TWAS21010115	0.214311763862196	1.02472638693628	-0.336351808601207	1.01040408811277	0.668899781519103	0.154489191788774	0.0645190782653007	0.881696500325476	0.997556442474424	0.835440859308812	0.143807665777403	0.993829906864466	0.184224107155684	0.346842941624687	0.873377664256964	1.03820520192852
TWAS21010116	0.360804865846406	0.985498850650812	-0.284938097624517	1.01084970998159	1.04918258006949	1.02239209206025	0.986484100123831	1.00578266040471	0.991704534055103	0.859893526265987	0.299230507971015	1.00577606923244	0.227527935136181	0.522205723184969	1.01244643028743	1.01316172312323
TWAS21010117	0.188498143843105	1.00210087229269	-0.457088718829088	-0.358438302065894	0.5245617908496	0.00752608745158333	0.0258704339940307	0.629070314343999	1.05579304287915	0.791778189052996	-0.117190141232288	0.905006050616857	0.177954511419142	0.190010123980343	0.816420233324801	1.07233525262626
TWAS21010118	1.0088457838289	0.967413012555364	0.972856120844479	-0.265576756000702	-0.206956966782171	0.219773052599711	0.925436135276658	1.02329241486982	0.953766749896606	1.14733849351567	0.891432181080147	0.917639927905721	0.79210749830342	1.30642197493065	0.984018380364863	0.875669466179348
TWAS21010119	0.89398829154529	1.04174051509957	1.21988294274908	-0.0272726194777895	0.734545098411838	1.05962820320298	1.13105866952543	1.01140187479847	0.996616801644939	1.05866847269863	0.917889135901655	1.00790959891096	0.745851421842242	1.26211747336951	1.01208470164507	0.847341326305078
TWAS21010121	0.32795889092751	1.01052602071746	-0.270737690320451	1.02101668577822	0.55613646314342	0.28425305410922	0.115162409577338	0.778044210611995	1.01706993796563	0.869921643632546	0.173569603216282	1.0124233899114	0.171144295153313	0.437265703047353	0.885395742351838	1.04169040311164
TWAS21010122	0.396886164615055	0.974412074935338	0.182590738036489	1.00499162065685	1.01682638082631	0.894688828423379	0.981046468184961	0.904617548273363	1.00420545910975	0.842799822512757	0.258682680457954	1.01521997774222	0.263322510180081	0.588999966632379	1.00901892926644	1.01647166107693
TWAS21010203	0.913404309226857	0.986098965289411	0.941097450981871	-0.150743855053727	0.328648305683812	0.22725552695598	0.866636440068855	0.953788984921032	1.00037347389816	1.07186606661732	0.802731986726639	0.957014580035709	0.65223559886362	1.22324394485056	0.966555907291648	0.873451841197897
TWAS21010204	0.306384305091956	1.01750643155479	-0.294666951214207	1.02030280265971	0.647920247717526	0.24391636451587	0.200199329007974	0.867614697180392	1.02041618054044	0.84554779453759	0.214645446515769	1.01051205706	0.207710641206608	0.461269214738009	0.871990231170907	1.0464056930332
TWAS21010205	0.363896060710671	1.01448328677546	0.202613708955643	1.02004845771589	1.07466692463657	1.08325085869481	0.978591144433512	1.0237619460524	1.00599334557011	0.87128273799243	0.265544037327957	1.00782657443422	0.234777063947555	0.642593633401447	1.03366978497381	1.02365651103066
TWAS21010207	0.340016680289589	0.987761580698155	-0.144639163348736	1.00813264780457	0.61175982884596	0.35282251811309	0.0493953673029193	0.767158531083257	1.00743537954304	0.816146698298825	0.16925712152245	1.02084631366048	0.233061215532161	0.259285085215906	0.628034068660102	1.0241665216416
TWAS21010208	0.907678526336674	0.955811833919066	0.958983186601552	0.98176759277069	0.443403302867645	0.201908546781856	0.945868545064817	0.969583770585307	1.00038941665485	1.06350402970408	0.945735596099332	0.976821592825697	0.750647483956108	1.09554146794588	0.915719474681344	0.990044646303504
TWAS21010211	0.30373796720779	0.99336340463991	-0.285489780617811	1.01133935040574	0.655047816298678	0.120913982449954	0.0411534529485574	0.818797945575582	1.00793421648303	0.814310515221737	0.181343274303242	1.0045729970726	0.319205390583101	0.333533731025433	0.628431035636004	1.02321138521957
TWAS21010212	0.858715039691853	1.01095685582921	1.05122304193897	0.993496048794531	0.852576172381818	0.935780080464725	1.03099203590672	0.966901949570868	1.00125662533218	1.03001564537049	0.647218387127381	0.990013118414776	0.740792030343372	1.02389582553236	1.02511624878011	0.942854391610907
TWAS21010216	0.323977612381354	1.01312930921247	-0.315783406777554	1.0129863326221	1.11622844483562	1.04958773062561	0.959242493126973	1.00118516716751	1.00062921931294	0.84213183370835	0.194678206518362	1.01334113465379	0.226599512790831	0.556855654992329	1.0280271349318	1.01958093555764
TWAS21010217	0.34005720867348	0.968374592220595	-0.382839182893346	1.01550840562717	1.00325979151012	0.869295273884611	0.981058867919246	0.919591652140643	0.999465055674244	0.857592556760289	0.248767022844796	1.02297118150571	0.246311705262807	0.575635937393229	1.01152360863577	1.01419733916248
TWAS21010219	0.370387189817762	1.02412693745154	-0.306531603965025	1.00392897296303	1.07758797243836	0.967811206575331	0.958487083457027	0.895518697678774	1.00231400640011	0.843612520635126	0.167799552427283	1.01855048298466	0.221679862147763	0.569800352436225	1.02363405221182	1.02531373466589
TWAS21010302	0.861399944881634	1.00399441361135	0.913461414617053	0.985111366997414	0.639562948131478	0.234948936277043	0.850252428674742	0.945147156801195	0.98849622186529	1.06588314381516	0.920237547896642	0.984569250338503	0.696806772898514	1.04466064106627	1.00310669330395	0.957937956353056
TWAS21010305	0.913556619714199	0.999523711424626	1.15672358188921	-0.0997845657356574	0.809567785153315	0.985307539499482	1.04796430461051	1.01040104048914	0.993103296091446	1.08735419946055	0.855460980609304	0.99403361532085	0.732960418305847	1.21628207069769	0.990261655688681	0.84282217607881
TWAS21010306	0.166011540094258	0.976017016768397	-0.4782322207199	-0.240800431986955	0.0757585548418888	0.214508307879636	0.150090246832453	0.557990655020291	1.01292917101413	0.719293803783278	-0.383843776469908	0.945822565082939	-0.104381891874577	0.099448054535319	0.866173240534514	1.07718852693327
TWAS21010307	0.911134684404437	0.971368358898082	1.03003620993457	0.997145680317488	0.875742517536179	0.954298844122324	1.03986523044029	1.06303118528023	0.988596080693591	1.03456357177695	0.754914177774006	0.975637757456555	0.782742995280146	1.04518804105829	1.01484383344305	0.966752276950437
TWAS21010308	0.843893606084744	1.0126471945665	1.03288623543592	0.988953002745734	0.813800730640145	0.994872182772163	1.0361459887375	0.989494069877385	0.995405828407741	1.0528593502199	0.697711122598355	0.994486808314616	0.714855010545262	1.01616122340671	1.01854117433189	0.943306407507767
TWAS21010309	0.92967581073195	0.958321754441916	0.958088432674286	0.979685930856826	0.498663027844394	0.214862685761676	0.94152009827942	0.979444477117522	1.00216028076812	1.07717962504036	0.888385224672791	0.972071543230284	0.780755390044414	1.08527949789258	0.917657988436762	0.986802090061513
TWAS21010312	0.892301931429152	0.962012883219795	1.09694501633185	1.01124574739948	0.810697680278228	0.917759372966806	1.06198455729765	1.00365885729288	0.996697822144968	1.0318792826873	0.762463346361212	0.984533181809511	0.721008406928068	1.06183580655379	0.997891362917601	0.98479843591112
TWAS21010313	0.891050849584145	1.01314644496961	1.07037022722655	1.00596404442868	0.927488886820647	1.03417615758559	1.04649021367282	1.07624042478484	0.990605931821332	1.02795422710354	0.689587609859281	1.00114209472011	0.700324121178491	1.03520942036045	1.03847633028009	0.963207564376955
TWAS21010314	0.882298374749708	0.958948056351847	1.09599742182725	0.991281036381332	0.763794892519735	1.0379732931385	1.06715512853051	1.00167688655038	0.985282499715947	1.03585532548141	0.772449630472493	0.988033892797605	0.727020279468792	1.0677402083609	1.01232385616223	0.977071577689282
TWAS21010318	0.952835185459132	1.01133879989729	0.9743817379282	-0.23777881754281	0.0610810624444711	0.464192345079696	0.956753169836731	0.969167145663025	1.0049039247122	1.0714056177192	0.671111909967451	0.977267634263852	0.892509585877236	1.3215489950131	1.0223966076271	0.894058890880665
TWAS21010321	0.328197974926932	1.0139937611279	0.0548715238951048	1.01274548596454	1.11268372705944	1.00688919364405	0.992683362631541	0.924360002775404	0.997178207600626	0.86714630165235	0.246830452247891	1.02325034807354	0.551551050153467	0.617208118343345	1.03031594947919	1.02070153484273
