CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.0017195	0.56299	1.044798	0.63405	0.69394	0.79313	0.63329	0.67263	0.93923	1.026338	0.942634	0.64515	1.0584	0.55894	0.45992	0.91578	1.020156
TWAS21160104	0.65854	0.47101	0.64507	0.50342	0.48332	0.86417	0.71588	0.69493	0.49322	0.78318	0.50394	0.49471	0.81357	0.40365	0.3314	0.51691	0.74492
TWAS21160106	1.039963	0.73962	1.0056452	0.5639	1.066896	1.15564	0.94229	1.04458	0.93157	1.063411	0.930062	0.69953	1.025882	0.67784	0.53499	1.065673	1.052184
TWAS21160108	1.036142	0.79088	1.04998	0.61302	1.13952	0.965428	0.6028	0.63323	0.97644	1.07556	0.956032	0.67819	1.03804	0.61246	0.57314	0.9924906	1.061216
TWAS21160113	1.051286	0.71313	1.066435	0.66758	1.16772	0.8709	0.60482	0.69905	0.9963827	1.10291	0.989355	0.75174	1.08583	0.74637	0.62388	0.944939	1.058826
TWAS21160114	0.89714	0.918387	0.88721	1.28157	0.23289	0.83835	0.964694	1.075172	0.986572	1.00037183	0.973642	0.8012	0.976761	0.926697	1.24973	0.971949	0.911525
TWAS21160116	1.058099	0.86892	1.05569	0.60044	1.17297	1.19873	1.17134	1.061093	1.041697	1.11638	0.984925	0.7047	1.072187	0.7028	0.55891	1.08951	1.073078
TWAS21160118	1.04707	0.999911543	1.043192	1.21532	1.1373	0.89128	0.67123	1.023888	1.076329	1.066002	1.12566	0.87292	1.034364	1.048937	1.33392	1.040539	1.043492
TWAS21160119	1.052623	0.82393	1.049283	0.60571	1.15343	1.18483	1.024906	1.060055	1.073756	1.053431	0.977119	0.73193	1.056994	0.75199	0.62658	1.065506	1.071509
TWAS21160121	1.065773	0.925414	1.074687	1.34848	1.16794	1.11139	1.088916	1.17075	1.10043	1.089238	1.13038	0.86627	1.055422	0.9913395	1.28548	1.082029	1.041503
TWAS21160122	1.010543	0.945605	1.024655	1.36059	0.57886	0.935351	1.10796	1.15154	1.065563	1.038208	1.078514	0.84535	1.030633	0.981565	1.34371	1.027607	0.967049
TWAS21160203	1.069195	0.951754	1.075242	1.3637	1.16839	1.059555	1.13146	1.18218	1.097889	1.085087	1.13096	0.86185	1.057741	1.014379	1.30809	1.08277	1.03611
TWAS21160204	0.6989	0.81417	0.63981	1.033942	0.52264	0.51545	0.87285	0.89715	0.73689	0.39111	0.77837	0.82149	0.47088	1.24866	1.059042	0.74627	0.74028
TWAS21160205	1.050153	0.977859	1.04935	1.3335	1.16001	0.982768	1.034222	1.18794	1.028721	1.038205	1.12888	0.86947	1.051694	1.055239	1.31833	1.058243	1.036297
TWAS21160206	1.05882	0.83624	1.049759	0.63491	1.17552	1.19353	1.023354	1.091236	1.047674	1.063406	1.004913	0.75264	1.072593	0.77626	0.59506	1.070371	1.068091
TWAS21160209	1.053413	0.84588	1.04476	0.60856	1.15658	1.19626	0.961894	1.090439	1.00024827	1.060262	0.980657	0.74061	1.054094	0.71545	0.49512	1.07732	1.057969
