CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.087097	0.62321	1.11348	0.5114	1.12454	1.2529	1.23228	1.18865	1.028017	1.014866	0.9983324	0.7519	1.084607	0.71677	0.943513	1.13605	1.078819
TWAS21010104	1.13337	0.62353	1.13394	0.4668	1.17133	1.45091	1.37671	1.15572	1.10984	1.15472	1.028177	0.70917	1.19459	0.68603	0.60116	1.20121	1.19514
TWAS21010105	1.11943	0.88339	1.14281	1.49967	1.1397	1.11827	1.23645	1.22797	1.096974	1.021233	1.214	0.938103	1.057461	0.9979721	1.23042	1.16035	1.044849
TWAS21010106	1.083766	0.56123	1.11179	0.54481	1.13361	0.937426	0.6828	0.66794	0.943266	1.080002	0.9980757	0.62764	1.09634	0.6399	0.75459	1.0081756	1.12293
TWAS21010107	0.76236	0.63678	0.79323	0.92774	0.59032	0.54003	0.56494	0.89833	0.80712	0.83125	0.76085	0.88565	0.52273	0.71432	1.08312	0.80529	0.67993
TWAS21010112	1.10216	0.88892	1.068638	1.35099	1.12894	0.86448	0.76427	1.10166	1.069359	1.10963	1.17629	0.957614	1.10131	0.978788	1.30145	1.024501	1.11056
TWAS21010114	1.10744	0.59866	1.10079	0.52969	1.15152	1.30409	1.17553	1.17564	1.037402	1.11715	1.0055437	0.73675	1.14052	0.65012	0.930954	1.15219	1.1406
TWAS21010115	1.08377	0.55938	1.11452	0.46214	1.13702	0.923503	0.6826	0.56367	1.00099894	1.091553	0.9950785	0.61329	1.092212	0.59711	0.70208	1.0043913	1.1288
TWAS21010116	1.085009	0.60775	1.083341	0.52275	1.13325	1.29866	1.27733	1.1512	1.085814	1.099644	0.986834	0.72808	1.10787	0.66411	0.88147	1.11327	1.11499
TWAS21010117	0.85807	0.46522	0.86537	0.51677	0.39375	0.60514	0.66335	0.52475	0.76173	0.931526	0.74367	0.62199	0.81403	0.5173	0.63903	0.76121	0.921538
TWAS21010118	0.83645	0.6944	0.82386	1.097859	0.51955	0.56742	0.65092	0.81553	0.86622	0.83461	0.919698	0.74487	0.81536	0.79208	1.12119	0.83677	0.81639
TWAS21010119	0.86592	0.65967	0.88102	1.32574	0.50773	0.71165	1.067387	1.060847	0.87379	0.923059	0.925465	0.78937	0.909493	0.80251	1.076673	0.8424	0.81514
TWAS21010121	1.092675	0.59135	1.1165	0.57803	1.14748	0.926748	0.7061	0.62286	0.953349	1.10457	1.015385	0.62378	1.11777	0.63588	0.81102	1.035048	1.14138
TWAS21010122	1.10593	0.59372	1.094483	0.52368	1.15104	1.28823	1.18324	1.16836	1.020159	1.10929	0.9903709	0.733	1.12513	0.68458	1.0043561	1.15924	1.13098
TWAS21010203	0.903961	0.72471	0.8914	1.082381	0.55868	0.56398	0.69139	0.947141	0.938638	0.975771	0.9957185	0.83175	0.90772	0.80934	1.2523	0.928439	0.85877
TWAS21010204	1.11205	0.59849	1.12903	0.55319	1.18107	1.0023605	0.68776	0.61274	1.017964	1.11786	1.030129	0.65254	1.12289	0.64238	0.79847	1.036734	1.15894
TWAS21010205	1.12948	0.63172	1.15353	0.56667	1.19784	1.37947	1.3786	1.20001	1.13527	1.12711	1.046819	0.69884	1.14732	0.70528	1.025727	1.20399	1.15791
TWAS21010206	0.947572	0.73258	0.944599	1.17919	0.58689	0.6	0.73897	1.025169	0.955399	0.9726	0.984203	0.906798	0.903396	0.8355	1.14923	0.84793	0.96626
TWAS21010207	1.084698	0.59242	1.084466	0.5628	1.13373	0.89196	0.68127	0.59949	0.935485	1.0975	0.960423	0.67746	1.11579	0.65926	0.69063	0.80506	1.11813
TWAS21010208	1.092338	0.88569	1.062536	1.36468	1.11912	0.82401	0.73195	1.11914	1.056649	1.099995	1.20482	1.039415	1.079977	0.986058	1.32531	1.029449	1.10115
TWAS21010211	1.062548	0.56099	1.066055	0.55759	1.10396	0.901056	0.58731	0.65094	0.958277	1.088745	0.943621	0.66095	1.092889	0.62638	0.67082	0.79843	1.09981
TWAS21010212	1.1107	0.87739	1.1387	1.47445	1.13505	1.11003	1.23072	1.24488	1.050376	1.02804	1.19742	0.8765	1.064643	0.9930486	1.22532	1.15131	1.043687
