CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.025051	0.7889	1.075272	0.5114	1.91526	1.24823	1.28603	1.1008	0.9970148	1.11934	0.931039	0.67709	1.034746	0.86273	1.18802	1.22963	1.13313
TWAS21010104	1.098712	0.82206	1.10261	0.4668	1.30337	1.38676	1.3147	1.11287	1.12097	1.0063677	0.953532	0.75436	1.096878	1.80334	0.60116	1.035381	1.0081279
TWAS21010105	1.085928	1.28495	1.14919	1.59004	1.91405	2.1165	1.31691	1.093105	1.082571	1.15084	1.17797	1.32229	1.086506	1.31561	1.51348	1.33791	1.22184
TWAS21010106	1.02719	0.76996	1.037093	0.54481	1.065199	1.93503	1.030858	0.66794	0.93032	1.050497	1.91822	0.58669	1.072595	0.86044	1.12148	1.97872	1.087086
TWAS21010107	1.60321	1.066005	1.59985	1.78437	0.60178	0.54003	0.56494	1.74165	1.66235	1.62572	1.46995	1.72616	0.52273	2.1724	1.7785	1.67954	0.969435
TWAS21010112	1.053718	1.21225	1.023709	1.38591	1.13182	1.86279	1.74717	1.052136	1.044308	1.074621	1.15573	1.23642	1.059018	1.24785	1.31947	0.929328	1.034586
TWAS21010114	1.055246	0.77176	1.041935	0.52969	1.15864	1.27972	1.17663	1.097278	1.031833	1.029455	0.954173	0.703	1.048924	1.78744	1.30893	1.072193	1.072961
TWAS21010115	1.028386	0.60125	1.05169	0.46214	1.084799	1.92374	0.82356	0.56367	1.0062763	1.031231	1.95274	0.5977	1.038062	1.71838	2.0824	1.95912	1.036227
TWAS21010116	1.01339	0.80043	0.9950961	0.52275	1.062391	1.22404	1.2398	1.044525	1.0077107	0.945761	1.91376	0.88971	1.019845	1.78233	1.68343	1.037371	1.0094664
TWAS21010117	1.73551	0.74683	1.7273	0.51677	0.39375	1.28983	0.68319	0.52475	1.6916	1.79094	1.65802	0.62199	1.72727	0.89668	0.89545	1.71878	1.82346
TWAS21010118	1.6501	1.8677	1.64472	1.99452	0.51955	0.57474	0.977739	1.42404	1.68017	1.65336	1.73169	1.76809	1.63904	1.84183	1.95352	1.69647	1.63882
TWAS21010119	1.6825	1.82636	1.63325	1.14735	0.50773	1.28716	1.83958	1.77727	1.67766	1.64678	1.73367	0.84735	1.6731	1.86007	1.9044	1.66799	1.67613
TWAS21010121	1.050346	0.7486	1.051213	0.57803	1.10875	1.9323	1.63083	0.8233	0.933762	1.12196	0.961564	0.74823	1.06738	1.71521	1.74442	1.0037147	1.10451
TWAS21010122	1.043759	0.81298	1.043325	0.52368	1.083816	1.27624	1.18024	1.081888	0.9951385	1.056741	0.914708	0.67428	1.069273	1.46163	1.21317	1.13598	1.076061
