CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	0.986535	0.57214	0.9923578	1.60836	0.72657	1.38255	0.58857	0.5667	1.043467	0.87702	0.962371	0.76238	0.81612	0.78862	0.45992	0.922331	0.924752
TWAS21160104	1.52215	0.47101	1.93319	0.50342	0.48332	1.72041	1.67648	1.9683	0.49322	1.54232	0.50394	0.49471	1.58051	0.40365	0.3314	0.51691	1.57536
TWAS21160106	0.955605	1.75841	1.95172	0.5639	1.029534	1.29031	0.80648	0.940113	0.86097	1.069304	0.84589	0.60702	1.095671	0.78402	0.53499	0.960257	0.9912837
TWAS21160108	1.011645	1.23594	1.014376	1.62309	1.12122	1.95324	0.57627	0.71044	0.988238	1.035343	0.928024	0.76287	1.079564	1.69017	0.57314	0.971987	1.044614
TWAS21160113	1.11764	0.58817	1.09332	1.62542	1.20244	1.80312	0.7962	0.63681	1.097598	0.984411	1.050231	0.69185	0.944962	0.80488	0.62388	0.981717	1.09291
TWAS21160114	1.77818	1.013828	0.78242	1.12494	0.56357	1.76123	0.978088	0.924273	0.83776	1.79474	0.84301	0.77981	1.7739	0.82203	1.12062	1.80845	1.75831
TWAS21160116	1.035037	1.77345	1.044854	0.71709	1.14522	1.23718	1.19838	0.978367	0.9920953	0.99915505	0.950568	0.83152	1.023741	0.75021	0.55891	1.018197	1.034179
TWAS21160118	1.057212	1.25269	1.040057	1.26609	1.14099	1.88385	0.61536	1.030726	1.069745	1.047565	1.13975	1.13114	1.017318	1.24553	1.38501	1.064983	1.060996
TWAS21160119	1.021472	0.87302	0.994126	0.80277	1.12991	1.17492	1.12626	1.013073	1.022029	1.038518	0.933892	0.61403	1.038728	0.84564	0.62658	1.040964	1.024526
TWAS21160121	1.055938	1.15033	1.091889	1.34136	1.14942	1.095	1.21422	1.11198	1.027707	0.9961703	1.11401	1.12714	1.075539	0.909799	1.30022	1.077626	1.032734
TWAS21160122	0.914427	1.13217	0.921046	1.35138	0.68313	1.83103	1.15639	1.058293	0.9961063	0.85369	1.0070014	0.75695	0.88626	0.909799	1.30327	0.931319	0.88053
TWAS21160203	1.054729	1.198	1.070295	1.37667	1.16947	1.027971	1.24239	1.14491	1.075791	1.04564	1.1313	1.10403	1.072591	1.205	1.33405	1.074314	1.039055
TWAS21160204	1.5419	2.2972	1.52672	1.86345	0.52264	0.51545	1.73688	1.74657	1.5657	0.39111	1.68276	1.75195	0.47088	0.87259	1.83546	1.57851	1.54887
TWAS21160205	1.047824	1.21967	1.046757	1.32308	1.15332	1.9403	1.186	1.19482	1.010829	1.032069	1.1251	1.15277	1.059976	1.24716	1.38068	1.051706	1.044373
TWAS21160206	1.054476	0.89297	1.024935	0.6967	1.17162	1.18207	1.14039	1.053038	1.050723	1.02877	0.980121	0.71737	1.037182	0.78029	1.5066	1.057957	1.050464
TWAS21160209	1.043682	1.81715	1.018659	1.61831	1.13796	1.20257	1.072241	1.059062	0.9900103	1.048567	0.950109	0.78086	1.060509	0.65146	0.49512	1.05096	1.029734
TWAS21160211	1.074572	1.79896	1.091173	0.75739	1.18454	1.26258	1.16616	1.13132	1.061542	1.086956	0.9924094	0.69491	1.10074	0.71021	0.572	1.13162	1.087539
TWAS21160212	1.79522	0.51196	0.80608	0.26557	0.56047	1.69928	0.69085	0.65749	1.79506	1.74997	1.75875	0.62235	1.77801	0.5582	0.44872	0.71018	1.77111
TWAS21160213	1.041049	1.71636	1.054419	0.58233	1.14404	1.94885	0.66632	1.63118	0.986201	1.043484	0.983259	0.86528	1.036812	1.74063	0.61325	1.0009841	1.077695
TWAS21160214	1.0054355	1.67525	1.041674	0.4982	1.11519	1.90967	0.80567	0.54655	0.954139	0.996947	0.922252	0.72367	1.015114	0.61477	0.49274	0.975182	0.983903
TWAS21160216	1.58657	1.68535	1.59502	1.82554	1.66159	1.53522	1.77564	1.69577	1.60261	1.65698	1.61048	1.64228	1.67255	1.13414	1.77026	1.53648	1.54784
TWAS21160217	1.0033357	1.8288	0.9972485	1.6659	1.13773	1.13238	1.20166	1.036307	1.024439	0.962855	0.928514	0.925754	1.0091646	0.74541	0.5761	1.0094076	0.965352
TWAS21160218	0.955743	1.093189	1.9377	1.097625	1.03429	1.63697	0.6946	0.87635	0.920726	1.10197	0.967399	0.958176	1.078752	1.096398	1.30025	0.99982639	1.021629
TWAS21160219	0.932316	1.7231	1.95956	0.48794	1.038555	0.935292	0.62162	0.54202	0.82945	1.078512	0.80604	0.67981	1.12463	0.69764	0.53125	1.82144	0.984172
TWAS21160221	1.038738	1.14786	1.043878	1.23501	1.1433	1.9725	0.60447	0.986629	1.026688	1.10382	1.081079	0.71611	1.073377	0.8077	1.29007	1.070892	1.037153
TWAS21160302	1.087751	0.83263	1.10047	0.6556	1.19067	1.28594	1.20932	1.11593	1.037369	1.094044	1.019307	0.73434	1.13452	0.64647	0.58123	1.10156	1.10252
TWAS21160304	1.081484	1.17222	1.075064	1.32897	1.19821	1.088898	1.16509	1.18325	1.065145	1.08813	1.169	0.76917	1.033688	0.66243	1.31997	1.10095	1.040904
TWAS21160306	1.050746	1.15908	1.054898	1.2523	1.12717	1.90885	0.7368	0.9947008	1.013202	1.042003	1.13987	0.70697	1.059545	0.73033	1.34576	1.059976	1.044008
TWAS21160308	0.89323	1.13349	0.914313	1.1629	0.81502	1.092927	0.70649	1.91785	0.921695	0.87223	0.976695	0.79126	0.89158	0.88862	1.33398	0.925578	0.906066
TWAS21160309	0.86101	2.1092	0.83223	1.26873	0.55259	1.67944	0.89034	1.012739	0.92652	1.71994	0.945014	0.65721	1.67466	0.919873	1.21795	1.83823	1.77747
TWAS21160311	0.985609	1.23593	0.979386	0.49597	1.085449	1.84601	0.66026	0.65749	0.906018	0.976265	0.89563	0.75705	0.9958534	0.70117	0.59824	1.9367	0.9917418
TWAS21160312	1.013783	1.11852	1.032801	1.19109	1.083967	0.905283	0.55977	0.946346	0.974848	1.0083577	1.092158	0.86512	1.021547	0.66208	1.29269	1.038263	1.016199
TWAS21160314	0.943192	1.090227	1.9663	1.078622	1.039952	1.90472	1.7074	0.86741	0.924927	1.040742	0.967663	0.69975	1.051231	0.940649	1.20315	0.974162	0.909638
TWAS21160316	0.78255	1.0056579	1.73959	1.079687	0.55528	1.77225	0.86725	0.87965	0.81335	1.7757	0.85555	0.79773	1.73831	0.901887	1.13009	1.78438	1.75773
TWAS21160318	0.89867	1.64447	0.900706	1.41979	1.080338	1.14969	1.11199	0.984524	0.88027	0.87236	1.8034	0.75828	0.89022	0.74437	0.47513	0.88602	0.914541
TWAS21160322	1.011023	0.921788	1.009655	1.29909	1.12927	1.049785	1.039688	1.13852	1.010621	1.046025	1.10121	1.96894	1.070433	0.934529	1.33626	1.051012	1.026807
TWAS21160402	1.035499	1.21482	1.034811	1.21961	1.11156	1.85441	0.77922	0.98077	1.023557	1.016269	1.1142	1.097705	1.021394	1.18692	1.32774	1.037955	1.036967
TWAS21160403	0.88583	1.15919	0.86035	1.30469	0.62696	1.82758	1.087745	1.047761	0.920859	0.89954	0.950956	0.907456	0.86419	1.18156	1.33732	0.89244	0.85259
TWAS21160405	1.053105	1.1714	1.052319	1.31852	1.16006	1.10609	1.20804	1.15027	1.063911	1.079834	1.11823	0.80882	1.051832	0.72275	1.32543	1.089527	1.047457
TWAS21160409	1.063519	1.24585	1.074916	1.26265	1.17369	1.88588	0.65169	0.92977	1.080112	1.070761	1.13178	1.11964	1.0063192	1.22229	1.36324	1.060086	1.033345
TWAS21160415	0.9983832	1.18782	0.983322	1.1819	1.078314	0.78376	0.66026	0.98439	0.9726	1.0046316	1.078164	1.079099	0.982211	1.21353	1.33337	0.9589	0.9938273
TWAS21160417	1.070587	1.18242	1.091401	1.33307	1.17199	2.0632	1.17542	1.14538	1.070456	1.026617	1.13959	0.7486	1.011563	0.79781	1.34985	1.10269	1.091859
TWAS21160418	0.985327	1.78183	0.967649	0.56383	1.13696	1.91748	1.63629	1.59898	0.975473	1.064083	0.89862	0.72235	1.023779	0.71747	0.60443	1.88742	1.0076747
TWAS21160419	0.93245	1.083271	1.91379	1.056035	0.9989478	1.92626	0.71274	0.89241	0.88773	1.066397	0.974533	0.87404	1.058816	1.099726	1.27826	0.927447	0.973705
TWAS21160421	1.072717	0.57707	1.061744	0.27384	1.19791	1.81107	0.74727	0.6874	1.054308	0.972178	1.0025997	0.67447	0.962653	0.69279	0.57788	0.967862	1.042467
TWAS21160422	1.16579	0.85167	1.16755	1.60409	1.29668	1.1459	1.24058	1.20576	1.13956	1.024981	1.084024	0.67529	1.02973	0.73002	0.55567	1.1917	1.13649
