976,32,370,201,417
1675,10,6,14,33
1986,284,785,1138,1629
866,115,430,362,610
850,58,609,302,750
716,18,67,71,100
491,50,234,252,474
1135,112,472,348,578
1525,167,868,777,1267
890,116,460,362,746
828,41,225,124,246
1369,176,820,608,1174
954,2,17,5,7
850,103,458,323,629
1288,140,848,708,1296
675,82,372,284,530
656,96,534,402,826
736,19,61,41,77
1235,134,695,596,993
922,90,456,316,682
642,8,14,16,26
422,40,227,170,343
1542,204,396,635,667
1424,232,374,508,689
682,88,215,236,298
1504,256,1182,1332,2145
1076,115,707,496,925
860,104,468,349,556
588,30,124,74,132
632,8,128,51,111
699,62,305,280,450
1072,108,490,358,687
1187,138,337,296,492
1057,21,100,94,123
1106,56,254,301,466
990,126,522,338,554
1788,180,956,665,1062
1008,44,210,150,276
892,104,536,432,677
856,80,391,263,474
2440,202,818,614,982
490,47,290,234,410
864,88,337,268,402
2564,309,591,850,907
935,70,707,305,655
1011,106,1217,699,1592
634,67,168,259,363
1546,47,110,181,184
1210,177,1116,786,1678
891,92,408,270,456
643,1,2,1,4
1192,151,545,462,744
290,5,51,24,46
650,11,79,47,95
1229,154,694,582,1010
405,42,284,250,464
864,110,264,396,558
768,34,156,93,161
994,94,516,340,654
852,107,437,296,516
736,79,439,408,836
731,81,664,326,703
1104,117,705,516,1079
1162,101,586,342,642
478,39,382,198,459
680,35,308,213,452
951,25,94,76,135
685,28,124,78,169
307,8,127,54,139
178,14,22,18,27
1140,67,353,352,628
594,2,0,1,1
881,93,219,311,418
546,17,127,64,139
1207,111,956,574,1219
405,36,240,187,330
780,12,59,54,104
910,110,650,564,1052
1068,36,102,202,260
1248,120,584,396,692
880,98,420,298,508
1304,78,436,398,742
988,37,54,90,128
710,65,626,400,691
719,28,104,95,151
469,42,636,315,874
1586,94,186,314,461
850,108,251,403,463
574,2,4,1,5
670,8,52,52,76
1296,188,389,481,760
2113,258,1635,1332,2750
1223,34,220,124,314
634,86,498,389,801
490,65,207,172,300
496,53,370,157,376
848,98,588,494,917
652,48,388,274,542
770,97,544,440,835
871,8,34,26,45
440,48,180,153,272
1355,138,370,532,725
1251,116,558,374,712
838,86,450,380,616
789,53,346,178,384
938,94,632,508,876
434,3,1,4,3
1347,36,125,90,140
743,11,39,26,44
498,18,86,60,106
1388,45,182,166,289
542,17,35,35,67
470,2,6,5,11
853,88,519,413,692
833,20,102,75,158
524,54,350,226,480
877,98,616,485,1043
938,152,281,307,403
912,148,290,446,601
787,31,86,137,224
939,87,789,484,897
1013,95,535,314,495
774,49,544,192,424
1065,106,374,312,557
1600,178,698,584,909
754,73,378,276,534
