904,215,6,1,0
856,175,24,0,1
420,624,478,125,0
527,62,6,0,0
426,48,30,8,1
752,835,836,293,32
910,158,12,0,2
600,80,2,0,0
648,118,12,0,1
858,37,3,0,0
858,179,198,58,10
722,118,106,21,5
882,146,12,0,0
1124,185,16,2,0
746,192,248,62,8
1831,321,21,0,1
974,230,21,0,0
432,93,136,82,10
1232,202,14,1,0
956,1156,1179,293,38
704,85,7,0,0
652,845,741,173,0
830,19,2,0,0
961,196,13,0,1
692,100,7,1,0
152,3,0,0,0
403,68,6,1,1
1334,204,23,1,2
1168,1514,1298,294,39
774,24,2,0,0
570,130,112,32,3
802,30,2,0,0
806,1071,1023,351,0
782,914,858,212,26
791,956,974,337,33
649,906,826,252,33
489,460,436,173,30
983,1129,964,262,20
760,17,1,0,0
962,126,122,38,7
474,427,430,76,11
664,122,10,0,2
723,16,1,0,0
724,730,658,162,14
792,1106,998,228,26
983,1187,950,286,29
934,210,238,53,9
539,92,102,22,4
986,237,321,117,16
685,164,211,44,7
1022,393,584,215,26
730,122,166,36,3
518,533,493,117,10
775,826,707,192,13
531,117,9,0,0
556,33,38,6,3
898,182,16,1,0
1511,463,33,1,0
803,31,2,0,0
949,936,821,213,27
1091,268,18,1,0
894,103,4,0,0
654,16,2,0,0
2260,2736,2574,785,81
742,25,11,0,0
946,264,350,130,23
824,896,936,274,54
1011,146,10,1,1
779,203,25,0,0
552,112,11,1,0
867,135,169,21,1
532,20,0,1,0
698,351,364,99,7
748,72,62,23,2
579,19,3,0,0
492,357,440,94,9
862,1030,917,271,28
863,114,110,38,5
1186,166,10,0,0
646,16,2,0,0
895,1014,1082,314,60
948,339,397,98,0
965,1410,1042,254,0
1065,240,27,1,1
639,25,2,0,0
1054,226,24,1,0
690,121,12,1,1
1100,1046,1012,426,52
873,130,16,1,0
878,1004,1071,333,42
900,744,808,356,81
459,13,2,0,0
608,24,2,0,0
940,930,1014,436,59
1198,184,13,1,1
1096,1020,1048,472,55
1061,1136,1039,325,42
1421,73,6,0,0
1514,2203,1898,636,90
443,5,0,0,0
731,22,2,0,0
850,188,18,1,0
722,12,2,0,0
1203,253,19,0,0
1380,1947,1584,434,45
641,30,26,6,0
625,774,754,255,0
537,24,2,0,0
870,1028,1078,240,34
589,98,151,74,0
1108,962,983,323,46
330,8,0,0,0
846,991,944,336,43
770,90,5,0,0
908,1086,990,366,21
174,2,14,6,0
1136,1372,1234,456,53
1240,25,1,0,0
1297,56,34,4,0
1096,284,20,0,0
1474,1000,789,348,24
1130,250,20,1,0
976,230,21,0,0
932,177,18,0,1
942,1096,1152,443,65
890,1044,902,242,25
482,16,34,31,4
572,50,3,0,0
771,113,153,37,3
604,110,12,0,0
1132,1450,1314,423,47
854,156,8,0,0
1258,240,18,0,0
1178,53,3,0,1
746,100,9,0,0
481,418,359,86,5
1060,250,20,2,0
520,26,13,4,0
716,150,12,0,0
865,27,0,1,0
525,515,414,87,9
1025,1017,916,304,26
710,798,615,144,0
519,17,2,0,0
757,28,2,0,0
588,70,68,19,0
687,633,580,181,14
780,766,825,229,28
1006,1000,884,246,29
930,896,818,296,16
766,26,2,0,0
1098,336,401,94,0
816,1163,1001,246,0
822,40,2,0,0
870,137,10,0,0
