904,333,8,0
856,194,8,0
420,829,206,76
527,63,1,0
426,42,92,90
752,1061,488,116
910,276,9,0
600,60,2,0
648,184,4,1
858,39,0,0
858,112,129,38
722,154,142,41
882,101,2,0
1124,340,8,0
746,260,142,38
1831,247,10,1
974,204,6,1
432,204,170,81
1232,230,2,0
956,1638,1624,702
704,114,3,0
652,1009,94,35
830,16,0,0
961,219,2,0
692,196,4,0
152,3,0,0
403,66,1,0
1334,351,15,0
1168,1569,3906,736
774,12,0,0
570,142,113,28
802,10,0,0
806,1754,439,92
782,1226,374,57
791,1453,781,330
649,1356,538,74
489,662,214,19
983,1658,542,121
760,10,2,0
962,94,42,7
474,518,244,16
664,114,5,0
723,8,0,0
724,1137,302,28
792,1050,282,27
983,1709,510,94
934,168,32,2
539,130,57,16
986,210,167,36
685,185,179,41
1022,534,473,220
730,134,80,27
518,522,371,50
775,1093,304,56
531,133,7,0
556,38,1238,1671
898,288,10,0
1511,645,12,0
803,33,0,0
949,1238,402,64
1091,272,8,1
894,62,5,0
654,6,1,0
2260,3509,4824,966
742,14,8,0
946,283,126,8
824,1286,668,157
1011,116,2,0
779,308,10,0
552,106,6,2
867,146,48,7
532,12,0,0
698,322,209,88
748,86,14,3
579,14,1,0
492,503,75,8
862,1352,434,52
863,151,151,46
1186,165,4,0
646,16,3,0
895,1250,382,32
948,333,864,3158
965,1852,374,103
1065,380,12,0
639,10,0,0
1054,345,6,0
690,192,6,0
1100,1681,744,69
873,240,8,0
878,925,615,70
900,1198,4914,1866
459,7,0,0
608,10,0,0
940,1592,850,196
1198,280,8,0
1096,1896,695,74
1061,1545,709,173
1421,38,0,0
1514,3752,1340,246
443,5,9,3
731,14,0,0
850,250,9,0
722,10,0,0
1203,392,15,0
1380,2144,786,94
641,32,320,560
625,1392,246,52
537,14,0,0
870,1182,625,230
589,161,63,12
1108,1407,837,78
330,7,0,0
846,1280,337,40
770,66,1,0
908,1462,396,36
174,4,0,0
1136,1895,2469,632
1240,6,2,0
1297,28,10,0
1096,461,12,1
1474,1603,1017,116
1130,430,8,0
976,275,7,0
932,188,6,0
942,1492,456,50
890,1302,345,24
482,6,1,0
572,86,0,0
771,157,2634,1622
604,128,8,1
1132,1647,768,234
854,113,1,0
1258,269,6,0
1178,17,2,0
746,59,3,0
481,633,210,20
1060,250,4,0
520,42,7,3
716,150,5,0
865,18,78,80
525,627,182,32
1025,1382,494,61
710,1059,439,473
519,10,0,0
757,10,0,0
588,58,21,2
687,1090,252,30
780,1170,448,60
1006,1478,1119,1274
930,1540,372,51
766,10,2,0
1098,404,740,1220
816,1351,376,90
822,22,2,0
870,120,4,0
1052,1668,584,35
896,284,8,0
922,1502,572,82
952,142,4,0
1649,2339,594,80
354,24,3,1
956,212,5,0
650,516,226,42
746,10,1,0
1398,2084,552,116
1712,428,12,5
1225,1840,769,57
772,214,5,0
1179,172,5,1
952,1822,362,102
878,1486,1084,502
916,13,0,0
417,5,0,0
1168,1761,820,60
918,977,296,69
658,7,44,27
1009,1953,521,79
1262,281,8,0
711,1190,410,86
824,160,112,20
764,1310,2444,1944
535,1134,277,43
785,909,146,16
1359,32,0,0
755,1244,220,26
952,393,7547,17504
1012,1437,655,111
881,110,3,2
728,84,9,0
649,1326,527,60
656,41,1,0
924,272,9,0
876,7,0,0
856,127,2,0
860,16,0,0
584,20,0,0
504,77,212,356
1026,1352,464,104
816,10,0,0
428,189,465,974
1040,28,2,0
917,78,4,0
1023,232,9,0
1388,402,12,0
1064,1855,686,125
745,251,6,0
247,31,4,0
483,85,2,0
776,1451,1682,877
738,232,5,1
310,9,1,0
819,884,252,32
779,92,2,0
1104,142,4,0
992,1008,920,188
772,11,2,0
1150,226,15,0
284,15,32,7
1001,1445,1780,1055
868,191,6,0
948,438,16,1
600,10,0,0
1492,2078,1168,158
882,251,10,0
693,102,2,0
650,145,130,103
1264,1968,839,195
440,6,0,0
1125,118,2,0
1011,278,9,1
911,188,8,0
430,10,2,0
662,14,64,30
808,242,8,0
694,100,16,0
482,862,148,50
1133,945,591,94
1322,434,17,0
809,17,59,3
676,910,354,80
623,766,202,30
874,1651,593,27
663,1062,321,35
1174,1856,612,48
849,1517,424,72
388,34,210,196
924,28,28,1
849,148,272,122
537,92,3,0
1117,1342,564,113
1050,1290,1159,976
821,136,3,0
992,410,186,15
366,66,4,0
460,390,191,17
564,556,681,490
774,1217,461,50
583,6,0,0
642,198,8,1
598,61,3,0
488,6,0,0
409,81,3,1
454,23,9,10
458,65,152,73
396,322,240,46
770,851,511,138
663,700,110,8
512,100,3,0
732,81,350,158
1444,36,1,0
990,1267,692,57
304,50,1,0
2476,5521,1907,326
1063,1287,471,17
1162,282,7,0
588,176,5,0
3069,65,1,0
2931,4392,1536,220
774,1380,328,71
455,71,1,0
451,64,48,25
1110,219,10,0
796,25,0,0
1992,79,3,0
545,4,0,0
1048,298,292,118
941,338,9,1
685,10,0,0
473,12,20,7
731,998,307,50
1023,19,0,0
938,10,2,0
1772,2431,821,86
2286,336,406,126
2646,4187,2116,241
346,5,0,0
1072,26,0,0
1149,2112,957,167
2218,3864,3526,1173
1030,1676,442,110
1706,29,1,0
1882,2059,1306,123
669,140,5,0
744,887,214,35
748,1212,280,33
623,104,42,15
637,72,14,2
1064,316,23,0
537,60,116,20
676,139,118,55
1624,313,10,0
1590,268,10,1
456,24,1,0
782,910,330,84
364,54,5,1
568,490,228,56
110,3,0,0
1000,218,9,0
670,24,7,1
514,52,3,0
785,1008,682,220
1090,374,13,0
640,928,690,226
678,1073,593,466
2028,3857,1501,557
870,124,4,1
471,967,256,99
808,304,10,0
504,40,10,0
708,1313,308,94
1454,38,2,0
598,100,19,4
792,841,1760,498
802,176,34,2
699,1094,347,81
810,201,2,0
1820,3038,2409,473
893,116,4,0
555,6,0,0
2652,4533,1740,165
2636,283,6,0
768,6,1,0
890,13,9,1
610,639,64583,113126
906,188,10,2
2105,67,1,0
579,562,170,30
636,10,0,0
602,10,0,0
829,76,34,0
728,244,7,1
1005,126,1,0
1699,38,2,1
894,18,2,0
959,1300,641,87
885,117,25,0
690,146,7,1
734,94,0,0
1938,3322,132534,362742
1498,30,0,0
1010,1108,291,24
786,145,80,9
1486,2288,652,59
912,230,7,1
501,450,236,57
1150,2128,1042,358
1855,515,29,0
2462,692,24,0
980,113,61,21
836,226,12,0
986,1398,384,81
1130,94,1,0
801,1187,1086,306
1189,12,1,0
2181,3275,1312,418
826,32,0,0
1177,1693,525,72
1388,49,1,0
911,16,1,0
830,20,0,0
906,12,0,0
845,118,3,0
996,202,2,1
746,317,3857,2972
852,6,0,0
1065,223,8,0
710,84,1,0
721,210,7,0
1270,1280,559,70
1153,360,11,0
1212,11,1,0
783,244,382,130
824,73,4,0
779,1180,343,66
1602,433,12,0
910,180,5,0
984,1431,612,165
1226,600,192,75
902,275,186,30
1343,2710,1002,462
1492,3032,1365,1993
1114,1545,329,61
1088,1369,544,57
1519,2377,757,76
822,192,4,0
814,1571,425,162
1138,332,179,17
1246,1643,450,31
766,1222,284,47
756,75,1,0
898,1186,1290,750
708,43,3,0
1127,156,0,0
1250,262,344,39
1112,383,611,147
1004,38,0,0
788,35,0,0
1128,104,3,0
589,8,0,0
1163,17,0,0
352,18,3,0
676,261,3,0
970,1134,349,17
978,23,0,0
1128,286,10,1
1458,1824,4682,4049
947,1448,706,306
436,640,420,170
1170,1366,282,28
252,70,0,0
683,612,362,59
670,702,584,132
960,198,504,272
1261,56,1186,3700
642,210,110,26
1054,1373,328,70
732,19,4,0
836,863,434,38
1232,2075,1582,1461
822,1008,1097,1198
750,262,66,5
88,276,25,32
640,243,4,0
1433,19,0,0
837,1000,266,26
1783,2361,1176,83
905,1076,593,32
1092,214,5,0
774,272,6,0
698,482,28,9
818,1129,1470,1278
753,218,46,9
1334,178,2,0
704,20,0,0
1121,1590,410,62
818,1464,363,83
962,202,6,0
1168,223,83,41
1516,421,24,0
682,78,3,0
1108,1452,281,63
959,137,5,0
1357,196,4,0
1014,1824,1214,290
696,10,0,0
131,71,165,94
1056,1460,335,135
961,173,4,1
1006,302,164,7
766,29,4,3
1468,22,0,0
1314,1905,1546,181
923,187,44,2
586,156,240,124
1107,1462,839,71
1216,21,0,0
889,1145,328,29
1428,408,16,0
608,3,0,0
981,297,7,0
955,19,2,0
1098,209,8,0
1162,436,150,65
632,860,288,161
1670,1774,609,51
1328,1502,679,119
1074,77,626,293
990,214,9,0
622,81,1,0
1220,226,445,452
862,197,87,12
1295,2152,534,116
824,187,3,0
1298,1610,2140,580
576,10,0,0
736,159,2,2
1082,390,148,18
1577,399,13,0
1114,427,572,153
1203,290,11,0
958,339,432,123
912,22,2,0
1650,320,17,0
897,198,11,1
694,60,2,0
804,197,2,0
666,1346,346,129
826,23,1,0
839,126,2,0
1045,1482,592,148
728,12,0,0
1447,292,7,0
966,24,0,0
1065,260,9,2
880,175,122,16
873,126,6,0
1004,1360,802,36
1164,237,6,0
1436,2017,1028,315
986,1210,718,176
156,18,2,0
1137,1338,509,56
534,529,168,9
962,147,4,0
1026,177,6,0
1318,1585,291,38
818,15,0,1
1152,400,11,0
1024,238,6,0
1598,2539,1723,141
1524,307,11,0
1134,1346,1307,243
705,161,4,1
1177,351,6,0
1075,1911,456,138
1424,2255,888,129
1519,1744,518,127
646,14,2,0
607,8,1,0
1184,1863,217,46
944,29,1,0
640,224,62,5
1430,365,16,0
1072,157,3,0
1024,1320,1286,238
626,19,0,0
946,208,177,9
627,867,414,128
1040,1413,473,78
467,10,0,0
942,1482,466,64
1062,251,10,0
1143,335,10,0
