976,31,0,0,0
1675,12,8,0,1
1986,154,199,0,0
866,64,84,0,1
850,109,0,0,0
716,237,177,88,22
491,42,68,0,0
1135,1082,966,639,182
1525,239,151,0,0
890,554,378,70,18
828,476,256,103,24
1369,1044,749,236,52
954,92,0,56,14
850,709,428,236,50
1288,226,126,0,0
675,76,86,0,0
656,66,73,0,0
736,8,15,0,1
1235,72,114,0,0
922,40,91,0,0
642,30,53,20,13
422,51,28,0,0
1542,744,734,317,109
1424,87,100,0,0
682,420,499,72,24
1504,186,214,0,0
1076,736,414,58,15
860,556,362,137,42
588,340,254,120,28
632,328,0,103,26
699,31,52,0,1
1072,580,630,192,56
1187,565,657,218,91
1057,336,314,179,50
1106,38,101,0,0
990,388,252,26,6
1788,1462,1046,589,153
1008,652,498,356,96
892,608,394,77,19
856,794,527,320,74
2440,1783,1908,988,280
490,350,214,50,13
864,78,66,0,0
2564,1182,1252,442,120
935,110,0,0,0
1011,140,0,0,0
634,235,182,32,5
1546,391,488,240,71
1210,132,258,0,0
891,703,718,400,107
643,5,0,0,0
1192,1064,1116,350,106
290,10,0,0,0
650,32,0,0,0
1229,130,132,0,1
405,32,113,0,0
864,170,114,231,31
768,671,0,509,133
994,828,452,142,35
852,786,774,290,86
736,68,95,0,0
731,106,0,0,0
1104,600,331,52,16
1162,450,214,32,13
478,511,0,86,21
680,46,0,0,0
951,289,246,120,31
685,252,188,72,14
307,9,0,0,0
178,65,139,37,15
1140,44,59,0,0
594,3,0,0,0
881,484,466,222,72
546,19,0,0,0
1207,99,0,0,0
405,312,272,104,30
780,10,32,0,0
910,148,92,0,0
1068,18,60,0,1
1248,89,100,0,0
880,380,194,34,9
1304,50,68,0,0
988,296,446,179,56
710,814,0,104,29
719,18,18,0,0
469,63,0,0,0
1586,33,147,0,0
850,53,79,0,0
574,53,88,66,17
670,18,13,0,0
1296,582,637,319,75
2113,195,248,0,1
1223,32,66,0,0
634,44,71,0,0
490,29,76,0,0
496,267,0,51,11
848,72,108,0,1
652,446,276,36,10
770,76,204,2,0
871,153,0,44,11
440,356,290,134,24
1355,60,248,0,0
1251,86,108,0,0
838,85,83,0,0
789,591,386,292,94
938,111,107,0,0
434,4,3,0,0
1347,1594,3569,3422,1032
743,193,292,251,63
498,318,342,320,72
1388,405,284,118,32
542,8,10,0,0
470,5,1,0,0
853,90,141,0,0
833,26,41,0,0
524,60,56,0,2
877,72,116,0,0
938,51,113,0,1
912,426,595,80,19
787,23,30,0,0
939,907,0,106,39
1013,326,156,34,8
774,1034,0,552,106
1065,312,255,21,10
1600,1210,874,272,84
754,612,390,234,49
609,488,325,184,42
476,31,48,0,0
731,755,534,259,58
724,46,86,0,0
1264,1018,952,344,83
766,694,560,287,82
855,74,80,0,0
892,666,585,361,66
850,19,67,0,0
2372,665,622,75,29
1836,1578,1542,800,262
981,824,460,292,78
1493,15,64,0,0
504,16,8,0,1
713,65,77,0,0
1133,195,0,0,0
184,105,90,26,8
959,92,109,0,0
1167,848,328,110,18
1008,577,425,52,19
1309,936,1276,531,154
756,600,374,174,52
1300,1206,929,400,96
797,573,510,205,58
596,140,134,53,12
1034,132,95,2,0
848,76,126,0,0
594,13,10,0,0
724,34,58,50,16
638,40,93,1,0
1580,201,134,0,0
647,12,28,0,0
170,54,82,12,9
2638,195,297,0,1
372,202,180,38,9
1046,721,412,94,28
948,480,364,47,20
670,18,26,0,0
721,688,698,461,158
1044,701,680,238,109
672,241,132,13,4
784,534,422,164,41
590,50,125,0,0
808,21,43,0,0
940,1149,0,441,109
862,38,91,0,0
650,775,0,419,90
830,362,280,131,28
587,277,154,64,20
793,522,350,112,23
981,71,70,0,1
1410,27,56,0,0
570,74,68,2,0
616,384,334,300,64
654,210,121,16,4
840,390,371,104,33
1566,230,276,93,33
1084,523,194,36,6
1611,900,558,186,56
1144,56,88,0,0
1368,1248,886,510,138
1111,296,670,34918,45381
736,132,0,0,0
780,108,112,0,0
356,5,17,0,0
3096,2025,2736,1701,632
1534,1418,1084,330,93
1054,704,494,90,32
1529,836,561,156,34
761,283,374,165,49
1144,472,385,285,70
2284,1204,2172,1533,552
921,778,622,272,89
652,212,144,19,10
967,733,609,250,76
558,392,202,50,13
866,1231,0,530,97
1194,1313,0,262,63
720,840,0,346,94
507,610,0,106,9
546,190,204,162,45
840,170,288,244,90
1642,919,854,324,82
1795,299,0,0,0
1490,541,300,46,8
842,28,40,0,0
444,162,108,98,16
588,26,0,0,0
710,70,165,0,3
1293,50,192,0,0
1262,990,775,213,62
748,125,0,0,1
467,340,429,110,36
703,160,128,47,10
590,502,448,188,55
3124,158,132,0,2
1070,82,93,0,0
2069,217,192,1,0
1778,745,522,58,22
1365,38,0,0,0
494,416,258,140,34
1593,101,118,0,0
738,456,364,124,31
1387,1183,1042,523,135
2901,1580,1528,24115,33169
731,855,0,399,106
723,20,65,0,1
636,217,258,180,63
622,460,424,352,88
672,230,254,141,41
2033,862,538,127,38
726,37,0,0,0
439,296,0,359,62
511,182,90,11,3
764,306,484,304,121
554,332,332,148,46
597,439,252,76,24
750,408,420,136,44
1591,758,914,1132,456
757,91,72,0,0
2644,2286,802,250,68
2397,2256,1782,1150,294
1647,841,1136,428,144
806,27,41,0,0
1234,515,444,54,25
718,690,2022,3022,1136
642,71,77,0,0
832,128,90,0,0
1146,959,595,185,60
718,18,0,0,0
1416,995,628,200,39
2071,379,0,0,1
2245,180,254,0,0
799,7,42,0,0
1312,1264,1098,550,138
1352,86,140,0,0
1158,78,138,1,0
824,28,75,0,0
1061,404,443,147,48
1057,484,591,237,74
686,27,58,0,0
1302,500,242,38,10
1345,560,608,316,80
1182,712,0,834,200
1262,134,161,1,1
568,183,78,12,4
840,66,74,0,0
1128,26,18,0,0
749,39,26,22,5
508,6,11,0,0
1464,169,188,0,0
593,151,139,23,16
499,9,0,0,0
1488,991,536,301,72
1625,132,229,1,1
1318,193,0,0,0
922,693,679,203,70
204,3,0,0,0
748,306,223,66,22
869,612,416,114,30
1082,797,496,226,63
322,32,0,79,33
493,2,4,0,0
667,528,426,314,118
1444,228,0,0,1
2188,1680,1114,418,112
828,726,430,267,57
687,58,86,0,0
584,624,196,106,30
906,354,536,390,114
956,29,81,0,0
622,70,0,0,0
1962,1003,902,258,83
578,381,0,216,54
1276,404,344,148,45
1309,92,219,0,1
1674,1620,0,217,43
1052,140,0,0,0
2326,602,739,206,68
742,23,0,0,0
918,1094,0,248,46
660,252,356,164,57
920,584,612,231,68
684,73,112,0,2
1142,864,621,276,62
2296,59,223,1,0
1794,1840,0,345,66
1281,918,1022,612,186
1512,408,290,38,22
592,6,22,0,0
893,82,116,0,0
787,354,672,41741,47824
690,66,160,0,0
1058,1439,0,871,186
1126,1029,0,164,40
593,696,0,223,54
1990,895,850,268,96
990,80,0,0,0
704,286,226,29,4
1080,32,43,0,0
1336,79,102,0,0
413,10,0,0,0
1106,1018,0,89,29
763,28,58,0,0
821,164,0,0,1
700,389,0,30,9
769,52,131,0,1
1856,127,160,0,0
1380,269,0,0,0
1396,74,144,0,0
2211,144,189,0,0
788,28,84,0,0
671,15,88,0,0
1567,24,79,1,0
867,640,416,257,58
1025,708,600,322,82
1392,416,486,134,26
2195,1482,1100,260,68
744,50,61,0,0
1219,82,110,0,0
583,138,0,0,0
216,230,0,84,13
544,11,19,0,0
1810,802,704,181,75
1022,1144,0,52573,47649
366,43,0,0,0
1198,424,433,390,102
514,434,366,120,30
606,15,0,0,0
340,245,162,34,13
729,10,21,0,0
607,141,134,61,27
404,45,121,154,66
1158,264,0,0,0
681,219,110,76,20
922,27,0,0,0
756,164,130,21,4
1962,1150,642,86,24
482,12,49,0,0
817,355,455,229,50
1100,138,126,0,0
934,22,39,0,0
1087,120,267,0,0
488,23,0,0,0
858,81,98,1,0
830,74,96,0,0
876,68,0,0,0
1019,107,120,1,1
1107,22,66,0,1
598,382,372,79,30
1078,608,914,513,167
2469,2230,1624,1016,317
836,88,118,4,2
1257,104,216,0,0
906,612,338,86,23
906,433,440,155,41
826,217,192,126,38
748,508,416,184,39
708,378,556,370,97
707,254,323,158,54
728,24,46,0,0
1658,248,168,0,1
1396,83,120,0,0
720,240,163,26,8
555,26,62,0,0
869,57,94,0,0
868,880,650,378,104
1266,40,27,0,0
926,84,124,0,0
918,440,408,288,73
580,69,48,2,1
823,551,487,84,26
818,18,43,4,0
878,366,382,60,13
624,340,0,100,16
1084,507,456,65,25
356,9,21,0,0
690,282,204,108,22
1072,107,120,0,0
954,13,28,0,1
694,84,108,0,1
582,483,491,134,39
654,650,0,100,10
603,409,0,149,30
954,34,70,0,0
276,38,358,258,78
1538,152,168,0,0
1057,107,0,0,0
934,207,0,0,0
490,74,144,72,28
1080,112,126,0,1
688,721,0,62,16
459,193,190,96,24
625,539,0,259,42
789,59,90,0,1
758,152,0,0,0
950,101,0,0,0
1021,155,91,0,1
791,42,45,0,1
759,660,512,184,44
1031,1087,0,232,36
718,352,486,358,106
911,430,356,206,56
1201,839,530,106,26
700,32,0,0,0
837,234,288,144,34
533,93,0,0,0
890,82,86,0,0
796,412,268,104,28
827,255,346,64,22
1151,802,0,222,49
1096,139,106,0,0
801,585,368,110,28
455,862,0,3247,883
634,776,0,191,41
1034,128,0,0,0
665,8,1,0,0
1215,42,58,0,0
1150,929,861,553,156
988,124,0,0,0
1062,107,110,0,3
1063,1625,0,1243,325
607,578,506,246,54
1013,545,490,83,40
728,628,636,226,68
934,76,74,0,0
809,68,201,1,0
855,86,64,0,0
648,246,187,126,36
854,267,0,861,291
1192,88,98,2,0
804,477,432,436,146
874,203,0,0,0
812,64,0,0,0
429,274,182,64,8
796,316,0,198,72
1071,100,111,0,0
800,582,497,112,33
642,976,0,1914,530
1949,1242,773,222,53
1369,388,307,58,29
866,767,730,442,142
1115,117,270,0,0
558,112,0,0,0
318,254,0,44,8
956,94,150,202,58
1062,727,672,154,58
1668,150,156,0,0
810,55,75,0,0
862,82,302,386,219
1133,668,424,119,32
908,994,0,211,49
825,691,523,135,42
608,522,0,132,34
910,657,411,108,20
661,818,0,615,161
884,1106,0,271,74
864,500,638,204,60
883,820,0,114,25
609,328,209,43,18
1227,2,1,0,0
325,179,126,50,12
788,82,139,0,0
737,536,0,177,54
664,634,581,371,91
1140,116,102,0,0
670,33,93,0,0
874,54,0,0,0
925,102,111,0,1
383,13,0,0,0
777,430,508,317,90
711,404,0,100,9
506,174,193,92,34
859,111,337,388,106
1043,624,502,120,32
834,89,115,54,21
1420,87,138,0,0
832,620,445,106,26
730,15,68,0,1
376,16,50,0,0
986,158,102,0,0
1278,116,152,0,0
1137,862,554,191,46
968,649,382,46,20
1133,117,135,0,0
901,464,284,78,22
1964,977,1140,517,178
1070,464,502,103,47
1110,1006,605,191,55
704,334,568,247,62
440,42,58,0,0
2207,794,996,528,158
764,643,479,186,44
984,100,214,0,0
1254,926,667,242,64
677,331,391,36,14
1430,780,1040,470,187
2248,132,164,2,1
658,144,290,454,111
894,58,92,0,0
936,103,136,0,0
1012,92,142,1,0
1434,142,120,0,0
895,100,76,0,0
507,319,0,27,2
1177,67,144,0,0
1126,580,604,198,57
3142,177,294,0,2
878,598,312,48,9
661,652,758,443,113
432,198,264,329,112
168,108,0,6,2
698,7,31,0,0
901,132,118,0,0
1568,160,0,0,0
726,16,38,1,0
845,73,111,0,0
913,6,4,0,0
410,125,112,14,1
1998,1520,1142,573,138
812,968,0,155,44
884,344,209,26,10
876,516,462,284,84
404,32,152,0,0
880,142,138,42,5
940,94,126,0,0
873,74,88,0,1
1148,4,4,0,0
1320,598,615,150,47
439,312,162,29,10
1190,1034,1179,638,194
951,96,126,0,1
580,75,0,0,1
928,793,1042,561,181
