976,542.78,585.34,189.92,257.65
1675,171.2,7.6687,2.0818,2.6018
1986,1331,1224,839.02,849.56
866,570.1,697.13,328.51,357.49
850,601.48,1210.5,466.97,610.03
716,230.33,75.856,34.727,44.766
491,359.1,492.29,260.19,307.8
1135,787.12,1199.7,557,651.99
1525,1085.8,1393.5,716.38,880.81
890,674.38,1021.7,542.22,704.66
828,481.27,355.11,172.06,244.62
1369,1053.8,1587.4,881.15,1071.2
954,132.2,7.1291,2.5401,1.6461
850,598.33,872.17,409.56,523.21
1288,944.36,1420.8,733.24,866
675,482.67,689.78,347.11,389.52
656,516.43,853.91,448.96,633.24
736,221.54,81.3,28.406,33.202
1235,845.77,1193.5,554.68,676.38
922,608.33,721.33,347.61,370.62
642,166.97,13.38,7.4161,6.6203
422,288.84,338.94,168.22,204.43
1542,938.04,863.27,470.42,504.81
1424,816.87,664.03,382.45,340.72
682,453.85,633.38,306.32,406.55
1504,1143.9,2010.3,1005.4,1387.5
1076,811.5,1385.5,672.3,886.94
860,613.73,907.17,441.87,575.25
588,308.66,202.55,99.076,118.48
632,282.7,154.38,54.057,81.982
699,437.76,469.88,217.27,228.5
1072,776.46,959.55,528.64,649
1187,749.53,645.67,416.28,375.05
1057,337.52,114.31,46.827,62.316
1106,563.32,381.04,163.22,210.9
990,667.17,813.32,411.32,418.57
1788,1293.7,1777.4,925.46,1112.4
1008,522.66,329.01,160.53,197.1
892,658.31,984.04,500.06,671.3
856,607.3,953.57,429.17,550.22
2440,1559.8,1785.6,815.93,982.85
490,356.92,579.3,264.58,379.49
864,554.55,594.38,322.03,300.62
2564,1544.6,1256.5,759.52,799.46
935,617.25,1011.8,364.83,482.85
1011,779.4,1936.8,754.22,1236.3
634,387.69,279.21,200.52,239.71
1546,397.87,95.441,48.749,51.972
1210,940.56,1799.6,857.58,1139.7
891,602.88,744.09,362.91,395
643,30.696,0.92101,0.12964,0.16203
1192,846.36,1187.2,629.09,694.04
290,128.76,53.301,18.991,24.865
650,251.49,111.97,40.453,65.658
1229,864.19,1181.8,575.26,755.35
405,328.36,382.35,246.05,312.32
864,540.72,450.77,281.28,284.63
768,431.36,356.39,137.66,217.32
994,726.57,1068.6,558.79,703.33
852,608.88,870.15,474.03,502.09
736,560.56,806.54,444.7,560.94
731,525.12,1176.5,453.57,624.16
1104,829.98,1231.2,635.46,870.09
1162,782.96,1141.1,520.13,558
478,354.54,698,283.01,395.23
680,413.88,390.11,152.07,257.19
951,293.35,95.881,40.629,46.066
685,333.46,169.05,91.879,123.09
307,186.85,139.6,71.073,112.58
178,105.21,40.545,22.472,20.061
1140,634.69,479.77,218.1,313.67
594,23.47,1.1011,0.080477,0.067053
881,545.56,457.97,301.02,304.75
546,246.79,147.28,53.089,85.143
1207,842.7,1804.9,620.48,944.29
405,305.29,426.6,239.51,281.43
780,198.08,52.261,20,23.272
910,678.78,1136.9,555.03,734.17
1068,325.92,92.238,52.625,50.751
1248,796.96,873.37,439.63,437.81
880,616.23,921.68,441.19,494.35
1304,726.66,514.85,236.84,340.44
988,355.07,114.79,74.905,71.355
710,529.8,1143.7,471.15,719.27
719,311.35,176.37,71.148,81.57
469,379.78,817.59,364.5,538.68
1586,578.24,195.39,121.54,123.12
850,496.6,407.03,231.65,219.11
574,96.084,3.2295,2.8412,2.8407
670,219.3,44.905,20,28.328
1296,839.37,703.9,469.61,464.91
2113,1601,2442.9,1232.6,1690.9
