976,273.68,261.67,53.043
1675,59.9,2.2548,0.35141
1986,520.27,260.98,117.99
866,260.66,207.81,63.099
850,303.32,448.88,103.45
716,236.31,116.53,54.053
491,171.71,154.35,52.12
1135,771.23,1718.1,939.27
1525,511.19,420.6,145.48
890,617.64,1227.4,685.37
828,454.61,545.24,281.01
1369,952.29,2043.9,1122.2
954,126.19,21.684,2.7079
850,585.99,1223.6,672.94
1288,496.67,520.31,191.04
675,230.75,206.92,71.664
656,274.56,306.13,134.36
736,118.1,34.401,8.1472
1235,445.66,474.4,154.55
922,283.18,218.83,69.416
642,141.49,13.897,9.2046
422,137.06,109.56,39.362
1542,913.69,896.66,666.7
1424,295.84,116.59,42.702
682,434.07,742.42,386.21
1504,610.9,778.58,261.44
1076,703.71,1779.4,885.29
860,551.85,1230,550.69
588,320.11,329.53,195.26
632,258.44,225.61,85.057
699,205.26,137.01,48.094
1072,729.04,1312.1,760.74
1187,720.28,707.82,606.23
1057,321.07,170.46,66.415
1106,229.57,88.996,31.275
990,543.78,1019.9,517.72
1788,1222.3,2431,1388.3
1008,510.3,459.65,259.52
892,632.08,1280.1,765.97
856,578.02,1243.2,646.97
2440,1524.9,2573.1,1344.9
490,349.29,777.56,454.14
864,246.21,167.1,59.273
2564,1424.4,1450.2,939.43
935,321.96,377.78,98.129
1011,418.58,725.74,202.75
634,364.68,339.1,240.7
1546,392.18,131.16,82.47
1210,477.28,545.91,189.28
891,562.43,1066.7,542.76
643,9.1092,0.54023,0.0087264
1192,798.29,1566.6,867.6
290,64.104,13.938,4.1634
650,93.011,31.127,6.9136
1229,433.47,373.62,137.48
405,162.28,138.96,73.829
864,261.13,131.49,64.845
768,457.49,753.07,343.9
994,701.03,1449.7,875.55
852,595.72,1234.4,771.83
736,269.9,249.72,93.094
731,287.55,430.33,135.62
1104,812.06,1586.2,1012.6
1162,672.31,1386.3,725.85
478,302.63,1027.9,422.02
680,193.79,136.56,42.707
951,313.89,147.76,80.546
685,336.56,266.43,167.38
307,110.83,76.258,19.512
178,71.736,35.575,29.042
1140,279.56,146.89,46.187
594,24.36,1.5515,0.067166
881,487.58,430.96,322.23
546,134.7,80.886,20
1207,425.97,655.33,153.17
405,277.11,556.54,340.11
780,89.581,20.276,4.4203
910,352.68,373.89,134.25
1068,135.57,21.21,6.0291
1248,382.37,285.91,97.348
880,523.85,1009.7,544.02
1304,314.56,149.06,53.335
988,296.19,95.456,89.114
710,522.14,1806.1,902.74
719,140.8,56.797,14.753
469,181.29,291.25,75.969
1586,224.42,55.762,22.132
850,215.9,101.7,43.264
574,119.69,7.231,6.3178
670,106.26,20,5.3249
1296,739.34,631.27,511.07
2113,788.75,786.12,275.11
1223,255.35,121.77,35.221
634,251.76,212.83,109.26
490,138.74,105.34,27.361
496,304.66,1130.9,505
