CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.087858	0.63762	1.11394	0.5114	1.12613	1.25344	1.23308	1.19002	1.038752	1.039338	1.00028717	0.75045	1.08554	0.73839	0.940836	1.13672	1.079443
TWAS21010104	1.13388	0.63544	1.13424	0.4668	1.17246	1.45108	1.37705	1.15732	1.12255	1.16981	1.02948	0.70811	1.19507	0.68798	0.60116	1.20189	1.19556
TWAS21010105	1.1206	0.89166	1.14336	1.49981	1.14215	1.17123	1.23811	1.22974	1.11046	1.047476	1.21469	0.938971	1.05966	0.989443	1.22954	1.16135	1.046246
TWAS21010106	1.085141	0.57829	1.11257	0.54481	1.13588	0.969923	0.76188	0.66794	0.940544	1.10069	1.001436	0.58736	1.097916	0.64129	0.81733	1.050212	1.12396
TWAS21010107	0.89328	0.72856	0.936138	1.10082	0.59045	0.54003	0.56494	1.036042	0.929026	0.959539	0.89315	0.88566	0.52273	0.80055	1.18092	0.924316	0.78271
TWAS21010112	1.10297	0.913009	1.069345	1.3522	1.13061	0.88758	0.82138	1.10472	1.081628	1.13067	1.17682	0.958064	1.10248	0.978823	1.30261	1.026726	1.11139
TWAS21010114	1.10809	0.60259	1.10128	0.52969	1.15275	1.3045	1.17672	1.17707	1.049137	1.13542	1.0073303	0.73507	1.14126	0.66591	1.070597	1.15302	1.14113
TWAS21010115	1.084975	0.54326	1.11513	0.46214	1.13898	0.96922	0.71165	0.56367	1.014088	1.11102	1.022349	0.59158	1.093786	0.62064	0.8008	1.0073716	1.12978
TWAS21010116	1.086162	0.61724	1.084158	0.52275	1.13516	1.2993	1.27818	1.15404	1.097057	1.11497	0.98969	0.73318	1.10914	0.66725	1.10719	1.11477	1.11597
TWAS21010117	0.954612	0.49385	0.972581	0.51677	0.39375	0.67566	0.67028	0.52475	0.8437	1.067238	0.8363	0.62199	0.86735	0.53923	0.66597	0.82209	1.028227
TWAS21010118	0.943315	0.72811	0.901958	1.097316	0.51955	0.57461	0.71544	0.924666	0.9918161	0.952015	0.919698	0.79388	0.930285	0.79107	1.12911	0.96603	0.942372
TWAS21010119	0.960998	0.69408	0.93432	1.32807	0.50773	0.81414	1.077285	1.088677	1.0069238	1.024166	0.9902206	0.79142	1.0056914	0.80149	1.085714	0.983811	0.92164
TWAS21010121	1.093421	0.59221	1.11695	0.57803	1.14881	0.946505	0.77713	0.62286	0.959145	1.12724	1.017147	0.33734	1.11863	0.63281	0.922055	1.036705	1.1419
TWAS21010122	1.10646	0.60003	1.094889	0.52368	1.15221	1.2886	1.18416	1.1696	1.030595	1.12977	0.9920227	0.73192	1.12571	0.67229	1.0014895	1.15982	1.13144
TWAS21010203	0.903961	0.75314	0.89432	1.087222	0.55868	0.56398	0.78779	1.038831	1.0094958	0.9907254	0.998308	0.83319	0.988356	0.8111	1.25745	0.950075	0.901658
TWAS21010204	1.11233	0.61129	1.12918	0.55319	1.18188	1.024326	0.74119	0.65746	1.029654	1.14093	1.03086	0.65505	1.12321	0.64476	0.915485	1.037526	1.15913
TWAS21010205	1.12995	0.63804	1.15378	0.56667	1.19889	1.37969	1.37882	1.20113	1.14743	1.14974	1.048136	0.70267	1.14787	0.68807	1.022847	1.20441	1.15826
TWAS21010206	0.989748	0.77613	0.944599	1.1845	0.58701	0.6	0.75782	1.15048	1.094569	1.08534	1.00041587	0.908361	1.024995	0.83794	1.15824	1.00028429	1.011373
TWAS21010207	1.08527	0.5871	1.084891	0.5628	1.13493	0.916639	0.73765	0.59949	0.940061	1.11709	0.962226	0.67859	1.11639	0.67387	0.72151	0.8203	1.11861
TWAS21010208	1.093032	0.908076	1.06316	1.36547	1.12063	0.84214	0.76412	1.12128	1.067475	1.11905	1.20521	1.039585	1.081032	0.979953	1.32575	1.031087	1.10181
TWAS21010211	1.063784	0.57251	1.066941	0.55759	1.10602	0.945315	0.58731	0.65094	0.966232	1.10711	0.9918247	0.61125	1.09425	0.63972	0.72232	0.86701	1.10091
TWAS21010212	1.11149	0.88556	1.13911	1.47466	1.13689	1.11178	1.23189	1.24592	1.062604	1.05431	1.19795	0.87739	1.065922	0.986896	1.22416	1.15203	1.044669
TWAS21010215	0.73532	0.55774	0.81935	0.4331	0.54688	1.086838	0.909699	0.911905	0.5046	0.53315	0.68213	0.52393	0.49609	0.52917	0.56121	0.49232	0.52216
TWAS21010216	1.124	0.63124	1.14184	0.52394	1.18144	1.42387	1.33958	1.16627	1.13117	1.14919	1.028403	0.69937	1.15318	0.69635	1.089321	1.18408	1.16136
TWAS21010217	1.085535	0.58339	1.070487	0.48708	1.14755	1.24653	1.14661	1.16609	1.012599	1.11727	0.974586	0.72587	1.12411	0.66124	1.22407	1.13718	1.10996
TWAS21010218	0.5023	0.54144	0.59686	0.52945	0.48455	0.43784	0.63029	0.53764	0.51357	0.50731	0.51093	0.52641	0.48683	0.45812	0.26764	0.46846	0.57248
TWAS21010219	1.11953	0.6133	1.15552	0.5427	1.1647	1.37138	1.2331	1.16622	1.065802	1.15556	1.030117	0.60214	1.16365	0.69137	1.19938	1.16819	1.16474
TWAS21010222	1.092917	0.60684	1.068557	0.51974	1.12969	1.28233	1.21575	1.17209	1.056295	1.13055	0.972337	0.72255	1.15521	0.68118	0.52774	1.11144	1.129
TWAS21010302	1.12097	0.900976	1.12987	1.35669	1.161	0.950936	0.82495	1.064282	1.074424	1.13031	1.21729	1.034318	1.11906	0.968245	1.30979	1.16016	1.1121
TWAS21010304	0.83801	0.24021	0.82226	0.47629	0.54301	1.21219	1.054623	0.86429	0.925261	0.8994	0.67717	0.5016	0.947789	0.52926	0.55836	0.85172	0.76527
TWAS21010305	0.957761	0.71636	0.95878	1.28878	0.56383	0.82045	1.045131	1.097666	1.05568	1.064249	0.967334	0.81845	1.0056216	0.81443	1.17653	1.018575	0.903375
TWAS21010306	0.979305	0.47691	0.963381	0.50093	0.23145	0.51604	0.5873	0.55164	0.81187	1.045101	0.79501	0.48021	0.940397	0.53973	0.55441	0.7851	1.00050248
TWAS21010307	1.10484	0.901265	1.099167	1.43241	1.11982	1.094058	1.23397	1.24227	1.12647	1.037979	1.1932	0.933397	1.050986	1.021428	1.25856	1.15646	1.062362
TWAS21010308	1.13835	0.90034	1.15856	1.49721	1.1807	1.13451	1.30958	1.26738	1.13219	1.14902	1.24	0.932235	1.14337	0.972996	1.30412	1.2092	1.11461
