CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.002481	0.582	1.061625	0.62258	0.67437	0.89226	0.62584	0.66047	0.949335	1.02812	0.944071	0.64555	1.059749	0.58136	0.45992	0.919594	1.027911
TWAS21160104	0.77484	0.47101	0.7768	0.50342	0.48332	0.93397	0.82143	0.80084	0.49322	0.8907	0.50394	0.49471	0.968084	0.40365	0.3314	0.51691	0.83637
TWAS21160106	1.040257	0.79661	1.20928	0.5639	1.067544	1.15598	0.942575	1.045168	0.933596	1.063737	0.93099	0.69511	1.026216	0.65449	0.53499	1.06685	1.060471
TWAS21160108	1.036777	0.949543	1.063525	0.61305	1.14039	0.982006	0.58904	0.64931	0.97836	1.076238	0.957644	0.68108	1.038861	0.62841	0.57314	0.9949031	1.071147
TWAS21160113	1.051723	0.6775	1.078462	0.64908	1.16844	0.947182	0.63721	0.68971	0.9974434	1.10379	0.9903925	0.74872	1.086633	0.74007	0.62388	0.948013	1.069408
TWAS21160114	0.89991	0.977884	0.914352	1.28264	0.58654	0.922599	0.977375	1.076527	0.989709	1.003591	0.975785	0.80034	0.981558	0.927524	1.25346	0.97703	0.96274
TWAS21160116	1.058992	1.037548	1.06916	0.60047	1.17412	1.20006	1.17303	1.063038	1.043675	1.11745	0.987255	0.71247	1.073458	0.69742	0.55891	1.091114	1.083515
TWAS21160118	1.047463	1.065017	1.056446	1.21622	1.13802	0.907308	0.65727	1.025127	1.077007	1.066517	1.12595	0.8715	1.035183	1.046086	1.33387	1.041402	1.053567
TWAS21160119	1.052933	0.87445	1.063722	0.61797	1.15399	1.18528	1.026799	1.06072	1.074581	1.053842	0.977934	0.72622	1.057406	0.75404	0.62658	1.066169	1.080877
TWAS21160121	1.066207	0.985516	1.085548	1.34904	1.1687	1.11283	1.090731	1.17125	1.10141	1.089898	1.13078	0.86771	1.056176	0.9921782	1.28663	1.082816	1.05102
TWAS21160122	1.011509	1.0092453	1.042005	1.36115	0.59428	0.986813	1.10977	1.15218	1.066865	1.039814	1.079271	0.84637	1.032612	0.982617	1.34463	1.029831	0.973962
TWAS21160203	1.069475	1.014703	1.086139	1.36412	1.16896	1.060896	1.13278	1.18243	1.09843	1.085434	1.13121	0.86233	1.058198	1.014579	1.3085	1.083255	1.045548
TWAS21160204	0.82281	0.9941601	0.77284	1.036949	0.52264	0.51545	0.958608	0.984438	0.8661	0.39111	0.86716	0.82213	0.47088	1.24846	1.057674	0.85216	0.84876
TWAS21160205	1.050677	1.043756	1.061392	1.33412	1.1608	1.0071773	1.04193	1.1883	1.030236	1.038992	1.12929	0.87007	1.052527	1.053659	1.31851	1.059277	1.046375
TWAS21160206	1.05914	0.88828	1.062858	0.64091	1.17609	1.19402	1.025566	1.09187	1.048492	1.06383	1.0056604	0.74885	1.073024	0.77132	0.58877	1.07099	1.077976
TWAS21160209	1.054074	0.917462	1.058194	0.60866	1.15754	1.19718	0.966685	1.091583	1.0023055	1.06112	0.982383	0.74254	1.055087	0.68875	0.49512	1.078444	1.068091
TWAS21160211	1.074444	0.943718	1.097675	0.68118	1.18105	1.25196	1.059261	1.10661	1.0058271	1.056558	1.022626	0.73291	1.07749	0.68805	0.572	1.074128	1.076768
TWAS21160212	0.88813	0.51196	0.924896	0.26557	0.61519	0.900623	0.59327	0.62315	0.85622	0.962831	0.86588	0.56512	0.962375	0.5582	0.44872	0.63363	0.952022
TWAS21160213	1.044826	0.927437	1.0797	0.6306	1.15812	0.960847	0.59145	0.63529	0.936271	1.040372	0.9924648	0.70012	1.057299	0.66744	0.61325	0.979195	1.063616
TWAS21160214	1.037224	1.043131	1.061452	0.4982	1.14213	0.929576	0.62468	0.57391	0.911231	1.084366	0.961445	0.67506	1.065711	0.58135	0.49274	0.9961116	1.080914
TWAS21160216	0.932726	1.0051435	0.85039	1.097199	0.985371	0.78054	0.8576	0.9929779	0.916456	0.958894	0.966656	0.85593	0.987636	0.82166	1.11645	0.960277	0.921633
TWAS21160217	1.04529	0.952882	1.044601	0.65786	1.16944	1.16609	1.11138	1.099446	1.03748	1.069602	0.973248	0.73572	1.072155	0.71295	0.5761	1.066486	1.071584
TWAS21160218	1.020406	1.0082298	1.22129	1.14929	1.05593	0.941661	0.60867	0.89884	1.030157	1.012304	1.095606	0.81596	0.974665	1.043618	1.27893	1.0389	1.026525
TWAS21160219	1.0085715	0.89299	1.1708	0.48794	1.059539	0.933887	0.56002	0.54324	0.903741	1.033809	0.88937	0.66372	0.972078	0.59636	0.53125	0.974062	1.031696
TWAS21160221	1.039056	0.97388	1.0064457	1.1977	1.11165	0.95705	0.65031	0.966014	1.070929	1.087582	1.11155	0.85003	0.9949026	1.001697	1.2516	1.046474	1.02713
TWAS21160302	1.066868	0.85998	1.083781	0.60824	1.18972	1.21111	1.092266	1.12427	1.0085888	1.070524	1.016036	0.7369	1.063276	0.68267	0.67587	1.06705	1.081982
TWAS21160304	1.065144	0.984817	1.095093	1.3495	1.17189	1.10131	1.035339	1.16651	1.04377	1.049922	1.11738	0.84505	1.066496	0.984941	1.28233	1.069155	1.038176
TWAS21160306	1.053547	1.017704	1.090434	1.1969	1.13397	0.937018	0.68839	1.0033968	1.017714	1.050248	1.11322	0.84314	1.040145	0.986015	1.31399	1.062136	1.052489
TWAS21160308	0.991551	1.020298	1.04266	1.16899	0.63718	0.85244	0.67339	0.969456	1.037944	1.058563	1.077699	0.82811	1.011659	0.966345	1.37917	1.001234	0.965355
TWAS21160309	0.960603	1.16343	0.963079	1.30892	0.54822	1.022413	0.972855	1.076468	0.963672	1.018647	1.018102	0.83088	1.0039217	0.9739	1.31453	0.949064	0.938638
TWAS21160311	1.026667	0.956904	1.036818	0.49597	1.13184	0.89307	0.61509	0.62856	0.912874	1.075504	0.95331	0.6903	1.051684	0.62129	0.59824	0.974062	1.057197
TWAS21160312	1.056636	0.9947211	1.078796	1.18314	1.11601	0.904297	0.63619	0.950593	1.0044312	1.099652	1.12619	0.83779	1.051757	0.966561	1.29785	1.058966	1.053979
TWAS21160314	1.028129	0.9948389	1.23319	1.13892	1.062387	0.901374	0.66385	0.905788	1.032526	1.07571	1.10089	0.81214	1.0019525	0.946241	1.27288	1.059241	1.068943
TWAS21160316	0.89801	0.985888	0.87696	1.24426	0.54491	0.939971	0.93793	1.025097	0.976548	0.980059	0.959347	0.78344	0.971931	0.936926	1.25597	0.931483	0.943179
TWAS21160318	0.985106	1.013491	1.041374	0.61646	0.64581	1.18848	1.17021	1.084091	0.930759	1.015056	0.88956	0.65026	1.04039	0.59101	0.47513	0.9965017	1.0086499
TWAS21160322	1.041576	0.942052	1.057319	1.28025	1.1313	1.079315	0.974276	1.11164	0.987192	1.048657	1.079169	0.76055	1.030167	0.81204	1.30425	1.052993	1.033718
TWAS21160402	1.056283	1.04699	1.080751	1.18908	1.1271	0.87431	0.67962	0.980697	1.013179	1.077354	1.12724	0.84747	1.04396	1.011999	1.32229	1.054258	1.062853
TWAS21160403	0.988689	1.049637	0.959357	1.36956	0.59288	0.95405	1.029652	1.13712	1.0063664	1.016384	1.061918	0.85612	1.027345	1.027004	1.35124	0.9998509	0.971699
TWAS21160405	1.060616	0.993671	1.085941	1.33237	1.16353	1.11141	1.09006	1.17134	1.089747	1.060911	1.1355	0.85327	1.050034	0.9936063	1.29418	1.066405	1.042259
TWAS21160409	1.052311	1.054685	1.073765	1.2009	1.15488	0.921252	0.66371	0.95499	1.082097	1.052843	1.12462	0.86577	1.046089	1.026106	1.32688	1.061787	1.057665
TWAS21160415	1.030442	1.038847	1.032751	1.17412	1.10374	0.78814	0.66169	1.0060512	1.014398	1.039097	1.10719	0.9964726	1.026329	1.033765	1.31607	1.025601	1.035435
TWAS21160417	1.058072	1.0001083	1.10547	1.35756	1.16282	1.079665	1.032651	1.1654	1.042709	1.069723	1.13702	0.8601	1.067603	0.9963495	1.29777	1.058124	1.028639
TWAS21160418	1.031576	0.912708	1.037722	0.56383	1.14168	0.923033	0.64986	0.62863	0.964542	1.04843	0.947354	0.68603	1.025242	0.65855	0.7108	0.952351	1.048925
TWAS21160419	1.018315	0.9916394	1.18439	1.13827	1.02288	0.922456	0.63133	0.94589	0.96937	1.036293	1.081479	0.81458	0.969553	0.947148	1.26707	1.018439	1.037198
TWAS21160421	1.037267	0.67345	1.094057	0.27384	1.15902	0.920185	0.64802	0.68764	0.937913	1.080449	0.983399	0.70714	1.064816	0.68394	0.57788	0.934719	1.065553
TWAS21160422	1.069786	0.81194	1.12781	0.6528	1.20466	1.25384	1.084919	1.090913	1.0031768	1.13329	1.020013	0.73865	1.097688	0.71187	0.55567	1.043762	1.087388
TWAS21160423	1.021909	0.942551	1.23409	1.36654	1.036124	1.089366	0.99922472	1.16522	0.953805	1.049264	1.089544	0.80814	1.016863	0.92411	1.23774	1.064132	1.027277
TWAS21160424	0.86002	0.961994	1.082662	0.9981045	0.46845	0.75036	0.59232	0.86731	0.81893	0.9940411	0.925316	0.82351	0.946429	0.86436	1.26352	0.89411	0.89745
TWAS21160502	1.071555	0.86403	1.086021	0.63741	1.20532	1.26125	1.14094	1.10456	1.0524	1.078846	1.010225	0.73159	1.0837	0.68431	0.57131	1.099325	1.10444
TWAS21160504	1.042453	1.046509	1.026251	1.1935	1.11958	0.88909	0.6669	1.030306	1.010683	1.069547	1.1096	0.9566	1.035421	1.1407	1.34684	1.036467	1.063646
TWAS21160506	0.48194	0.47879	0.44364	0.58989	0.46481	0.49409	0.64077	0.57331	0.50566	0.48616	0.47969	0.48421	0.44358	0.41565	0.40134	0.43052	0.47678
TWAS21160512	1.052398	1.016788	1.035363	1.35777	1.14424	1.04117	1.086587	1.059837	1.096989	1.10177	1.1227	0.975593	1.03208	1.040472	1.33356	1.080336	1.072319
TWAS21160517	0.96782	0.60825	0.939708	0.58396	0.62929	1.21458	1.17028	1.019427	0.979991	1.059406	0.938332	0.55706	1.014416	0.56808	0.58627	1.054435	1.065501
TWAS21160518	0.933413	0.6203	0.952344	0.62813	0.66494	1.076414	1.057973	1.038786	0.957391	0.976416	0.82651	0.58564	0.9980156	0.62093	0.52842	0.94006	0.9924186
TWAS21160522	1.050353	0.82407	1.053527	0.60898	1.16492	1.17463	1.0045375	1.098932	1.010415	1.063859	0.988015	0.73327	1.053087	0.75757	0.58888	1.060691	1.070544
TWAS21160524	1.081114	1.094136	1.092351	0.59681	1.19082	0.85507	0.82076	0.926419	1.06291	1.087252	1.014513	0.71041	1.082753	0.68263	0.58086	1.10574	1.12112
TWAS21160602	1.026444	0.965615	0.948904	1.041507	1.088481	1.15498	0.87112	0.976562	0.936699	1.11525	0.958607	0.73442	1.014521	0.88122	1.11395	1.051704	1.043495
TWAS21160604	1.0046626	1.3566	1.075332	1.17823	0.58689	0.73933	0.71436	1.012305	1.060494	1.045249	1.096925	0.87811	1.010939	1.044309	1.38095	1.0041092	0.959013
TWAS21160605	1.058553	1.020499	1.073108	1.34788	1.16863	1.10631	1.070714	1.17767	1.11027	1.050812	1.13439	0.86898	1.057475	1.014876	1.29951	1.067964	1.037783
TWAS21160606	1.053856	1.029244	1.056331	1.21654	1.14127	0.926373	0.67089	1.021491	1.095982	1.055537	1.13247	0.86746	1.036029	1.046717	1.3282	1.044978	1.042297
TWAS21160607	1.067373	0.9381	1.089195	0.59232	1.16938	1.20212	1.062363	1.079666	0.9940996	1.090114	0.9960824	0.72826	1.085073	0.67788	0.5921	1.08488	1.090223
TWAS21160608	1.054906	0.68259	1.1126	0.70611	1.19196	0.935176	0.69186	0.70609	0.994826	1.1003	1.0098813	0.74473	1.072071	0.70012	0.5929	0.975961	1.056049
TWAS21160612	1.06448	0.980107	1.094922	1.35504	1.15405	1.087014	1.041908	1.18699	1.034757	1.065648	1.14395	0.83252	1.077916	0.961487	1.30053	1.079147	1.044017
TWAS21160613	1.041462	0.960691	1.059782	1.28128	1.13302	1.047076	0.974112	1.13377	0.9949766	1.039375	1.090366	0.77284	1.050196	0.84574	1.30578	1.048891	1.039555
TWAS21160615	1.061865	1.14442	1.12202	1.34385	1.18794	1.13157	1.18006	1.13668	1.10615	1.066215	1.11033	0.87992	1.085009	1.060133	1.32626	1.043823	1.040967
TWAS21160617	1.020891	0.64296	1.080502	0.64829	0.62318	1.21534	1.2064	1.067341	0.968144	1.036369	0.947679	0.58034	1.080846	0.6411	0.56791	1.030433	1.03971
TWAS21160619	0.89204	0.971033	0.89555	1.26781	0.56087	0.9965483	0.908327	1.037215	0.971608	1.002183	0.975448	1.014044	0.984892	0.93234	1.25375	0.941656	0.928357
TWAS21160621	0.976723	0.96556	1.012518	1.33444	0.62011	0.9904106	1.14786	1.092629	1.0094151	1.058352	1.05589	1.29917	1.023912	0.913316	1.31076	1.027705	0.931081
TWAS21160623	1.021803	0.58942	1.085781	0.67905	0.65165	1.19187	1.11576	1.035333	1.019921	1.044694	0.9969147	0.59934	1.0668	0.59788	0.46529	1.037827	1.026257
TWAS21160624	1.019015	0.9922588	1.084741	1.24246	0.55822	0.84216	0.59899	1.03379	0.965342	1.050242	1.018427	0.85512	0.9911448	0.953729	1.31628	1.10378	0.972989
TWAS21160702	1.002681	0.922748	1.044199	0.61661	0.61695	1.21275	1.21024	1.099794	0.951082	1.024387	0.919321	0.65969	1.059637	0.59527	0.51215	1.024874	1.022745
TWAS21160705	0.62183	0.4392	0.47742	0.62385	0.22261	0.81754	0.81171	0.7505	0.68559	0.42999	0.67848	0.50315	0.81588	0.49665	0.40775	0.59242	0.44667
TWAS21160707	1.024259	1.021901	1.19127	1.34338	1.066084	1.046478	0.977163	1.13614	1.037251	1.026011	1.081011	0.84011	1.0042661	0.988441	1.27186	1.052746	1.020896
TWAS21160708	0.96271	0.60932	1.033138	0.6913	0.64015	0.80484	0.59077	0.65708	0.931224	0.988936	0.919263	0.56314	1.034846	0.55191	0.47634	0.986165	0.986639
TWAS21160713	1.048809	0.65288	1.096228	0.64434	1.18031	0.92436	0.65674	0.65477	0.9930364	1.099312	0.987986	0.73765	1.082567	0.66094	0.68572	0.980265	1.065589
TWAS21160716	1.06549	1.026883	1.096604	1.36716	1.16765	1.086502	1.16071	1.18046	1.09959	1.090472	1.12789	0.86048	1.069598	1.02909	1.31268	1.074858	1.058981
TWAS21160717	0.85659	0.52915	0.927644	0.55036	0.55708	0.73246	0.61585	0.56348	0.83495	0.968932	0.80478	0.54319	0.982553	0.53411	0.44354	0.89976	0.958645
TWAS21160718	1.062845	0.88121	1.074975	0.64867	1.19902	1.22873	1.01511	1.10998	1.081759	1.050833	1.0068776	0.75287	1.076903	0.78975	0.6347	1.071012	1.080201
TWAS21160719	0.89	0.51569	1.12099	0.57805	0.55583	1.12588	1.18353	0.92159	0.8975	1.0046568	0.84769	0.53682	0.9948469	0.54179	0.47846	0.946059	0.96756
TWAS21160722	1.030391	0.88894	1.047378	0.60765	1.1193	0.8926	0.6166	0.66299	0.948418	1.062807	0.960724	0.68873	1.043899	0.64153	0.57775	0.928226	1.059708
TWAS21160724	1.049575	0.964347	1.061482	1.28668	1.13946	1.085314	0.982525	1.12726	1.00017431	1.056892	1.096672	0.77274	1.038557	0.84565	1.30242	1.058103	1.041092
TWAS21160803	1.0028182	0.923746	1.037985	0.61285	0.61037	1.20777	1.1353	1.084673	0.957166	1.047565	0.916201	0.63213	1.063281	0.5955	0.45973	1.016503	1.016953
TWAS21160807	0.919371	0.96995	1.12369	1.052337	0.49788	0.76994	0.58369	0.89884	0.84885	0.986477	0.956988	0.81225	0.939843	0.88368	1.29472	0.9928077	0.921473
TWAS21160808	1.062952	1.11431	1.089546	1.34113	1.18287	1.06845	1.025964	1.16074	1.062064	1.12304	1.14391	0.87777	1.071699	1.058218	1.3284	1.053089	1.070774
TWAS21160809	0.954255	0.78217	0.95156	0.60861	0.62775	0.85807	0.64308	0.60697	0.83572	0.983746	0.88966	0.55526	1.0064774	0.56524	0.48891	0.82918	0.973866
TWAS21160811	1.080583	0.68215	1.13616	0.69611	1.19316	1.25484	1.092692	1.094715	0.988875	1.1051	1.0067418	0.73437	1.11199	0.67289	0.58981	1.037335	1.10038
TWAS21160812	0.921555	1.014345	1.16057	0.53409	0.54893	1.15577	0.970408	0.953627	0.82977	1.024721	0.82416	0.57223	0.9904505	0.51207	0.46226	0.946908	0.952813
TWAS21160815	1.012499	0.986043	1.18064	0.62901	1.070732	0.909567	0.58468	0.64307	0.926927	1.011812	0.926166	0.66551	0.9965931	0.60261	0.50082	0.920376	1.04271
TWAS21160816	0.49301	0.986043	0.7276	1.22349	0.43844	0.55586	0.88552	1.0093933	0.46703	0.9915121	0.967643	0.93243	0.8671	0.960823	1.14622	0.5059	0.84117
TWAS21160818	0.901186	0.76133	0.910448	0.61708	0.22462	1.061118	0.94728	0.955451	0.87386	1.0068496	0.84152	0.56493	0.970279	0.54396	0.49586	0.955736	0.934896
TWAS21160822	1.03331	1.007982	1.22866	1.12349	1.03379	0.89454	0.6032	0.89689	0.950276	1.067715	1.087407	0.82674	1.0030841	0.931589	1.26719	1.063928	1.047067
TWAS21160824	1.066035	0.75988	1.083824	0.63037	1.17953	1.2072	1.056099	1.083902	1.0061959	1.082212	0.9989765	0.71504	1.086897	0.66111	0.5508	1.083721	1.10101
TWAS21160902	0.966025	0.925844	1.019198	0.64168	0.62745	0.960342	0.62565	0.65793	0.913557	1.027692	0.89038	0.56975	1.035374	0.5624	0.40539	0.89362	1.010719
TWAS21160906	1.068589	1.023435	1.090821	0.61595	1.18443	1.20428	1.074483	1.1049	0.996522	1.08045	1.012133	0.7151	1.081336	0.66181	0.57592	1.081594	1.097673
TWAS21160914	1.033982	1.11243	1.022882	0.58807	1.12903	0.972984	0.60319	0.60473	0.972852	1.10565	0.947016	0.58927	1.029284	0.62161	0.42375	0.9969402	1.077991
TWAS21160916	1.057654	1.1032	1.11552	1.27931	1.16951	1.069587	1.011777	1.11514	1.0066588	1.075576	1.10359	0.7892	1.06307	0.922439	1.32533	1.037168	1.029143
TWAS21160918	1.06428	0.927437	1.098274	0.64633	1.16708	1.21969	1.0328	1.085458	0.988016	1.086006	1.00071117	0.70049	1.075202	0.65029	0.60182	1.084436	1.091111
TWAS21160924	1.067568	0.983767	1.095745	1.35145	1.17717	1.090961	1.070575	1.17559	1.12457	1.0725	1.12294	0.85751	1.079742	0.999951495	1.29829	1.063254	1.036714
TWAS21161006	1.065236	0.917462	1.088797	0.60288	1.173	1.21454	1.080274	1.099971	0.988992	1.082807	0.9916016	0.71042	1.072827	0.69504	0.58677	1.08402	1.089017
TWAS21161007	0.906633	0.9978482	0.88747	1.21636	0.58193	0.46499	0.920644	0.979078	0.89392	0.945787	0.89869	0.76664	0.96981	0.84451	1.17606	0.934778	0.912547
TWAS21161009	1.053424	1.034201	1.091973	1.18444	1.14308	0.89615	0.67039	1.000042198	1.016662	1.06108	1.12191	0.89708	1.042657	1.0015867	1.30785	1.049518	1.035931
TWAS21161013	1.014097	0.961879	1.21873	0.54306	1.050188	0.948176	0.56469	0.50658	0.85456	1.041644	0.916309	0.61446	1.015249	0.57131	0.5775	0.952856	1.058529
TWAS21161014	1.036446	0.89506	1.060406	0.60778	1.14578	0.95851	0.61498	0.62304	0.971737	1.066795	0.968437	0.69554	1.048585	0.66572	0.57748	0.975746	1.072173
TWAS21161015	1.045401	0.89715	1.04678	0.59277	1.13958	1.19805	0.970084	1.067246	0.9950083	1.096938	0.973945	0.72327	1.05427	0.67411	0.54467	1.06518	1.070473
TWAS21161017	1.040492	1.061254	1.045951	1.35082	1.1351	1.001053	1.18891	1.18969	1.091892	1.019715	1.10755	0.86762	1.05485	1.039425	1.32531	1.047184	1.057219
TWAS21161019	1.062283	0.85052	1.062522	0.59325	1.16739	1.1974	0.984797	1.094855	1.0013498	1.082378	0.983813	0.72216	1.069843	0.69154	0.58981	1.076085	1.094669
TWAS21161024	0.85562	0.49535	0.67681	0.56331	0.51857	0.54736	0.59151	0.48706	0.70279	0.86023	0.50035	0.19835	0.86873	0.44965	0.43416	0.40545	0.906618
TWAS21161102	0.969093	1.094969	0.946185	1.15884	0.60905	0.75524	0.72772	1.046367	0.974159	1.025066	1.054327	1.068416	0.961711	1.26766	1.38987	0.97984	0.9971448
TWAS21161106	0.88239	1.0040205	0.912124	1.03466	0.48971	0.5774	0.58473	0.932974	0.89184	0.9917342	0.89021	0.76788	0.964209	0.970261	1.26085	0.956394	0.951834
