CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.090869	0.68572	1.11575	0.5114	1.13223	1.25559	1.23624	1.1954	1.048818	1.043301	1.0078696	0.74628	1.089221	0.66325	0.939471	1.13937	1.081913
TWAS21010104	1.13594	0.66443	1.13544	0.4668	1.17684	1.45174	1.37841	1.16356	1.12712	1.17257	1.034587	0.70575	1.19702	0.6897	0.60116	1.20456	1.19723
TWAS21010105	1.12519	0.913897	1.14554	1.50199	1.15159	1.176	1.24459	1.23668	1.12269	1.054326	1.21743	0.942711	1.068175	0.960018	1.23289	1.16528	1.051719
TWAS21010106	1.090531	0.61672	1.11565	0.54481	1.14465	1.034933	0.87438	0.66794	0.93032	1.10722	1.0142	0.52516	1.10408	0.64222	0.88313	1.065311	1.128
TWAS21010107	1.0076216	0.83865	1.055835	1.26682	0.59087	0.54003	0.56494	1.15087	1.021203	1.044392	1.019136	0.8856	0.52273	0.88314	1.18068	1.029162	0.88557
TWAS21010112	1.10618	0.986004	1.072142	1.35604	1.13703	0.89181	0.89614	1.11645	1.090729	1.13442	1.17895	0.960589	1.10705	0.977933	1.30581	1.035328	1.11467
TWAS21010114	1.11065	0.6249	1.10325	0.52969	1.15749	1.30616	1.18139	1.18267	1.058016	1.1388	1.014279	0.73025	1.1442	0.68842	1.084436	1.15633	1.14322
TWAS21010115	1.08971	0.52767	1.11753	0.46214	1.14654	1.060773	0.76295	0.56367	1.031198	1.11685	1.032049	0.55965	1.099942	0.6594	0.916189	1.018758	1.13361
TWAS21010116	1.090699	0.64605	1.087386	0.52275	1.14258	1.30184	1.28155	1.16497	1.10651	1.12153	1.00061444	0.7519	1.11414	0.67084	1.21145	1.12063	1.11987
TWAS21010117	0.971382	0.55851	0.972581	0.51677	0.39375	0.77263	0.68544	0.52475	0.90674	1.14768	0.919895	0.62199	0.944768	0.58339	0.7062	0.87691	1.032074
