CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.00549	0.57214	1.047584	0.60144	0.63123	0.99535	0.61358	0.63399	0.974469	1.035053	0.94968	0.64905	1.065038	0.62759	0.45992	0.933974	1.03306
TWAS21160104	0.86493	0.47101	0.86831	0.50342	0.48332	1.0082533	0.9922501	0.924937	0.49322	0.983341	0.50394	0.49471	1.035422	0.40365	0.3314	0.51691	0.96566
TWAS21160106	1.041427	0.83301	1.85687	0.5639	1.070229	1.15737	0.947181	1.047498	0.939662	1.065035	0.934646	0.68317	1.027545	0.60635	0.53499	1.071775	1.06245
TWAS21160108	1.039295	0.9929283	1.052417	0.6133	1.14394	1.0053414	0.55419	0.67956	0.985593	1.078924	0.963923	0.69363	1.042103	0.65979	0.57314	1.0047813	1.07429
TWAS21160113	1.053456	0.58817	1.06839	0.6183	1.17138	0.947182	0.69586	0.67272	1.0026117	1.10729	0.9944756	0.74176	1.089808	0.73389	0.62388	0.960461	1.071965
TWAS21160114	0.910478	1.019863	0.9011	1.2871	0.57287	0.9955793	1.0093812	1.081839	0.99971921	1.015845	0.984063	0.80024	0.99938417	0.932621	1.25994	0.99418	1.0007245
TWAS21160116	1.062515	1.087153	1.059642	0.60071	1.17877	1.20528	1.18239	1.070599	1.051361	1.12167	0.9962401	0.73793	1.078446	0.69079	0.55891	1.098996	1.088971
TWAS21160118	1.049025	1.097243	1.045124	1.22	1.14098	0.936278	0.63473	1.029991	1.080479	1.068562	1.12713	0.8693	1.038417	1.03807	1.33482	1.046661	1.056048
TWAS21160119	1.054165	0.912651	1.050795	0.68304	1.1563	1.18709	1.038337	1.063354	1.078054	1.055476	0.981149	0.71018	1.059042	0.76286	0.18673	1.070514	1.082717
TWAS21160121	1.067932	1.028545	1.07626	1.35149	1.17184	1.11844	1.1016	1.17325	1.10555	1.092512	1.13238	0.87599	1.059156	0.9974064	1.28942	1.08796	1.054528
