itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	0.586622394531886	1.04246527495776	0.608007748952282	0.653000701052974	0.943789702045012	0.61733519151402	0.646483449519452	0.956441540801831	1.02687967648921	0.942674594328496	0.644051936714897	1.05783861431673	0.599058984614204	0.458320233225925	0.921422773808023	1.0260645217867
TWAS21160106	0.80047239796742	1.2697665300851	0.541873909333415	1.02668049138614	1.11127874170709	0.906764823456154	1.00509394146724	0.899146493338766	1.02260418508468	0.895806266864492	0.663154111668883	0.986558375166242	0.607602186330056	0.514093141965391	1.02683424174168	1.01968581114844
TWAS21160108	0.956927722164451	1.01301149456304	0.590909397554598	1.10016084871066	0.957786224449968	0.553612542537208	0.63915437332128	0.94524494010819	1.03808423306776	0.924968750632456	0.660154333807816	1.00224359375919	0.618751933509441	0.552359676606391	0.962102154833027	1.03332623375973
TWAS21160113	0.603686014091012	1.01430007735422	0.59818379134507	1.11127794112337	0.900104722788705	0.630664961199352	0.647808328787743	0.949488825451249	1.05005027073977	0.942472503140733	0.708418305771537	1.03363673166068	0.699428491060551	0.59287162810676	0.904978798861924	1.01707019467795
TWAS21160116	1.01888839106751	0.997520220718278	0.566463083924824	1.10893012945976	1.13360530101163	1.10906218313014	1.0051142500059	0.986882354328295	1.05536350130875	0.934099276062914	0.680661211592426	1.0141127644021	0.653995802579763	0.527186549390431	1.03161081896857	1.02374890937817
TWAS21160118	1.04574965696107	0.996288118352726	1.1617426186991	1.08683703789936	0.878684448074688	0.616191437671877	0.979750683692339	1.02878187304029	1.0183361228108	1.07477580807377	0.830240098627272	0.9888185529196	0.994872068901684	1.27287005742443	0.995329136076245	1.00611840234507
TWAS21160119	0.862730634312595	0.996814908695631	0.624923458126255	1.09626000977837	1.12583246704546	0.977887586688122	1.00783978658464	1.02126178982195	1.00099112826282	0.929432427172484	0.683232938875677	1.00437463509107	0.718045844428938	0.594847841875169	1.01348561012774	1.02672248883319
TWAS21160121	0.960766190719021	1.00809817170111	1.26535456099829	1.09650125986142	1.04493505714371	1.02536502234754	1.09855415904251	1.03375191228965	1.02248815130336	1.060495845457	0.815469673335933	0.990992553319135	0.931012838587755	1.20710471848097	1.01655161682215	0.986327129015808
TWAS21160122	1.03330512733675	1.01346680002804	1.3447546226403	0.601222172085542	1.01156314210194	1.09881939637851	1.13846248026485	1.05507870855372	1.02877604076672	1.06663493903456	0.837372517617228	1.02214285925866	0.971464878597375	1.32852218679742	1.01986399904422	0.964908712295873
TWAS21160203	0.982053491810971	1.00549892227479	1.27564154093206	1.09334427571819	0.993290623136414	1.06106860239698	1.10556098728228	1.02764136146698	1.0150012244753	1.05766624355281	0.80697595728731	0.989678888363372	0.948600078889859	1.2234284186696	1.01368701663604	0.977985616621458
TWAS21160205	1.02568926537014	0.999062178693956	1.26977770971863	1.10508829882449	0.976317634179307	0.99990393514005	1.13069291298141	0.981765748216856	0.989216006117715	1.07462337343645	0.828659286475875	1.00214766785908	1.00041374469384	1.25440733212666	1.00931829141513	0.99641040810445
TWAS21160206	0.871587989799597	0.991457823297463	0.610306483975514	1.11070004133768	1.1275182480374	0.970687998671154	1.0312826194876	0.990722616618502	1.0045565826008	0.9500600245761	0.702995377352614	1.0132403266998	0.721833278908534	0.556897824203495	1.01207947404881	1.01798566582922
TWAS21160209	0.909407252652253	0.991751283470717	0.577135263026185	1.0984575601544	1.13597585482562	0.922872320257225	1.03615899111997	0.95258637359804	1.00692353775338	0.933362844944604	0.706231183978039	1.00137447011807	0.631696987161501	0.469329410248049	1.02418024706337	1.01385181505888
TWAS21160211	0.91786573308456	1.01204864101672	0.643366178607105	1.09954778066525	1.16523212747711	0.98915306071198	1.03053364113764	0.937785427413309	0.983588214394005	0.952729034862372	0.680207823710728	1.00304145870964	0.630344642847177	0.532022746762753	1.00054318406313	1.00260337704229
TWAS21160213	0.92775234733363	1.02192598544964	0.586826232738787	1.10870677820986	0.927200371172878	0.637422453089201	0.614558969134297	0.897983899898119	0.995909445297441	0.950473293250489	0.676596497773441	1.0121109500782	0.647878431316277	0.58665403913578	0.939250096858902	1.01815972869941
TWAS21160214	1.05082998644547	1.01095826802527	0.47994805540115	1.10132761223434	0.905245421852376	0.629837894702364	0.547691827492296	0.869956427036239	1.04560855236222	0.92813399240291	0.649769900455575	1.02772658567343	0.558924654320833	0.474688086749021	0.962760789920127	1.04244679098561
TWAS21160217	0.984292318566489	0.98681013238581	0.628460083672417	1.11870785336313	1.11622442546851	1.06540967008616	1.05254360326284	0.993689227653925	1.02376449462242	0.933383001891226	0.71614419164422	1.02614763023669	0.671910520182628	0.550270311574684	1.02174718704033	1.02635490094943
TWAS21160218	1.02105991036169	1.3093344512004	1.12709012411459	1.03531859211434	0.926549865229111	0.680318748824673	0.882487815771328	1.01044474393531	0.992119428947533	1.07359803015107	0.804805522472262	0.955493284962076	1.02210693129819	1.25330071146493	1.01949476587476	1.00629975553187
TWAS21160219	0.925188395553232	1.26058741941067	0.483444306361849	1.05094891079385	0.92665575018233	0.391271449410497	0.544922601254157	0.8982489138752	1.02499922470966	0.883454491645838	0.655722242153542	0.964049018958004	0.579055192052546	0.526355264488938	0.965341995184184	1.0232445420303
TWAS21160221	0.962494439759494	0.956668875057333	1.1537895695369	1.07051817691421	0.927829857121291	0.616150611602417	0.932818448171251	1.03143831618705	1.04674640591631	1.06964315419727	0.817126983104369	0.958516230709836	0.960047520464474	1.20512744080856	1.00867810991247	0.989316068782555
TWAS21160302	0.837097945510343	1.00650596200248	0.559036709068335	1.11547778012041	1.13534331295242	1.02611755335348	1.05399770421908	0.946459577857427	1.00347927940591	0.952767821585026	0.689821257057184	0.996672523250638	0.61894253519807	0.662590484222363	1.00100826949657	1.01430037247874
TWAS21160304	0.961368134482361	1.01785571843765	1.26713006887219	1.10055677709303	1.03514743378594	0.977507444183871	1.09512320323725	0.980874570780511	0.985894292119816	1.04897067090091	0.794549909581202	1.00155593531138	0.922377784471991	1.204029290623	1.00464059114281	0.975152895513032
TWAS21160306	1.00046480390966	1.0238691036304	1.13705264995143	1.07680837178242	0.898805548810102	0.658551253642545	0.954202206775133	0.967382148494415	0.997138135927635	1.05651825825644	0.799699869475473	0.98771684525255	0.934031993686255	1.24700248907237	1.00930082109034	0.999466898372997
TWAS21160308	1.06266002233696	1.03290122647982	1.17946311996485	0.585323744019006	0.892794066234379	0.681792519875929	0.994831986735493	1.04714108855343	1.06812953826417	1.08606572637285	0.833650836971794	1.02247744617181	0.974115251707425	1.38871361614605	1.01243487150009	0.975953854393536
TWAS21160309	1.37017972974095	0.978798285756999	1.36017167346329	0.56920300989178	1.13645735571373	1.01324821640657	1.11929935300615	1.00437385281098	1.06404740745662	1.05916380821076	0.861336511548716	1.04895226863118	1.01325756002757	1.36673297176981	0.992337192594869	0.981668853766102
TWAS21160311	1.05771163445925	0.994660798214559	0.482522578266297	1.10256268065288	0.882263206692682	0.606322401006354	0.620905971480802	0.889088979237627	1.04776776028852	0.930244029151575	0.673840732622542	1.02464321815329	0.607742815475513	0.582019693171017	0.947901921353791	1.03025677396633
TWAS21160312	0.974011859483378	1.00870023353856	1.12067293913336	1.05668394164657	0.857440269841555	0.588746071037719	0.901817325363952	0.951944310181581	1.04084985712434	1.06569820840266	0.795563429507583	0.995800278657186	0.912070699092803	1.22848470459595	1.00332572527958	0.997926624057782
TWAS21160314	1.00118089917454	1.31135208581784	1.10883030721845	1.03388646067509	0.893951366392679	0.652410346426249	0.882979209370994	1.00515999482931	1.04636025491871	1.07062360223817	0.789443247346379	0.97508098635697	0.922585498558137	1.23890416444337	1.03171224548707	1.0402710916854
