CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010307	1.10581	0.908419	1.099874	1.43322	1.12207	1.096166	1.23521	1.24363	1.12821	1.039357	1.19388	0.934101	1.052822	1.023303	1.25878	1.15741	1.063455
TWAS21010308	1.13902	0.926054	1.15895	1.4978	1.18235	1.13626	1.31033	1.26824	1.13401	1.14988	1.2404	0.933203	1.14424	0.966815	1.3049	1.21	1.11544
TWAS21010309	1.095414	0.943505	1.073207	1.35667	1.1278	0.83303	0.8017	1.13165	1.085336	1.12459	1.21174	0.9958756	1.088063	1.0051669	1.32759	1.0093485	1.1069
TWAS21010312	1.12105	0.950144	1.093669	1.55239	1.17793	1.092167	1.22815	1.27399	1.12988	1.12522	1.20071	0.956922	1.11225	0.986309	1.32921	1.16689	1.12058
TWAS21010313	1.11092	0.953028	1.12216	1.50771	1.16898	1.1978	1.31126	1.25113	1.20501	1.13019	1.16999	0.925821	1.12107	0.949564	1.27966	1.18191	1.09764
TWAS21010314	1.10303	0.911993	1.079158	1.52856	1.13785	1.073729	1.31164	1.26068	1.10581	1.11644	1.1832	0.944532	1.10298	0.971095	1.30807	1.13732	1.10351
TWAS21010316	0.957192	0.21922	1.0005419	0.50634	0.23894	1.066824	1.070048	1.11851	0.920959	1.028277	0.8388	0.48541	1.052287	0.53119	0.53594	0.978932	1.052076
TWAS21010318	0.980041	0.70101	0.97995	1.21213	0.54119	0.55113	0.77502	1.069761	0.98954	1.048546	1.061001	0.75388	0.975956	0.81058	1.10879	0.9914869	0.953867
TWAS21010319	1.12842	0.89908	1.1262	1.51199	1.13214	1.14107	1.25141	1.2167	1.098562	1.1568	1.17175	0.929562	1.1818	0.903285	1.21313	1.15369	1.10956
TWAS21010321	1.12166	0.62043	1.1489	0.52021	1.18466	1.40686	1.30039	1.20704	1.059333	1.14197	1.041085	0.60428	1.16539	0.69587	1.10827	1.19996	1.15379
TWAS21010322	0.89893	0.21784	0.52707	0.44522	0.56219	1.22607	1.18233	0.932759	0.8535	0.53143	0.7162	0.46888	0.957872	0.53652	0.60542	0.53219	0.49496
TWAS21010323	1.075683	0.903782	1.061348	1.34466	1.1256	0.87515	0.88255	1.10119	1.13057	1.1191	1.18107	0.921392	1.067752	1.0041941	1.31728	1.0045443	1.1082
TWAS21010324	1.11905	0.929674	1.13746	1.3325	1.14376	0.9904665	0.84214	1.072743	1.15259	1.14045	1.21992	0.915093	1.12185	0.980345	1.31119	1.15604	1.11847
TWAS21010401	1.14135	0.923736	1.15771	1.5357	1.18788	1.14972	1.36011	1.28318	1.13438	1.14584	1.24245	0.937538	1.14016	0.979981	1.30438	1.19986	1.11287
TWAS21010402	0.971135	0.7639	0.906308	1.08276	0.53412	0.55983	0.77252	1.065698	1.047979	1.053564	0.918185	0.70457	0.995358	0.77489	1.18705	0.970083	0.912177
TWAS21010403	1.049578	0.72653	1.017916	1.40649	0.56512	0.929343	1.067207	1.1972	1.1329	1.23577	1.05821	0.82839	1.14337	0.86529	1.085163	1.13096	0.53742
TWAS21010404	0.98167	0.80219	0.922218	1.084381	0.52836	0.53088	0.68539	1.086201	1.11212	1.055486	0.927493	0.78278	0.981662	0.76409	1.073295	1.0083971	0.959944
TWAS21010405	1.0017963	0.77546	0.979392	1.15707	0.54349	0.53258	0.8094	1.12636	1.018602	1.057343	0.967334	0.82751	0.979758	0.85315	1.21125	0.9914869	0.942372
TWAS21010406	0.87527	0.86535	0.84378	1.14097	0.60259	0.68326	0.73792	1.063602	1.013502	0.9247	0.960001	0.925121	1.0079771	0.924198	1.29876	0.93605	0.900353
TWAS21010407	0.9948176	0.71568	0.935075	1.21003	0.52247	0.54231	0.79646	1.096682	1.053653	1.046915	1.055351	0.83533	0.988785	0.86001	1.14239	0.993416	0.96838
TWAS21010408	1.11921	0.905262	1.092271	1.46464	1.12018	1.15235	1.26284	1.24537	1.097712	1.13655	1.18165	0.952656	1.15149	0.944965	1.17754	1.1395	1.081195
TWAS21010409	1.12909	0.904398	1.14974	1.49775	1.18259	1.15152	1.27677	1.25484	1.11122	1.13694	1.23634	0.925579	1.14041	0.9552	1.29255	1.19083	1.10739
TWAS21010412	1.11179	0.60233	1.1498	0.51357	1.14408	1.33531	1.25201	1.17163	1.0565	1.05635	1.054785	0.72096	1.093611	0.67007	1.1315	1.16418	1.09858
TWAS21010413	0.87857	0.78564	0.50565	0.58454	0.61473	0.56423	0.59059	0.84598	0.45515	0.44961	0.78349	1.04418	0.7927	1.0083342	0.59655	0.5172	0.47486
TWAS21010414	1.11344	0.61276	1.11198	0.54772	1.17749	1.36598	1.22649	1.18587	1.071615	1.12941	1.021399	0.73892	1.14663	0.68993	1.037798	1.16396	1.14368
TWAS21010416	1.12025	0.67037	1.13708	0.58233	1.19512	1.32367	1.40352	1.21807	1.10505	1.049186	1.070841	0.7584	1.094969	0.7688	0.919299	1.18107	1.10276
TWAS21010417	1.016487	0.50289	0.945299	0.5008	0.399	1.20714	1.070581	1.084607	0.89956	1.069541	0.934796	0.60957	1.020201	0.56423	0.59285	1.0048924	1.014599
TWAS21010419	1.12277	0.912889	1.14781	1.50161	1.16093	1.10461	1.30715	1.27256	1.10934	1.13068	1.23246	0.928447	1.11995	0.946077	1.27821	1.18205	1.097169
TWAS21010422	1.13649	0.65506	1.16199	0.51081	1.19024	1.38617	1.27982	1.19179	1.077413	1.15231	1.045573	0.72255	1.17137	0.68848	1.01454	1.20804	1.17567
TWAS21010423	1.086178	0.54265	1.10082	0.53157	1.15818	1.064259	0.75217	0.57153	1.0035884	1.11909	0.978601	0.60137	1.10489	0.61358	0.923766	1.012726	1.1281
TWAS21010424	0.911712	0.56521	0.52357	0.45424	0.57994	1.21782	1.28558	1.010195	0.47783	0.49996	0.58619	0.45163	0.47978	0.53077	0.56545	0.909347	0.85611
TWAS21010501	1.1239	0.933566	1.1288	1.36893	1.14966	0.976597	0.83547	1.11701	1.16857	1.15733	1.17585	1.023493	1.12723	0.94778	1.29341	1.15074	1.12712
TWAS21010502	0.52345	0.61483	0.75017	1.33019	0.53487	0.50536	0.974315	0.974875	0.42963	0.4875	0.952208	0.52169	0.40726	0.70605	0.60229	0.76405	0.46487
TWAS21010504	0.910641	0.83463	0.8763	1.33777	0.53276	0.9942104	1.11036	1.037604	1.012398	0.9936652	0.918185	0.75117	1.0056216	0.85049	1.16208	1.0029338	0.88712
TWAS21010506	1.13318	0.956146	1.14809	1.52783	1.17499	1.18652	1.36534	1.26556	1.20381	1.14909	1.2028	0.971691	1.14779	0.960468	1.28911	1.21373	1.11243
TWAS21010507	1.11172	0.59204	1.12671	0.54937	1.16605	0.9942874	0.80424	0.64332	0.981113	1.14208	1.034545	0.74853	1.14612	0.58542	0.985106	1.049486	1.1627
TWAS21010508	1.10331	0.65028	1.10839	0.47568	1.1218	1.30924	1.26287	1.12494	1.094083	1.061224	1.015783	0.75684	1.081825	0.74177	0.962149	1.17069	1.082465
TWAS21010511	1.12602	0.62354	1.15545	0.56442	1.17736	1.36569	1.40385	1.20181	1.11558	1.1661	1.035429	0.64343	1.1704	0.66847	1.33869	1.19958	1.17261
TWAS21010512	0.968528	0.68121	0.939966	1.3	0.56227	0.98328	1.065271	1.02662	1.018444	1.015513	1.0093447	0.7369	1.036605	0.77432	1.11924	1.0010922	0.959944
TWAS21010513	0.42559	0.52493	0.4995	0.5686	0.37716	0.55053	0.66028	0.55219	0.39975	0.2088	0.53726	0.54066	0.47205	0.5833	0.64154	0.52179	0.49686
TWAS21010514	0.935122	0.84393	0.960648	1.21522	0.56555	0.67644	0.77052	1.089021	1.041447	1.0017588	1.035078	0.88812	1.0079568	0.86435	1.31253	1.028553	1.00080389
TWAS21010515	0.983169	0.74929	0.970166	1.12229	0.55838	0.66208	1.13266	1.17641	1.027758	0.980297	1.026529	0.70146	1.028242	0.84451	1.078038	0.950056	0.86526
TWAS21010516	0.933121	0.53871	0.906922	0.50476	0.48931	0.55079	0.74065	0.51256	0.78705	0.948526	0.83222	0.54822	0.87515	0.52439	0.56591	0.55923	0.928531
TWAS21010518	1.045386	0.88722	0.9928425	1.28745	1.070445	0.79355	0.84693	1.11848	1.042734	1.070249	1.14667	0.8365	1.037714	0.932488	1.27142	1.085264	1.059886
TWAS21010519	1.12898	0.928569	1.15568	1.48401	1.1882	1.18473	1.3495	1.27139	1.17803	1.13509	1.19894	0.93342	1.12023	0.970096	1.29393	1.20537	1.11087
TWAS21010521	0.939979	0.71564	0.911155	1.19317	0.48993	0.56323	0.69858	1.037665	0.955591	1.04724	1.083822	0.77219	0.957797	0.78922	1.12386	0.92562	0.88994
TWAS21010522	1.10358	0.5713	1.12626	0.53211	1.15911	1.043966	0.75938	0.61112	0.974958	1.12835	1.0093344	0.56978	1.12921	0.65991	1.051638	1.036018	1.14756
TWAS21010523	0.983734	0.5666	0.9910841	0.45536	0.57232	1.09442	1.10714	1.146	0.980701	1.056676	0.938836	0.55086	1.022966	0.31261	0.55365	0.9914869	1.028781
TWAS21010524	1.12581	0.958348	1.13751	1.45601	1.16851	1.14761	1.3351	1.24042	1.17038	1.15354	1.21068	0.922731	1.13864	0.959689	1.28941	1.2008	1.1078
TWAS21010602	0.975396	0.78449	0.987667	1.16417	0.41857	0.56339	0.78323	1.1237	1.0078904	1.11896	0.918185	1.1125	0.981083	0.917248	1.23956	1.042815	0.9924159
TWAS21010603	1.1146	0.89618	1.15114	1.4924	1.14613	1.099695	1.26798	1.26116	1.093113	1.052968	1.24604	0.921276	1.068661	1.0079493	1.24246	1.17052	1.043605
TWAS21010604	1.10603	0.65252	1.1104	0.54368	1.17963	1.3374	1.26745	1.15828	1.10977	1.13774	1.005645	0.74712	1.13243	0.71245	1.021947	1.15184	1.14345
TWAS21010606	1.026684	0.5147	1.032744	0.45635	0.74994	1.044587	1.15071	1.15485	0.88831	1.069854	0.81867	0.50254	0.9997008	0.53988	0.56808	0.9914869	1.033713
TWAS21010608	1.10898	0.64187	1.10909	0.54481	1.16349	1.29398	1.21194	1.16005	1.048114	1.12804	1.010143	0.73719	1.1496	0.68976	1.015426	1.16082	1.13236
TWAS21010609	1.095348	0.62404	1.090298	0.55983	1.15761	1.33975	1.26381	1.17174	1.12068	1.12703	1.0093447	0.72717	1.11953	0.75023	1.13568	1.14452	1.13044
TWAS21010613	1.11699	0.941668	1.076421	1.51778	1.15222	1.13851	1.15147	1.2569	1.13646	1.15022	1.18108	0.946736	1.13106	0.945503	1.24615	1.14113	1.1229
TWAS21010615	1.084362	0.62524	1.078218	0.51498	1.13409	1.25588	1.25289	1.16173	1.088463	1.12508	0.975784	0.72501	1.1107	0.68766	1.10597	1.14152	1.11916
TWAS21010616	1.11859	0.945018	1.1219	1.4828	1.15148	1.14446	1.35582	1.22376	1.17369	1.13747	1.17992	0.948846	1.15702	0.93213	1.21244	1.17863	1.094732
TWAS21010617	1.10124	0.975976	1.07463	1.47735	1.13351	1.080249	1.30732	1.26121	1.18539	1.11906	1.18623	1.09203	1.099672	0.946073	1.28603	1.13767	1.096744
TWAS21010618	0.51734	0.582	0.50249	0.52876	0.51258	0.55632	0.60387	0.61807	0.47294	0.46718	0.57431	0.49995	0.51498	0.45684	0.55967	0.49556	0.4108
TWAS21010619	0.975014	0.51755	0.970166	0.52945	0.63041	0.82966	0.24737	0.22555	0.938027	1.036931	0.88801	0.50756	0.99938826	0.51929	0.52907	0.53812	0.9949361
TWAS21010621	1.096077	0.959479	1.079019	1.34228	1.087955	0.913569	0.82475	1.053501	1.1239	1.10809	1.21842	0.976778	1.077368	0.961386	1.3005	0.985354	1.098322
TWAS21010622	1.093002	0.59367	1.082482	0.53104	1.14534	0.937111	0.71448	0.70148	0.97429	1.12587	0.994109	0.70762	1.11742	0.63488	0.69295	0.84161	1.1433
TWAS21010623	1.087253	0.94618	1.075441	1.49717	1.12624	1.043998	1.36663	1.26408	1.16971	1.10395	1.20613	0.942906	1.068724	0.957586	1.29094	1.14101	1.089377
TWAS21010624	1.10415	0.932306	1.078958	1.45458	1.13248	1.052722	1.21596	1.24672	1.10427	1.11568	1.17998	0.960663	1.098736	0.961152	1.27329	1.1253	1.088252
TWAS21010701	0.89756	0.53189	0.947994	0.51321	0.61168	0.87879	0.73914	0.57782	0.89819	0.935407	0.932273	0.55938	0.924421	0.56682	0.26104	0.86343	0.926193
TWAS21010702	1.13156	0.957597	1.11463	1.53013	1.18627	1.13443	1.3124	1.28613	1.19718	1.13665	1.19916	0.957142	1.11378	1.021363	1.33691	1.19873	1.13251
TWAS21010703	0.52103	0.48418	0.53998	0.58981	0.57399	0.50586	0.62532	0.56043	0.41465	0.4096	0.51389	0.47074	0.51865	0.22588	0.51975	0.52186	0.44867
TWAS21010704	0.94217	0.50119	0.81624	0.55341	0.56095	0.55683	0.47694	0.22528	0.87938	0.976962	0.76092	0.52325	0.52478	0.53534	0.52589	0.55352	1.021441
TWAS21010705	1.12001	0.64778	1.11946	0.56876	1.17739	1.37637	1.28147	1.16496	1.11939	1.14401	1.0034388	0.73158	1.14851	0.72183	1.12656	1.19132	1.15566
TWAS21010706	0.49689	0.52315	0.52721	0.44534	0.52363	0.527	0.80663	0.51947	0.43198	0.42672	0.55959	0.49041	0.51011	0.52877	0.57708	0.6267	0.45068
TWAS21010707	1.12474	0.63315	1.085619	0.50093	1.1694	1.34735	1.22779	1.20507	1.068656	1.16312	0.9989826	0.73957	1.17001	0.73401	0.60389	1.15623	1.16081
TWAS21010708	1.12517	0.930795	1.13941	1.33752	1.16733	1.025113	0.85056	1.069947	1.15862	1.14036	1.21791	0.939853	1.11248	0.984997	1.30328	1.16808	1.1186
TWAS21010711	0.69329	0.73286	0.49147	0.60179	0.50134	0.23557	0.77378	0.907285	0.44239	0.437	0.903827	0.935185	0.72968	0.99996515	0.55451	0.35699	0.47868
TWAS21010712	1.079616	0.904626	1.086762	1.48484	1.094769	1.071185	1.32143	1.26535	1.13325	1.026034	1.21006	0.913604	1.032715	0.9935661	1.25399	1.13193	1.038208
TWAS21010714	1.043295	0.52688	1.017753	0.51242	0.56554	1.019056	1.087234	1.1673	0.916588	1.084867	0.88073	0.55654	1.077953	0.22317	0.82576	1.039582	1.083186
TWAS21010715	1.11338	0.931461	1.10747	1.36469	1.13257	0.936609	0.83047	1.13161	1.11085	1.12987	1.22292	0.97508	1.11003	1.0066566	1.31362	1.070188	1.11483
TWAS21010716	1.032025	0.71327	0.92415	1.15302	0.46037	0.55776	1.15185	1.18887	1.073084	0.982096	1.058992	0.80407	0.51229	0.8834	1.11325	0.975052	0.946316
TWAS21010717	1.051905	0.928283	1.043166	1.31889	1.10132	0.81926	0.83344	1.089181	1.16183	1.10049	1.11252	0.952445	1.049022	0.955736	1.21905	0.910735	1.067696
TWAS21010718	0.49412	0.56417	0.40679	0.56483	0.41496	0.5719	0.64276	0.56119	0.50521	0.49905	0.60163	0.53405	0.51936	0.46122	0.55128	0.56511	0.47589
TWAS21010719	1.10468	0.948986	1.096041	1.43528	1.14779	1.087116	1.16531	1.2396	1.17558	1.11968	1.19115	0.921265	1.10582	0.966984	1.29205	1.14509	1.10459
TWAS21010721	1.099404	0.5604	1.11228	0.60659	1.15844	1.10867	0.6128	0.78857	1.024195	1.12981	1.0047889	0.70612	1.12863	0.59909	0.948541	1.013135	1.15613
TWAS21010722	1.096246	0.925335	1.093151	1.32902	1.14343	0.88911	0.80663	1.10123	1.14065	1.10905	1.18481	0.92278	1.063025	0.989649	1.31631	1.056783	1.09677
TWAS21010723	0.57316	0.48595	0.40249	0.59196	0.47163	0.56232	0.89097	0.5233	0.56333	0.49378	0.56012	0.54271	0.43141	0.52421	0.59153	0.52377	0.43418
TWAS21010724	1.092307	0.945919	1.075959	1.32531	1.10888	0.902441	0.85715	1.077442	1.14464	1.10512	1.20054	1.034335	1.07661	0.9989209	1.30371	1.0066007	1.099004
TWAS21010801	0.50034	0.54375	0.49961	0.45912	0.60127	0.5433	1.070625	0.75892	0.52376	0.38297	0.62576	0.39739	0.55461	0.4193	0.42305	0.48793	0.4195
TWAS21010802	0.52357	0.67761	0.53175	0.63987	0.52712	0.51916	0.59294	0.77276	0.925843	0.47281	0.67999	0.53593	0.71341	0.70505	1.13695	0.74509	0.50585
TWAS21010803	1.1046	0.65241	1.11559	0.49207	1.10815	1.27838	1.17056	1.16892	1.030176	1.066509	1.021863	0.76541	1.087837	0.7354	0.8864	1.15102	1.076886
TWAS21010806	1.11613	0.87911	1.08504	1.37535	1.14722	1.29425	1.17506	1.21653	1.16536	1.14419	1.14736	0.948208	1.15378	0.910522	1.14739	1.15676	1.13173
TWAS21010807	1.1253	0.64522	1.11183	0.59207	1.18404	1.36805	1.20744	1.19864	1.066105	1.15254	1.034525	0.75001	1.16495	0.7085	0.964807	1.18821	1.155
TWAS21010813	1.12416	0.64332	1.16224	0.55325	1.16083	1.31553	1.26644	1.18637	1.066744	1.050141	1.056629	0.72571	1.10224	0.73225	0.918105	1.15271	1.086023
TWAS21010815	1.1334	0.64268	1.15851	0.55838	1.18518	1.38626	1.32138	1.20251	1.067654	1.16223	1.04994	0.69483	1.16986	0.70295	1.079384	1.19325	1.16538
TWAS21010816	1.13214	0.96595	1.14722	1.48492	1.19675	1.1683	1.36829	1.27982	1.19267	1.1459	1.19189	0.930148	1.11435	0.977584	1.31257	1.19079	1.091295
TWAS21010817	1.13337	0.920941	1.15467	1.49624	1.18196	1.12895	1.25079	1.25395	1.12199	1.14243	1.1849	0.916287	1.14651	0.973495	1.2868	1.19714	1.10383
TWAS21010818	0.51231	0.86999	0.4976	0.48283	0.24695	0.4974	0.59801	0.22688	0.46834	0.46264	0.59387	0.48005	0.55466	0.54398	0.55422	0.51313	0.4068
TWAS21010819	1.02599	0.55135	1.022214	0.53596	1.066775	0.76321	0.76257	0.6342	1.00016456	1.076556	1.0083689	0.52269	1.072675	0.62883	0.67854	0.84195	1.04838
TWAS21010821	0.944837	0.7011	0.93294	1.26072	0.23682	0.58641	0.25456	1.021507	0.912793	0.45673	0.980616	1.031276	0.46424	0.980577	1.23442	0.52539	0.53847
TWAS21010822	1.066821	0.62036	1.076204	0.53015	1.12162	1.26064	1.20112	1.14878	1.069254	1.10304	1.051293	0.71968	1.086122	0.641	1.15826	1.14904	1.10694
TWAS21010823	1.10658	0.94098	1.097661	1.33332	1.13431	0.920329	0.82467	1.10803	1.099174	1.13431	1.21561	0.96592	1.11175	0.969608	1.30329	1.061242	1.10416
