CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160103	1.0034905	0.58867	1.046104	0.61013	0.65528	0.947084	0.61949	0.64874	0.95978	1.030464	0.945965	0.6463	1.061531	0.60115	0.45992	0.924639	1.029646
TWAS21160104	0.83436	0.47101	0.81492	0.50342	0.48332	0.935495	0.88448	0.86403	0.49322	0.938165	0.50394	0.49471	1.018195	0.40365	0.3314	0.51691	0.902499
TWAS21160106	1.040648	0.83301	1.32138	0.5639	1.068413	1.15645	0.943623	1.045949	0.935695	1.064171	0.932219	0.69011	1.02666	0.6323	0.53499	1.068573	1.061134
TWAS21160108	1.037621	0.9929283	1.051122	0.61314	1.14155	0.9938191	0.57444	0.6632	0.980806	1.077138	0.959767	0.68499	1.039949	0.64203	0.57314	0.9982974	1.072201
TWAS21160113	1.052302	0.63526	1.06735	0.62947	1.1694	0.947182	0.66365	0.68169	0.99914899	1.10497	0.9917657	0.74547	1.087698	0.73601	0.62388	0.952311	1.070265
TWAS21160114	0.903522	1.013767	0.89386	1.28414	0.57287	0.963485	0.9907071	1.078316	0.9931639	1.0077824	0.978594	0.79965	0.987729	0.928377	1.25672	0.983187	0.9931569
TWAS21160116	1.060175	1.0802	1.057546	0.60055	1.17566	1.20182	1.1758	1.065597	1.046268	1.11887	0.9903087	0.72162	1.075137	0.69335	0.55891	1.093688	1.085353
TWAS21160118	1.047986	1.095931	1.044096	1.21749	1.13899	0.920849	0.64576	1.026765	1.078149	1.067202	1.12635	0.87008	1.036268	1.042612	1.33395	1.043091	1.054398
TWAS21160119	1.053345	0.908753	1.04999	0.65826	1.15474	1.18589	1.030053	1.061603	1.075741	1.054389	0.979013	0.71968	1.057953	0.75635	0.62658	1.06755	1.081493
TWAS21160121	1.066784	1.02493	1.075423	1.34986	1.16973	1.11472	1.093843	1.17192	1.10279	1.090774	1.13132	0.86993	1.057175	0.9931896	1.28772	1.084441	1.052198
TWAS21160122	1.012787	1.046518	1.026426	1.36195	0.60891	1.024498	1.11287	1.15302	1.06857	1.041931	1.080274	0.84808	1.035213	0.983887	1.34551	1.032905	0.977247
TWAS21160203	1.069846	1.050646	1.075729	1.36474	1.16971	1.062668	1.13518	1.18278	1.099418	1.085895	1.13154	0.86334	1.058804	1.014856	1.30888	1.084489	1.046294
TWAS21160204	0.88347	1.14069	0.81239	1.040956	0.52264	0.51545	0.96059	0.984438	0.926421	0.39111	0.935272	0.82348	0.47088	1.24775	1.057042	0.89426	0.89189
TWAS21160205	1.051373	1.078382	1.050387	1.33501	1.16186	1.026474	1.051272	1.18878	1.032202	1.040035	1.12983	0.87123	1.053631	1.051808	1.31885	1.06117	1.047599
TWAS21160206	1.059566	0.923505	1.050515	0.64666	1.17686	1.19468	1.028508	1.092712	1.049736	1.064394	1.0066513	0.74487	1.073595	0.76483	0.59007	1.072365	1.078623
TWAS21160209	1.054952	0.959381	1.04625	0.60885	1.15882	1.1984	0.973586	1.093098	1.0049329	1.062256	0.984653	0.74504	1.056402	0.66641	0.49512	1.080461	1.069565
TWAS21160211	1.075142	0.986836	1.088096	0.69171	1.18217	1.25279	1.06348	1.10797	1.0082525	1.057497	1.024319	0.73132	1.078412	0.67771	0.572	1.075726	1.077941
TWAS21160212	0.89189	0.51196	0.905505	0.26557	0.60133	0.955796	0.56093	0.63343	0.86418	0.970016	0.89224	0.55831	0.970072	0.5582	0.44872	0.63474	0.975413
TWAS21160213	1.045335	0.969812	1.068255	0.61343	1.15897	0.969235	0.66632	0.64242	0.938694	1.041059	0.993563	0.70727	1.057995	0.67725	0.61325	0.981831	1.064318
TWAS21160214	1.038029	1.090792	1.049404	0.4982	1.14321	0.939671	0.65379	0.56852	0.90304	1.085372	0.96343	0.67448	1.06681	0.58018	0.49274	0.99937362	1.08209
TWAS21160216	0.932726	1.11732	0.87992	1.097543	1.053238	0.82315	0.8974	0.9929779	0.9574	0.98385	0.966656	0.85691	1.025729	0.87858	1.11485	1.017338	0.971467
TWAS21160217	1.04694	1.030495	1.033131	0.65796	1.17122	1.16862	1.11542	1.10195	1.040333	1.07182	0.977196	0.74976	1.074315	0.70345	0.5761	1.069708	1.074532
TWAS21160218	1.020992	1.042494	1.33682	1.15075	1.057052	0.946	0.6946	0.901013	1.031656	1.012946	1.096135	0.8217	0.975551	1.043563	1.27961	1.040896	1.027424
TWAS21160219	1.0092993	0.933792	1.27231	0.48794	1.060722	0.935273	0.39491	0.54999	0.906602	1.034531	0.89167	0.66182	0.973014	0.58444	0.53125	0.974319	1.03276
TWAS21160221	1.039973	1.00096823	0.9949098	1.19991	1.11331	0.964918	0.64078	0.970106	1.072668	1.088588	1.1124	0.84979	0.996831	0.9984235	1.2533	1.048998	1.028862
TWAS21160302	1.067175	0.89333	1.074118	0.59659	1.19041	1.21161	1.095047	1.1248	1.010038	1.070888	1.01677	0.73616	1.063624	0.66052	0.7071	1.068251	1.082436
TWAS21160304	1.065597	1.024431	1.084624	1.35025	1.17275	1.10305	1.041629	1.16696	1.045217	1.050566	1.11778	0.84667	1.067255	0.982883	1.28301	1.070542	1.03912
TWAS21160306	1.054208	1.054698	1.079371	1.19869	1.13518	0.947528	0.69425	1.0059276	1.019822	1.051191	1.11379	0.84305	1.041259	0.984664	1.3146	1.064013	1.053646
TWAS21160308	0.9936894	1.055954	1.026383	1.17202	0.58163	0.88716	0.67749	0.988554	1.040533	1.061389	1.079212	0.82839	1.016025	0.967968	1.37995	1.0060458	0.969795
TWAS21160309	0.963224	1.31979	0.942802	1.31015	0.54827	1.094663	0.975985	1.078136	0.967437	1.024916	1.020212	0.82966	1.010376	0.975994	1.31647	0.955843	0.945567
TWAS21160311	1.027869	1.087189	1.022381	0.49597	1.13329	0.906851	0.62322	0.63821	0.913867	1.076968	0.956169	0.69262	1.053199	0.62468	0.59824	0.974319	1.058969
TWAS21160312	1.057213	1.029738	1.066411	1.18479	1.11714	0.906497	0.62243	0.953413	1.0064079	1.1004	1.12667	0.84108	1.052773	0.964253	1.29877	1.060729	1.055021
