CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010103	1.087351	0.62853	1.11363	0.5114	1.12507	1.25308	1.23255	1.18911	1.037012	1.014298	0.9989867	0.75159	1.084918	0.73874	0.941757	1.13628	1.079027
TWAS21010104	1.13354	0.62817	1.13404	0.4668	1.17171	1.45097	1.37682	1.15626	1.12178	1.15454	1.028613	0.70908	1.19475	0.68772	0.60116	1.20144	1.19528
TWAS21010105	1.11982	0.88657	1.14299	1.4996	1.14053	1.17123	1.23701	1.22856	1.10833	1.020773	1.21423	0.938204	1.058197	0.9955482	1.22946	1.16068	1.045316
TWAS21010106	1.084226	0.56819	1.11205	0.54481	1.13437	0.949786	0.71656	0.66794	0.94679	1.080086	0.99920396	0.61209	1.096867	0.64134	0.78322	1.025833	1.12327
TWAS21010107	0.82594	0.67972	0.86343	1.010338	0.59037	0.54003	0.56494	0.965652	0.8693	0.89435	0.8239	0.88536	0.52273	0.75549	1.18176	0.86264	0.72805
TWAS21010112	1.10243	0.89761	1.068874	1.35144	1.1295	0.8749	0.78864	1.10269	1.080062	1.10936	1.17647	0.957708	1.1017	0.979309	1.30187	1.025246	1.11084
TWAS21010114	1.10766	0.60014	1.10095	0.52969	1.15193	1.30423	1.17593	1.17612	1.047609	1.11708	1.0061415	0.7364	1.14077	0.65738	1.071671	1.15247	1.14077
TWAS21010115	1.084172	0.55332	1.11472	0.46214	1.13768	0.941019	0.69399	0.56367	1.01105	1.091701	1.0059604	0.60489	1.092738	0.60724	0.74675	1.0053911	1.12913
TWAS21010116	1.085394	0.61162	1.083614	0.52275	1.13389	1.29888	1.27762	1.15215	1.095429	1.10041	0.987792	0.73005	1.1083	0.66626	0.964145	1.11377	1.11531
TWAS21010117	0.903941	0.47635	0.972581	0.51677	0.39375	0.62536	0.66591	0.52475	0.80347	0.989066	0.78776	0.62199	0.84921	0.52637	0.65046	0.78981	1.028227
TWAS21010118	0.943315	0.70664	0.88631	1.097549	0.51955	0.56988	0.6777	0.86739	0.93295	0.89165	0.919698	0.76648	0.87458	0.79144	1.12539	0.89665	0.87952
TWAS21010119	0.92803	0.67115	0.93432	1.32673	0.50773	0.75706	1.071854	1.060049	0.943884	0.971111	0.936176	0.7905	0.967522	0.80186	1.081336	0.911428	0.86903
TWAS21010121	1.092924	0.59157	1.11665	0.57803	1.14793	0.933995	0.73627	0.62286	0.960574	1.10402	1.015974	0.60964	1.11806	0.63561	0.86393	1.035602	1.14155
