CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160314	1.027754	0.945151	1.10834	1.13795	1.061708	0.88943	0.65922	0.904424	1.031628	1.075276	1.10057	0.8123	1.0013056	0.944695	1.27159	1.058177	1.068255
TWAS21160316	0.89674	0.935619	0.85086	1.2436	0.44252	0.89575	0.936537	1.024228	0.9749	0.978504	0.958323	0.78181	0.969474	0.93535	1.25415	0.928309	0.916461
TWAS21160318	0.984511	0.86778	1.023059	0.61646	0.64255	1.18802	1.16954	1.083547	0.929074	1.014154	0.88805	0.64986	1.039604	0.58242	0.47513	0.9948644	1.0076976
TWAS21160322	1.041217	0.8931	1.044215	1.27973	1.13075	1.078222	0.971815	1.1113	0.9862	1.048213	1.078858	0.76699	1.029634	0.81988	1.30396	1.05225	1.033092
TWAS21160402	1.056118	0.9949099	1.068417	1.18856	1.12673	0.86573	0.69632	0.979988	1.012533	1.077151	1.12711	0.84664	1.043668	1.013177	1.32213	1.053711	1.06259
TWAS21160403	0.988037	0.9975067	0.938312	1.3692	0.59897	0.950366	1.028447	1.13676	1.0051574	1.015429	1.061401	0.85277	1.026123	1.026507	1.35102	0.9981779	0.970224
TWAS21160405	1.060315	0.942713	1.074262	1.33194	1.16304	1.11047	1.089069	1.17106	1.089174	1.06052	1.13524	0.85209	1.049556	0.9944384	1.29375	1.065747	1.041691
TWAS21160409	1.051981	1.0020492	1.061917	1.20004	1.15434	0.913031	0.66875	0.957357	1.081527	1.052402	1.12435	0.86616	1.045399	1.026144	1.32672	1.060993	1.057096
TWAS21160415	1.030282	0.988547	1.017357	1.17368	1.1034	0.78722	0.66657	1.005624	1.013706	1.038871	1.10707	0.996507	1.026016	1.033783	1.31599	1.024867	1.035155
TWAS21160417	1.057538	0.951909	1.093703	1.35698	1.16205	1.071941	1.034683	1.16488	1.041535	1.069044	1.13659	0.85989	1.066737	0.9965443	1.29714	1.057117	1.027671
TWAS21160418	1.031112	0.85874	1.021362	0.56383	1.1411	0.915113	0.62577	0.61356	0.963152	1.047883	0.946162	0.68805	1.024498	0.65995	0.59854	0.935145	1.048223
TWAS21160419	1.018128	0.942395	1.061035	1.13777	1.022443	0.916977	0.64322	0.945378	0.968456	1.036103	1.081309	0.81318	0.969239	0.947959	1.26659	1.017488	1.036885
TWAS21160421	1.036933	0.68037	1.078815	0.27384	1.15855	0.8981	0.63695	0.68588	0.936878	1.079795	0.982663	0.70859	1.064293	0.69385	0.57788	0.932637	1.065083
TWAS21160422	1.069605	0.76684	1.11737	0.66652	1.20429	1.25354	1.084084	1.090539	1.0026	1.13292	1.01956	0.73939	1.097433	0.72331	0.55567	1.043444	1.087123
TWAS21160423	1.021174	0.89791	1.11245	1.36598	1.034757	1.06508	0.99904439	1.16454	0.951435	1.048427	1.088855	0.80784	1.015876	0.921649	1.23617	1.062447	1.025833
TWAS21160424	0.85887	0.913377	0.964334	0.9965493	0.46845	0.72761	0.60417	0.86731	0.81641	0.9930745	0.924405	0.80057	0.944844	0.86021	1.26202	0.89076	0.89536
TWAS21160502	1.071374	0.81742	1.075959	0.64872	1.20496	1.26105	1.14028	1.10418	1.051854	1.078605	1.0097265	0.72979	1.083469	0.69667	0.57131	1.098962	1.10415
TWAS21160504	1.042058	0.9956825	1.00977	1.1926	1.11895	0.86693	0.67466	1.029336	1.0095791	1.069052	1.10929	0.956322	1.03475	1.14066	1.34672	1.03546	1.062998
TWAS21160506	0.48194	0.47879	0.44364	0.58985	0.46481	0.49409	0.61143	0.57331	0.50566	0.48616	0.47969	0.48421	0.44358	0.41565	0.40134	0.43052	0.47678
TWAS21160512	1.052147	0.966969	1.021803	1.35741	1.14378	1.0399	1.085693	1.059482	1.09648	1.10148	1.12249	0.975359	1.031646	1.042754	1.33343	1.079708	1.071917
TWAS21160517	0.957855	0.57578	0.912101	0.58396	0.62926	1.14696	1.16882	1.016312	0.949048	1.052704	0.8993	0.59141	1.015384	0.56834	0.58627	1.0263	1.058897
TWAS21160518	0.931841	0.60281	0.926333	0.62809	0.65488	1.074781	1.056557	1.037575	0.955195	0.972481	0.82439	0.60851	0.994249	0.61713	0.52842	0.940079	0.9924186
TWAS21160522	1.050105	0.77534	1.039745	0.61539	1.16451	1.17424	0.99900359	1.098548	1.0096569	1.063539	0.98739	0.73382	1.052743	0.75733	0.58888	1.060112	1.070158
TWAS21160524	1.080436	1.026821	1.078926	0.59677	1.19003	0.82852	0.81646	0.944867	1.061489	1.086447	1.012908	0.71188	1.081925	0.69197	0.58086	1.10455	1.12014
TWAS21160602	1.025919	0.916625	0.931428	1.043524	1.087769	1.15446	0.87325	0.975219	0.93464	1.11479	0.95736	0.74454	1.013881	0.86841	1.10995	1.050128	1.042581
TWAS21160604	1.0039625	1.16743	1.056164	1.17713	0.56531	0.69184	0.71342	0.9927711	1.059589	1.043243	1.096503	0.88085	1.0091116	1.042574	1.38121	1.0024488	0.957396
TWAS21160605	1.058276	0.967773	1.060782	1.34749	1.16817	1.10541	1.069678	1.17743	1.1098	1.050408	1.13417	0.87078	1.056948	1.015989	1.29901	1.067397	1.037288
TWAS21160606	1.053513	0.978658	1.043848	1.21574	1.14071	0.91774	0.67954	1.020371	1.095406	1.055089	1.13221	0.86669	1.035421	1.045798	1.32798	1.044058	1.0417
TWAS21160607	1.067014	0.88263	1.077512	0.59228	1.1688	1.20156	1.061092	1.078882	0.9926692	1.089671	0.9951134	0.73202	1.084583	0.69059	0.5921	1.084054	1.089642
TWAS21160608	1.054603	0.69695	1.1011	0.71219	1.1915	0.933753	0.67106	0.71585	0.9940193	1.099695	1.0091747	0.74446	1.071572	0.69779	0.5929	0.974816	1.055632
TWAS21160612	1.064242	0.928207	1.084343	1.3547	1.15359	1.086107	1.040855	1.18679	1.033988	1.065298	1.14375	0.83205	1.077559	0.961923	1.30004	1.07858	1.043574
TWAS21160613	1.041185	0.9052	1.047288	1.28082	1.13253	1.04592	0.973098	1.13352	0.9940717	1.038962	1.090132	0.7768	1.049691	0.84544	1.3055	1.048284	1.03906
TWAS21160615	1.061375	1.0059827	1.1106	1.34336	1.18734	1.1299	1.17929	1.13629	1.10564	1.065137	1.10995	0.88039	1.084171	1.060426	1.32608	1.043124	1.040165
TWAS21160617	1.020221	0.63245	1.063862	0.65844	0.63219	1.21467	1.20573	1.066596	0.966638	1.03449	0.946171	0.68121	1.079968	0.62876	0.56791	1.029102	1.038522
TWAS21160619	0.89056	0.920849	0.86913	1.26716	0.56079	0.933352	0.905488	1.036349	0.969866	1.00027254	0.974376	1.014084	0.982407	0.930285	1.25203	0.938404	0.914827
TWAS21160621	0.975642	0.922801	0.9921565	1.33389	0.59747	0.9904106	1.14682	1.091845	1.0077661	1.057103	1.055072	1.29903	1.021829	0.911374	1.30936	1.025541	0.928078
TWAS21160623	1.020217	0.55797	1.066542	0.679	0.65162	1.1899	1.11383	1.033182	0.989162	1.040249	0.9920055	0.62128	1.063849	0.60568	0.46529	1.034857	1.022691
TWAS21160624	1.014255	0.931599	0.985643	1.2336	0.55819	0.84488	0.59878	0.9964883	0.947402	1.035244	1.014073	0.84529	0.976172	0.940417	1.3128	1.062388	0.957983
TWAS21160702	1.0021954	0.7992	1.027758	0.62386	0.61682	1.21237	1.20964	1.099332	0.949752	1.023619	0.918163	0.65588	1.059028	0.59441	0.51215	1.023614	1.021901
TWAS21160705	0.59043	0.4392	0.47742	0.62381	0.22261	0.74332	0.76344	0.7242	0.64022	0.42999	0.64207	0.4976	0.59923	0.49665	0.40775	0.59171	0.44667
TWAS21160707	1.023751	0.970823	1.070913	1.34289	1.065231	1.045045	0.980108	1.13556	1.036114	1.025383	1.08049	0.84059	1.003462	0.991063	1.27051	1.051312	1.019908
TWAS21160708	0.961278	0.5768	1.010894	0.68172	0.65127	0.74931	0.59056	0.65367	0.919689	0.984883	0.919263	0.58783	1.032342	0.55568	0.47634	0.938634	0.983893
TWAS21160713	1.04861	0.64886	1.084825	0.65706	1.17993	0.917116	0.64116	0.65512	0.9924809	1.09886	0.987507	0.73089	1.082257	0.66204	0.63435	0.979379	1.065314
TWAS21160716	1.064813	0.975015	1.083747	1.36654	1.16677	1.084492	1.15964	1.17994	1.098756	1.089565	1.12732	0.8597	1.068524	1.029449	1.31184	1.073703	1.057835
TWAS21160717	0.85659	0.52915	0.901528	0.55036	0.55708	0.70867	0.5984	0.56348	0.8178	0.96567	0.78892	0.5479	0.978772	0.53411	0.44354	0.87834	0.921967
TWAS21160718	1.062572	0.83264	1.063655	0.63929	1.19858	1.22841	1.015472	1.10945	1.081192	1.050407	1.0061791	0.75888	1.076541	0.79423	0.6347	1.070426	1.079772
TWAS21160719	0.88864	0.77891	0.9988907	0.57805	0.55201	1.12521	1.18295	0.92018	0.89528	1.0032071	0.80487	0.53666	0.9934051	0.54179	0.47846	0.942854	0.965648
TWAS21160722	1.030068	0.83637	1.031476	0.60765	1.11881	0.88701	0.61221	0.65212	0.947304	1.062417	0.959975	0.68995	1.043435	0.6359	0.57775	0.926188	1.059222
TWAS21160724	1.049236	0.913458	1.048802	1.28616	1.13889	1.084119	0.981076	1.12692	0.99918429	1.056412	1.096356	0.78504	1.037933	0.84508	1.30218	1.057334	1.040468
TWAS21160803	1.0023785	0.79981	1.020287	0.61105	0.61958	1.20742	1.13461	1.084239	0.955912	1.046854	0.915146	0.63266	1.062764	0.58591	0.45973	1.015273	1.016115
TWAS21160807	0.918188	0.921452	1.0053633	1.050523	0.49788	0.74892	0.59251	0.89884	0.8489	0.984727	0.955803	0.79334	0.937177	0.88451	1.29355	0.9928592	0.920958
TWAS21160808	1.062656	0.983863	1.078297	1.34074	1.18236	1.066802	1.027219	1.16047	1.061476	1.12233	1.1437	0.87943	1.071205	1.059767	1.32859	1.05242	1.070319
TWAS21160809	0.953073	0.6909	0.928997	0.60857	0.62317	0.81331	0.61963	0.5954	0.83586	0.981267	0.87777	0.57893	1.0043295	0.55985	0.48891	0.82198	0.971413
TWAS21160811	1.080173	0.69221	1.12431	0.70589	1.19257	1.25412	1.09141	1.094008	0.987807	1.10418	1.0056486	0.73241	1.11148	0.68116	0.58981	1.036724	1.09977
TWAS21160812	0.920835	0.85943	1.034791	0.53409	0.54893	1.15546	0.969237	0.952817	0.82744	1.023866	0.82254	0.5773	0.989645	0.51207	0.46226	0.94437	0.951488
TWAS21160815	1.011904	0.927734	1.062852	0.59825	1.069879	0.907986	0.57537	0.61863	0.92483	1.011199	0.924643	0.66824	0.9959019	0.61522	0.50082	0.902602	1.041827
TWAS21160816	0.49301	0.927734	0.65434	1.22564	0.43844	0.55586	0.83911	0.88566	0.46703	0.928222	0.88886	0.86959	0.82149	0.926089	1.10157	0.5059	0.78926
TWAS21160818	0.901186	0.67477	0.87372	0.61703	0.22462	1.028346	0.934931	0.955451	0.86623	0.9913112	0.84152	0.56591	0.965651	0.54396	0.49586	0.955755	0.905037
TWAS21160822	1.032977	0.958197	1.1052	1.12251	1.033057	0.89202	0.61672	0.89557	0.948866	1.067368	1.087061	0.81804	1.0026196	0.93239	1.26623	1.062826	1.046513
TWAS21160824	1.065913	0.71584	1.07272	0.62192	1.17923	1.207	1.055395	1.083643	1.0055945	1.08205	0.9986532	0.71748	1.086751	0.67399	0.5508	1.083358	1.10082
TWAS21160902	0.965376	0.7931	0.99984156	0.63706	0.62192	0.960342	0.61347	0.64363	0.911967	1.026635	0.88909	0.58029	1.034089	0.54903	0.40539	0.87377	1.0096098
TWAS21160906	1.068174	0.962916	1.079511	0.61591	1.18385	1.20359	1.073245	1.10415	0.9951475	1.079919	1.011083	0.7176	1.08085	0.6717	0.57592	1.080854	1.097083
TWAS21160914	1.033197	0.954534	1.0070338	0.58807	1.12803	0.973925	0.60298	0.60473	0.970878	1.10487	0.944953	0.70476	1.028179	0.61135	0.42375	0.9941666	1.076813
TWAS21160916	1.057212	0.970821	1.10379	1.27865	1.16887	1.067206	1.011523	1.11464	1.0057892	1.074616	1.10325	0.80726	1.062151	0.921893	1.32554	1.03636	1.02828
TWAS21160918	1.063957	0.87259	1.08666	0.63437	1.16656	1.21926	1.032761	1.08479	0.986815	1.085619	0.999910455	0.69964	1.074793	0.65418	0.60182	1.083722	1.090596
TWAS21160924	1.067171	0.933383	1.084574	1.35097	1.17658	1.089466	1.069335	1.17518	1.12399	1.07193	1.12258	0.8583	1.079044	1.00015249	1.29745	1.062311	1.03586
TWAS21161006	1.06489	0.86321	1.077231	0.60284	1.17246	1.21406	1.079198	1.099346	0.987735	1.082375	0.990656	0.71249	1.072381	0.70504	0.58677	1.0833	1.088497
TWAS21161007	0.8601	0.88675	0.85557	1.21549	0.56041	0.46499	0.8962	0.977662	0.85624	0.904978	0.89677	0.76575	0.937827	0.84291	1.17315	0.928244	0.85979
TWAS21161009	1.052745	0.982471	1.07994	1.1827	1.14214	0.89275	0.67646	0.9956701	1.015313	1.060202	1.12136	0.88222	1.041392	1.00091539	1.30713	1.048201	1.034687
TWAS21161013	1.013723	0.905	1.094748	0.54306	1.04955	0.938578	0.57165	0.50658	0.85231	1.041253	0.915315	0.63312	1.014772	0.55643	0.5775	0.950693	1.057988
TWAS21161014	1.036156	0.84213	1.046728	0.60769	1.14535	0.956783	0.61013	0.6151	0.97083	1.066456	0.967771	0.69242	1.048109	0.65071	0.57748	0.97439	1.071797
TWAS21161015	1.044991	0.8441	1.031918	0.59273	1.13898	1.19754	0.964764	1.066511	0.9937716	1.09646	0.972961	0.72262	1.053722	0.69404	0.54467	1.064212	1.069798
TWAS21161017	1.040028	1.0079119	1.032354	1.35038	1.13446	0.986759	1.18816	1.18941	1.091232	1.018971	1.10717	0.86987	1.053954	1.040961	1.3247	1.046117	1.056374
TWAS21161019	1.06197	0.80023	1.048709	0.59325	1.16691	1.19693	0.985395	1.094354	1.00037521	1.08197	0.982944	0.72737	1.069437	0.69565	0.58981	1.075351	1.094184
TWAS21161024	0.78672	0.49535	0.55388	0.56331	0.51857	0.54736	0.5913	0.48706	0.65267	0.82929	0.50035	0.19837	0.86873	0.44965	0.43416	0.40545	0.83994
